fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,fg%,3pt%,ft%,team,home,date,game_id
48-94,9-18,12-15,14,36,50,6,13,18,0,0,117,80.0,50.0,50.0,Hawks,0,2017-10-18,400974705
38-86,17-45,18-21,9,32,41,4,15,19,1,0,111,85.7,37.8,37.8,Mavericks,1,2017-10-18,400974705
36-95,7-30,12-14,6,32,38,4,13,29,0,0,91,85.7,23.3,23.3,Hawks,0,2017-10-20,400974770
37-86,11-36,24-30,12,45,57,4,21,18,0,0,109,80.0,30.6,30.6,Hornets,1,2017-10-20,400974770
32-94,7-27,33-36,16,32,48,2,16,25,0,0,104,91.7,25.9,25.9,Hawks,0,2017-10-22,400974789
41-87,11-27,23-34,13,38,51,8,18,27,0,0,116,67.6,40.7,40.7,Nets,1,2017-10-22,400974789
36-76,7-17,14-18,6,35,41,1,20,17,1,1,93,77.8,41.2,41.2,Hawks,0,2017-10-23,400974793
39-85,14-37,12-18,10,31,41,6,19,19,0,0,104,66.7,37.8,37.8,Heat,1,2017-10-23,400974793
32-81,11-28,11-13,7,33,40,5,10,23,0,0,86,84.6,39.3,39.3,Hawks,0,2017-10-26,400974816
31-86,7-32,22-29,18,44,62,4,13,15,3,0,91,75.9,21.9,21.9,Bulls,1,2017-10-26,400974816
42-91,4-20,17-23,11,35,46,4,11,12,1,0,105,73.9,20.0,20.0,Nuggets,0,2017-10-27,400974823
37-89,14-33,12-12,11,32,43,4,12,21,0,0,100,100.0,42.4,42.4,Hawks,1,2017-10-27,400974823
44-81,13-26,16-21,5,38,43,3,14,27,0,0,117,76.2,50.0,50.0,Bucks,0,2017-10-29,400974836
36-77,13-29,21-26,3,28,31,2,16,21,0,0,106,80.8,44.8,44.8,Hawks,1,2017-10-29,400974836
41-94,8-23,19-27,12,37,49,4,18,28,0,0,109,70.4,34.8,34.8,Hawks,0,2017-11-01,400974858
46-99,13-35,14-25,15,38,53,4,16,26,0,0,119,56.0,37.1,37.1,76ers,1,2017-11-01,400974858
42-89,16-47,19-23,9,35,44,4,12,16,1,0,119,82.6,34.0,34.0,Rockets,0,2017-11-03,400974874
39-81,11-33,15-18,5,36,41,8,18,16,0,0,104,83.3,33.3,33.3,Hawks,1,2017-11-03,400974874
41-86,11-25,24-34,11,33,44,6,17,20,0,1,117,70.6,44.0,44.0,Hawks,0,2017-11-05,400974887
42-96,10-36,21-23,15,32,47,6,13,29,0,1,115,91.3,27.8,27.8,Cavaliers,1,2017-11-05,400974887
39-81,14-36,18-22,7,35,42,3,13,21,1,0,110,81.8,38.9,38.9,Celtics,0,2017-11-06,400974897
39-81,13-26,16-20,5,31,36,4,14,22,0,0,107,80.0,50.0,50.0,Hawks,1,2017-11-06,400974897
44-89,8-24,8-11,11,34,45,7,15,21,1,0,104,72.7,33.3,33.3,Hawks,0,2017-11-10,400974920
39-89,12-30,21-27,20,31,51,5,17,18,0,0,111,77.8,40.0,40.0,Pistons,1,2017-11-10,400974920
34-83,14-33,12-17,10,22,32,1,24,23,0,0,94,70.6,42.4,42.4,Hawks,0,2017-11-11,400974928
42-78,7-24,22-28,11,31,42,10,23,22,0,0,113,78.6,29.2,29.2,Wizards,1,2017-11-11,400974928
40-87,17-36,8-9,10,26,36,1,16,18,0,0,105,88.9,47.2,47.2,Hawks,0,2017-11-13,400974946
41-75,13-33,11-17,7,31,38,5,19,13,0,0,106,64.7,39.4,39.4,Pelicans,1,2017-11-13,400974946
31-88,6-28,12-20,11,18,29,2,12,19,0,0,80,60.0,21.4,21.4,Kings,0,2017-11-15,400974955
50-79,16-32,10-16,9,44,53,6,18,23,1,0,126,62.5,50.0,50.0,Hawks,1,2017-11-15,400974955
39-82,16-34,16-20,9,32,41,6,15,22,0,0,110,80.0,47.1,47.1,Celtics,0,2017-11-18,400974981
37-78,9-24,16-20,6,29,35,1,13,19,1,0,99,80.0,37.5,37.5,Hawks,1,2017-11-18,400974981
37-85,8-30,3-8,9,29,38,7,15,15,0,0,85,37.5,26.7,26.7,Hawks,0,2017-11-20,400975001
40-89,10-31,6-6,14,38,52,5,18,17,0,0,96,100.0,32.3,32.3,Spurs,1,2017-11-20,400975001
44-76,15-30,13-19,6,27,33,4,15,15,2,0,116,68.4,50.0,50.0,Clippers,0,2017-11-22,400975007
40-83,10-29,13-15,9,27,36,2,15,20,0,0,103,86.7,34.5,34.5,Hawks,1,2017-11-22,400975007
40-78,12-30,12-14,5,33,38,9,20,19,0,0,104,85.7,40.0,40.0,Knicks,0,2017-11-24,400975019
47-99,13-31,9-12,13,27,40,2,9,16,1,0,116,75.0,41.9,41.9,Hawks,1,2017-11-24,400975019
46-84,13-32,7-9,11,35,46,3,16,22,0,1,112,77.8,40.6,40.6,Raptors,0,2017-11-25,400975031
26-75,6-27,20-23,7,25,32,1,18,15,1,0,78,87.0,22.2,22.2,Hawks,1,2017-11-25,400975031
41-79,18-39,21-27,12,28,40,5,19,20,1,0,121,77.8,46.2,46.2,Cavaliers,0,2017-11-30,400975064
41-79,12-31,20-24,8,21,29,4,17,20,1,0,114,83.3,38.7,38.7,Hawks,1,2017-11-30,400975064
47-99,10-27,10-14,13,34,47,5,8,19,2,0,114,71.4,37.0,37.0,Hawks,0,2017-12-02,400975079
34-82,17-42,17-21,12,34,46,8,19,18,0,0,102,81.0,40.5,40.5,Nets,1,2017-12-02,400975079
41-85,15-36,13-15,12,40,52,6,22,28,2,0,110,86.7,41.7,41.7,Nets,0,2017-12-04,400975093
30-82,9-30,21-27,9,29,38,2,18,19,0,0,90,77.8,30.0,30.0,Hawks,1,2017-12-04,400975093
40-93,11-27,15-20,11,38,49,3,17,16,2,0,106,75.0,40.7,40.7,Hawks,0,2017-12-06,400975106
46-98,6-28,12-18,13,39,52,7,16,23,1,0,110,66.7,21.4,21.4,Magic,1,2017-12-06,400975106
45-92,13-34,7-8,10,29,39,2,12,24,0,0,110,87.5,38.2,38.2,Magic,0,2017-12-09,400975129
41-80,17-33,18-25,9,31,40,6,12,13,0,0,117,72.0,51.5,51.5,Hawks,1,2017-12-09,400975129
37-77,9-31,24-30,6,29,35,4,15,28,1,0,107,80.0,29.0,29.0,Hawks,0,2017-12-10,400975141
39-80,5-17,28-34,6,27,33,4,12,30,0,1,111,82.4,29.4,29.4,Knicks,1,2017-12-10,400975141
43-92,16-36,12-13,10,27,37,4,10,17,0,0,114,92.3,44.4,44.4,Hawks,0,2017-12-12,400975148
48-86,20-38,7-10,6,31,37,2,13,18,0,0,123,70.0,52.6,52.6,Cavaliers,1,2017-12-12,400975148
41-90,13-30,10-12,14,32,46,3,15,23,0,0,105,83.3,43.3,43.3,Pistons,0,2017-12-14,400975164
32-70,11-31,16-26,7,27,34,6,16,12,1,0,91,61.5,35.5,35.5,Hawks,1,2017-12-14,400975164
34-77,12-31,14-16,7,28,35,5,17,19,0,0,94,87.5,38.7,38.7,Hawks,0,2017-12-15,400975176
36-78,12-25,12-17,10,33,43,6,21,24,1,0,96,70.6,48.0,48.0,Grizzlies,1,2017-12-15,400975176
36-79,7-25,25-30,8,34,42,6,19,28,0,0,104,83.3,28.0,28.0,Heat,0,2017-12-18,400975194
38-83,8-22,26-31,10,29,39,6,12,23,1,0,110,83.9,36.4,36.4,Hawks,1,2017-12-18,400975194
40-82,7-21,18-19,8,29,37,5,9,18,1,0,105,94.7,33.3,33.3,Pacers,0,2017-12-20,400975206
35-81,8-29,17-20,11,32,43,6,13,17,1,0,95,85.0,27.6,27.6,Hawks,1,2017-12-20,400975206
44-85,15-32,14-17,7,20,27,3,15,24,2,0,117,82.4,46.9,46.9,Hawks,0,2017-12-22,400975228
44-82,13-25,19-31,15,25,40,5,19,18,0,0,120,61.3,52.0,52.0,Thunder,1,2017-12-22,400975228
43-85,9-33,12-15,7,23,30,3,10,17,1,0,107,80.0,27.3,27.3,Mavericks,0,2017-12-23,400975235
42-75,10-24,18-22,6,32,38,2,15,19,0,0,112,81.8,41.7,41.7,Hawks,1,2017-12-23,400975235
35-81,9-24,20-26,9,31,40,5,13,24,1,0,99,76.9,37.5,37.5,Wizards,0,2017-12-27,400975254
41-94,11-37,20-29,16,37,53,7,11,21,1,0,113,69.0,29.7,29.7,Hawks,1,2017-12-27,400975254
38-88,9-24,13-20,14,34,48,7,18,15,0,0,98,65.0,37.5,37.5,Hawks,0,2017-12-29,400975268
46-105,13-37,6-8,19,32,51,15,11,22,1,0,111,75.0,35.1,35.1,Raptors,1,2017-12-29,400975268
36-85,7-25,10-13,15,31,46,8,20,18,0,0,89,76.9,28.0,28.0,Trail Blazers,0,2017-12-30,400975279
40-89,14-30,10-15,13,32,45,3,13,16,0,0,104,66.7,46.7,46.7,Hawks,1,2017-12-30,400975279
36-87,10-31,21-25,17,23,40,3,16,22,0,0,103,84.0,32.3,32.3,Hawks,0,2018-01-02,400975297
39-77,7-22,19-26,11,36,47,4,21,22,1,0,104,73.1,31.8,31.8,Suns,1,2018-01-02,400975297
30-83,8-26,21-25,11,28,39,5,16,16,0,0,89,84.0,30.8,30.8,Hawks,0,2018-01-05,400975322
43-80,13-30,11-14,6,38,44,5,15,20,3,0,110,78.6,43.3,43.3,Trail Blazers,1,2018-01-05,400975322
41-94,12-34,19-23,10,27,37,4,15,16,0,0,113,82.6,35.3,35.3,Hawks,0,2018-01-07,400975336
48-86,16-36,20-25,6,43,49,6,18,25,0,0,132,80.0,44.4,44.4,Lakers,1,2018-01-07,400975336
38-96,10-37,21-29,19,37,56,8,14,26,0,0,107,72.4,27.0,27.0,Hawks,0,2018-01-08,400975344
38-85,9-18,23-34,14,33,47,9,16,25,1,0,108,67.6,50.0,50.0,Clippers,1,2018-01-08,400975344
40-80,12-27,18-18,6,38,44,4,16,23,0,0,110,100.0,44.4,44.4,Hawks,0,2018-01-10,400975358
38-95,9-37,12-20,14,26,40,6,12,18,0,0,97,60.0,24.3,24.3,Nuggets,1,2018-01-10,400975358
40-87,13-34,17-26,13,30,43,1,14,24,1,0,110,65.4,38.2,38.2,Nets,0,2018-01-12,400975367
37-80,11-28,20-26,8,38,46,3,18,25,0,0,105,76.9,39.3,39.3,Hawks,1,2018-01-12,400975367
37-87,8-22,17-20,8,29,37,5,9,13,0,0,99,85.0,36.4,36.4,Spurs,0,2018-01-15,400975387
40-86,9-25,13-14,11,39,50,2,15,23,0,0,102,92.9,36.0,36.0,Hawks,1,2018-01-15,400975387
35-80,10-27,13-19,9,34,43,6,12,20,2,0,93,68.4,37.0,37.0,Pelicans,0,2018-01-17,400975400
37-89,10-40,10-13,12,31,43,3,10,22,1,0,94,76.9,25.0,25.0,Hawks,1,2018-01-17,400975400
40-80,14-32,19-21,4,44,48,1,16,23,0,0,113,90.5,43.8,43.8,Bulls,0,2018-01-20,400975421
35-92,11-48,16-23,9,36,45,4,13,21,1,0,97,69.6,22.9,22.9,Hawks,1,2018-01-20,400975421
33-76,4-15,20-28,7,32,39,6,16,15,1,0,90,71.4,26.7,26.7,Jazz,0,2018-01-22,400975434
40-83,12-26,12-12,10,34,44,5,17,24,1,0,104,100.0,46.2,46.2,Hawks,1,2018-01-22,400975434
39-89,14-36,16-25,12,40,52,12,17,22,0,0,108,64.0,38.9,38.9,Raptors,0,2018-01-24,400975451
37-94,7-21,12-17,12,35,47,9,16,21,1,0,93,70.6,33.3,33.3,Hawks,1,2018-01-24,400975451
37-79,15-30,21-25,6,33,39,5,20,26,1,0,110,84.0,50.0,50.0,Hawks,0,2018-01-26,400975460
40-88,13-34,28-32,11,32,43,8,11,25,0,0,121,87.5,38.2,38.2,Hornets,1,2018-01-26,400975460
49-85,18-32,13-14,7,31,38,6,12,21,1,0,129,92.9,56.3,56.3,Wizards,0,2018-01-27,400975472
38-88,12-43,16-21,11,21,32,4,12,15,1,0,104,76.2,27.9,27.9,Hawks,1,2018-01-27,400975472
39-83,7-19,15-18,7,28,35,5,13,18,1,0,100,83.3,36.8,36.8,Timberwolves,0,2018-01-29,400975485
39-79,13-34,14-16,8,36,44,8,21,18,0,0,105,87.5,38.2,38.2,Hawks,1,2018-01-29,400975485
46-90,17-32,14-18,12,30,42,1,10,21,2,0,123,77.8,53.1,53.1,Hornets,0,2018-01-31,400975501
39-77,12-32,20-22,4,25,29,4,9,16,1,0,110,90.9,37.5,37.5,Hawks,1,2018-01-31,400975501
34-80,11-31,31-34,4,32,36,4,12,18,0,0,110,91.2,35.5,35.5,Hawks,0,2018-02-02,400975513
45-89,11-24,18-20,7,35,42,3,11,23,0,0,119,90.0,45.8,45.8,Celtics,1,2018-02-02,400975513
35-87,15-33,14-19,13,31,44,3,16,12,0,0,99,73.7,45.5,45.5,Hawks,0,2018-02-04,400975532
41-94,5-23,9-15,16,32,48,8,15,16,0,0,96,60.0,21.7,21.7,Knicks,1,2018-02-04,400975532
34-79,4-22,10-13,9,28,37,5,25,24,2,0,82,76.9,18.2,18.2,Grizzlies,0,2018-02-06,400975545
42-83,8-25,16-21,8,28,36,5,13,16,1,0,108,76.2,32.0,32.0,Hawks,1,2018-02-06,400975545
37-87,12-30,12-18,9,37,46,7,17,23,0,0,98,66.7,40.0,40.0,Hawks,0,2018-02-08,400975557
36-84,9-29,19-22,8,28,36,6,13,22,0,0,100,86.4,31.0,31.0,Magic,1,2018-02-08,400975557
46-86,15-35,16-24,6,37,43,4,9,17,0,0,123,66.7,42.9,42.9,Cavaliers,0,2018-02-09,400975565
37-83,16-44,17-19,6,36,42,4,12,18,0,0,107,89.5,36.4,36.4,Hawks,1,2018-02-09,400975565
38-83,13-33,26-33,12,28,40,4,15,28,0,0,115,78.8,39.4,39.4,Pistons,0,2018-02-11,400975580
38-78,10-29,32-37,4,31,35,3,13,26,0,0,118,86.5,34.5,34.5,Hawks,1,2018-02-11,400975580
33-86,12-35,14-20,14,36,50,6,12,14,2,0,92,70.0,34.3,34.3,Hawks,0,2018-02-13,400975594
38-88,8-25,13-17,14,34,48,10,10,18,0,0,97,76.5,32.0,32.0,Bucks,1,2018-02-13,400975594
38-89,6-33,16-19,8,35,43,4,11,21,0,0,98,84.2,18.2,18.2,Hawks,0,2018-02-14,400975599
35-83,13-33,21-25,10,37,47,5,16,18,0,0,104,84.0,39.4,39.4,Pistons,1,2018-02-14,400975599
37-82,7-31,12-19,6,34,40,7,22,20,0,0,93,63.2,22.6,22.6,Hawks,0,2018-02-23,400975620
48-101,9-28,11-13,15,42,57,3,17,20,0,0,116,84.6,32.1,32.1,Pacers,1,2018-02-23,400975620
47-90,15-33,14-19,10,49,59,6,23,23,0,0,123,73.7,45.5,45.5,Lakers,0,2018-02-26,400975643
36-96,8-36,24-34,8,33,41,3,11,17,2,0,104,70.6,22.2,22.2,Hawks,1,2018-02-26,400975643
38-90,11-32,15-20,11,32,43,5,24,20,0,0,102,75.0,34.4,34.4,Pacers,0,2018-02-28,400975661
38-87,9-29,22-27,15,34,49,11,21,23,0,0,107,81.5,31.0,31.0,Hawks,1,2018-02-28,400975661
42-79,11-31,19-22,2,33,35,5,18,20,0,0,114,86.4,35.5,35.5,Warriors,0,2018-03-02,400975674
38-86,15-35,18-20,3,32,35,2,19,21,3,0,109,90.0,42.9,42.9,Hawks,1,2018-03-02,400975674
46-92,11-26,9-15,5,36,41,6,14,19,0,0,112,60.0,42.3,42.3,Suns,0,2018-03-04,400975689
43-94,17-33,10-12,9,40,49,5,16,18,0,0,113,83.3,51.5,51.5,Hawks,1,2018-03-04,400975689
34-80,6-21,16-21,12,32,44,6,21,25,1,0,90,76.2,28.6,28.6,Hawks,0,2018-03-06,400975704
34-88,10-36,28-33,17,28,45,8,12,21,0,1,106,84.8,27.8,27.8,Raptors,1,2018-03-06,400975704
34-82,10-33,9-10,6,29,35,4,18,13,1,0,87,90.0,30.3,30.3,Hawks,0,2018-03-09,400975724
45-91,14-28,8-10,9,40,49,3,16,16,0,0,112,80.0,50.0,50.0,Pacers,1,2018-03-09,400975724
48-98,17-37,16-19,13,34,47,4,5,24,0,0,129,84.2,45.9,45.9,Bulls,0,2018-03-11,400975739
42-82,19-40,19-22,5,37,42,5,15,14,1,0,122,86.4,47.5,47.5,Hawks,1,2018-03-11,400975739
42-89,16-35,19-25,9,29,38,11,7,21,1,0,119,76.0,45.7,45.7,Thunder,0,2018-03-13,400975753
37-87,13-31,20-24,13,34,47,5,15,25,0,0,107,83.3,41.9,41.9,Hawks,1,2018-03-13,400975753
46-87,17-33,20-30,6,39,45,3,10,21,0,1,129,66.7,51.5,51.5,Hornets,0,2018-03-15,400975767
42-90,16-36,17-26,6,40,46,2,11,27,1,0,117,65.4,44.4,44.4,Hawks,1,2018-03-15,400975767
39-85,12-36,27-28,8,36,44,4,19,25,0,0,117,96.4,33.3,33.3,Hawks,0,2018-03-17,400975787
41-86,11-25,29-32,9,35,44,8,12,24,0,1,122,90.6,44.0,44.0,Bucks,1,2018-03-17,400975787
38-94,9-33,14-19,11,41,52,3,13,23,0,1,99,73.7,27.3,27.3,Hawks,0,2018-03-20,400975808
33-89,6-34,22-25,12,39,51,8,16,22,0,0,94,88.0,17.6,17.6,Jazz,1,2018-03-20,400975808
33-84,12-36,12-18,6,34,40,2,12,10,2,0,90,66.7,33.3,33.3,Hawks,0,2018-03-22,400975823
43-93,10-21,9-9,12,39,51,9,13,18,1,0,105,100.0,47.6,47.6,Kings,1,2018-03-22,400975823
37-84,11-32,9-20,5,39,44,5,11,14,0,0,94,45.0,34.4,34.4,Hawks,0,2018-03-23,400975833
42-93,12-30,10-11,10,36,46,6,7,17,0,0,106,90.9,40.0,40.0,Warriors,1,2018-03-23,400975833
39-88,11-40,10-11,7,38,45,2,13,14,0,0,99,90.9,27.5,27.5,Hawks,0,2018-03-25,400975847
44-90,20-52,10-11,6,39,45,4,11,12,1,0,118,90.9,38.5,38.5,Rockets,1,2018-03-25,400975847
41-77,13-27,19-23,4,33,37,2,20,22,0,0,114,82.6,48.1,48.1,Hawks,0,2018-03-28,400975866
48-90,13-30,17-21,7,30,37,1,13,20,0,0,126,81.0,43.3,43.3,Timberwolves,1,2018-03-28,400975866
42-95,8-38,9-13,9,44,53,6,15,18,0,0,101,69.2,21.1,21.1,76ers,0,2018-03-30,400975876
36-101,9-39,10-15,15,44,59,4,16,14,1,0,91,66.7,23.1,23.1,Hawks,1,2018-03-30,400975876
33-96,10-36,12-13,11,30,41,6,5,10,0,0,88,92.3,27.8,27.8,Magic,0,2018-04-01,400975893
41-85,11-36,1-1,5,47,52,3,14,15,2,0,94,100.0,30.6,30.6,Hawks,1,2018-04-01,400975893
37-88,13-33,11-15,12,37,49,1,15,15,3,0,98,73.3,39.4,39.4,Hawks,0,2018-04-03,400975904
41-91,8-33,11-13,11,35,46,8,14,16,0,0,101,84.6,24.2,24.2,Heat,1,2018-04-03,400975904
42-94,17-38,14-17,10,44,54,10,11,17,1,0,115,82.4,44.7,44.7,Heat,0,2018-04-04,400975918
33-90,9-30,11-17,10,38,48,6,15,16,1,0,86,64.7,30.0,30.0,Hawks,1,2018-04-04,400975918
38-79,11-33,16-23,7,43,50,5,18,22,0,0,103,69.6,33.3,33.3,Hawks,0,2018-04-06,400975930
35-87,9-25,18-23,9,36,45,4,12,15,0,0,97,78.3,36.0,36.0,Wizards,1,2018-04-06,400975930
43-86,15-35,11-14,5,32,37,4,13,19,0,0,112,78.6,42.9,42.9,Hawks,0,2018-04-08,400975948
42-82,9-23,13-20,10,31,41,6,12,18,0,0,106,65.0,39.1,39.1,Celtics,1,2018-04-08,400975948
43-87,17-37,18-30,11,43,54,8,18,22,0,0,121,60.0,45.9,45.9,76ers,0,2018-04-10,400975960
41-98,13-37,18-26,8,31,39,3,10,24,0,0,113,69.2,35.1,35.1,Hawks,1,2018-04-10,400975960
45-94,12-30,29-32,11,32,43,2,20,25,0,0,131,90.6,40.0,40.0,Nets,0,2017-10-18,400974701
53-102,9-34,25-32,14,33,47,9,14,25,0,0,140,78.1,26.5,26.5,Pacers,1,2017-10-18,400974701
45-89,18-33,13-15,9,31,40,3,22,27,0,0,121,86.7,54.5,54.5,Magic,0,2017-10-20,400974774
46-92,9-27,25-35,15,33,48,6,18,17,0,0,126,71.4,33.3,33.3,Nets,1,2017-10-20,400974774
32-94,7-27,33-36,16,32,48,2,16,25,0,0,104,91.7,25.9,25.9,Hawks,0,2017-10-22,400974789
41-87,11-27,23-34,13,38,51,8,18,27,0,0,116,67.6,40.7,40.7,Nets,1,2017-10-22,400974789
40-96,11-35,30-34,14,35,49,4,15,27,0,0,121,88.2,31.4,31.4,Nets,0,2017-10-24,400974801
41-83,8-23,35-40,6,38,44,5,11,23,0,0,125,87.5,34.8,34.8,Magic,1,2017-10-24,400974801
39-81,12-35,17-26,9,38,47,7,21,17,0,0,107,65.4,34.3,34.3,Cavaliers,0,2017-10-25,400974809
40-93,17-46,15-21,10,28,38,3,12,22,1,0,112,71.4,37.0,37.0,Nets,1,2017-10-25,400974809
30-75,11-30,15-21,5,30,35,1,16,20,0,0,86,71.4,36.7,36.7,Nets,0,2017-10-27,400974824
44-98,9-27,10-17,19,36,55,6,11,19,1,0,107,58.8,33.3,33.3,Knicks,1,2017-10-27,400974824
47-94,11-20,19-22,4,42,46,7,6,22,0,0,124,86.4,55.0,55.0,Nuggets,0,2017-10-29,400974838
39-96,12-31,21-31,17,39,56,4,15,18,0,0,111,67.7,38.7,38.7,Nets,1,2017-10-29,400974838
45-96,10-22,22-24,10,56,66,5,18,26,2,0,122,91.7,45.5,45.5,Suns,0,2017-10-31,400974853
42-102,9-31,21-30,7,37,44,4,7,22,0,0,114,70.0,29.0,29.0,Nets,1,2017-10-31,400974853
37-91,9-38,29-38,8,35,43,5,16,22,0,0,112,76.3,23.7,23.7,Nets,0,2017-11-03,400974881
48-94,9-21,19-27,7,50,57,7,16,29,0,0,124,70.4,42.9,42.9,Lakers,1,2017-11-03,400974881
35-87,8-32,20-29,11,37,48,4,16,30,0,0,98,69.0,25.0,25.0,Nets,0,2017-11-06,400974898
30-86,6-25,26-35,14,38,52,7,17,29,0,0,92,74.3,24.0,24.0,Suns,1,2017-11-06,400974898
38-89,11-35,17-22,8,39,47,6,25,16,0,0,104,77.3,31.4,31.4,Nets,0,2017-11-07,400974906
44-93,9-34,15-20,9,38,47,9,19,21,0,0,112,75.0,26.5,26.5,Nuggets,1,2017-11-07,400974906
39-91,12-38,11-19,11,38,49,4,10,13,0,0,101,57.9,31.6,31.6,Nets,0,2017-11-10,400974927
40-95,8-23,9-11,12,39,51,4,10,17,1,0,97,81.8,34.8,34.8,Trail Blazers,1,2017-11-10,400974927
35-76,7-23,29-39,10,31,41,4,17,22,0,0,106,74.4,30.4,30.4,Nets,0,2017-11-11,400974938
41-85,11-29,21-25,12,32,44,3,16,29,0,0,114,84.0,37.9,37.9,Jazz,1,2017-11-11,400974938
39-86,9-27,22-27,9,40,49,3,14,14,0,0,109,81.5,33.3,33.3,Celtics,0,2017-11-14,400974952
39-88,14-35,10-16,9,34,43,3,14,24,1,0,102,62.5,40.0,40.0,Nets,1,2017-11-14,400974952
39-79,12-26,17-24,10,29,39,6,16,19,0,0,107,70.8,46.2,46.2,Jazz,0,2017-11-17,400974970
43-84,17-37,15-20,4,32,36,2,12,21,1,0,118,75.0,45.9,45.9,Nets,1,2017-11-17,400974970
46-90,10-24,16-23,6,51,57,14,15,27,0,0,118,69.6,41.7,41.7,Warriors,0,2017-11-19,400974987
34-95,16-48,27-39,13,39,52,2,13,21,0,0,111,69.2,33.3,33.3,Nets,1,2017-11-19,400974987
42-81,14-37,11-16,8,34,42,2,19,21,0,0,109,68.8,37.8,37.8,Nets,0,2017-11-22,400975005
43-82,14-34,19-27,4,29,33,2,10,19,0,0,119,70.4,41.2,41.2,Cavaliers,1,2017-11-22,400975005
48-96,6-15,25-35,12,33,45,13,7,16,0,0,127,71.4,40.0,40.0,Trail Blazers,0,2017-11-24,400975018
50-100,10-25,15-21,13,34,47,6,9,22,0,0,125,71.4,40.0,40.0,Nets,1,2017-11-24,400975018
33-74,13-29,19-23,12,31,43,7,17,22,2,0,98,82.6,44.8,44.8,Nets,0,2017-11-26,400975040
32-80,8-25,16-18,11,24,35,3,14,24,0,0,88,88.9,32.0,32.0,Grizzlies,1,2017-11-26,400975040
40-86,10-39,13-17,6,37,43,4,13,19,1,0,103,76.5,25.6,25.6,Nets,0,2017-11-27,400975045
42-86,20-50,13-20,8,34,42,4,15,19,0,0,117,65.0,40.0,40.0,Rockets,1,2017-11-27,400975045
42-90,11-29,14-25,14,38,52,1,14,21,0,0,109,56.0,37.9,37.9,Nets,0,2017-11-29,400975061
39-84,9-27,17-21,7,37,44,3,11,23,0,0,104,81.0,33.3,33.3,Mavericks,1,2017-11-29,400975061
47-99,10-27,10-14,13,34,47,5,8,19,2,0,114,71.4,37.0,37.0,Hawks,0,2017-12-02,400975079
34-82,17-42,17-21,12,34,46,8,19,18,0,0,102,81.0,40.5,40.5,Nets,1,2017-12-02,400975079
41-85,15-36,13-15,12,40,52,6,22,28,2,0,110,86.7,41.7,41.7,Nets,0,2017-12-04,400975093
30-82,9-30,21-27,9,29,38,2,18,19,0,0,90,77.8,30.0,30.0,Hawks,1,2017-12-04,400975093
38-98,7-24,12-23,17,37,54,3,12,25,0,0,95,52.2,29.2,29.2,Thunder,0,2017-12-07,400975116
35-80,11-37,19-30,7,42,49,7,13,21,3,0,100,63.3,29.7,29.7,Nets,1,2017-12-07,400975116
42-90,8-27,9-14,8,36,44,8,5,17,1,0,101,64.3,29.6,29.6,Heat,0,2017-12-09,400975127
33-81,7-27,16-19,8,35,43,3,12,17,2,0,89,84.2,25.9,25.9,Nets,1,2017-12-09,400975127
38-95,4-22,18-22,12,37,49,3,10,26,1,0,98,81.8,18.2,18.2,Wizards,0,2017-12-12,400975151
34-84,10-43,25-33,9,44,53,6,14,21,0,0,103,75.8,23.3,23.3,Nets,1,2017-12-12,400975151
41-89,10-20,19-22,12,28,40,4,13,23,1,0,111,86.4,50.0,50.0,Knicks,0,2017-12-14,400975165
37-83,12-42,18-23,11,32,43,4,17,21,1,0,104,78.3,28.6,28.6,Nets,1,2017-12-14,400975165
32-76,7-23,16-19,6,31,37,1,22,14,2,0,87,84.2,30.4,30.4,Nets,0,2017-12-15,400975175
54-97,7-28,5-9,11,34,45,5,8,16,2,0,120,55.6,25.0,25.0,Raptors,1,2017-12-15,400975175
43-76,8-18,15-19,6,37,43,7,15,20,0,0,109,78.9,44.4,44.4,Pacers,0,2017-12-17,400975190
34-81,12-33,17-21,7,22,29,2,9,17,3,0,97,81.0,36.4,36.4,Nets,1,2017-12-17,400975190
40-82,7-19,17-20,13,35,48,4,12,19,2,0,104,85.0,36.8,36.8,Kings,0,2017-12-20,400975208
32-82,15-42,20-23,14,24,38,7,10,19,1,0,99,87.0,35.7,35.7,Nets,1,2017-12-20,400975208
34-93,5-20,11-15,7,28,35,1,7,18,0,0,84,73.3,25.0,25.0,Wizards,0,2017-12-22,400975224
44-88,14-41,17-21,13,47,60,4,14,17,4,0,119,81.0,34.1,34.1,Nets,1,2017-12-22,400975224
42-98,16-36,19-25,18,33,51,2,10,20,4,0,119,76.0,44.4,44.4,Nets,0,2017-12-23,400975233
47-90,10-23,19-24,7,34,41,9,8,25,1,0,123,79.2,43.5,43.5,Pacers,1,2017-12-23,400975233
39-93,12-32,7-9,12,33,45,0,13,18,0,0,97,77.8,37.5,37.5,Nets,0,2017-12-26,400975248
41-80,7-16,20-24,5,38,43,5,12,14,0,0,109,83.3,43.8,43.8,Spurs,1,2017-12-26,400975248
41-90,19-38,12-14,10,33,43,3,15,18,2,0,113,85.7,50.0,50.0,Nets,0,2017-12-27,400975257
48-90,17-33,15-19,6,37,43,9,10,15,1,0,128,78.9,51.5,51.5,Pelicans,1,2017-12-27,400975257
