team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Nets,105,0.4105,0.3056,0.4444,11,34,25,5,4,9,2017-12-31
Celtics,108,0.4937,0.4242,0.4848,8,42,21,7,8,17,2017-12-31
Cavaliers,88,0.3483,0.25,0.5625,9,39,16,6,7,14,2018-01-03
Celtics,102,0.4457,0.3333,0.2222,9,43,27,9,2,15,2018-01-03
Timberwolves,84,0.3684,0.3043,0.913,9,34,15,6,5,12,2018-01-05
Celtics,91,0.4043,0.1667,0.25,17,39,24,6,4,10,2018-01-05
Celtics,87,0.3776,0.2778,0.4444,12,32,12,8,13,4,2018-01-06
Nets,85,0.3297,0.1935,0.6129,12,43,11,2,11,16,2018-01-06
Celtics,114,0.4831,0.3714,0.4286,11,35,24,11,2,18,2018-01-11
76ers,103,0.4634,0.3929,0.5714,3,34,20,12,4,19,2018-01-11
Pelicans,116,0.45,0.2593,0.7037,13,42,28,11,6,15,2018-01-16
Celtics,113,0.396,0.38,0.28,12,41,27,7,3,18,2018-01-16
76ers,89,0.4658,0.3529,0.8824,8,33,18,10,5,22,2018-01-18
Celtics,80,0.4054,0.2414,0.4483,3,28,13,7,5,19,2018-01-18
Magic,103,0.4674,0.2857,0.5238,13,31,20,7,9,10,2018-01-21
Celtics,95,0.4353,0.2963,0.4815,11,33,22,6,9,15,2018-01-21
Celtics,107,0.4667,0.3409,0.1818,7,35,22,3,5,11,2018-01-23
Lakers,108,0.4396,0.2692,0.8077,14,37,18,6,2,10,2018-01-23
Celtics,113,0.4194,0.35,0.525,10,37,25,10,3,13,2018-01-24
Clippers,102,0.443,0.2381,1.2857,10,30,26,6,5,19,2018-01-24
Celtics,105,0.4353,0.5,0.6071,11,34,17,6,2,14,2018-01-27
Warriors,109,0.4524,0.3704,0.8519,10,33,19,9,9,11,2018-01-27
Celtics,111,0.4725,0.4722,0.2222,10,30,28,4,6,9,2018-01-29
Nuggets,110,0.4516,0.303,0.4848,15,32,31,4,3,10,2018-01-29
Knicks,73,0.3218,0.1765,0.8235,9,35,16,4,4,14,2018-01-31
Celtics,103,0.4819,0.4231,0.4615,5,44,27,8,3,9,2018-01-31
Hawks,110,0.425,0.3548,1.0,4,32,21,6,4,12,2018-02-02
Celtics,119,0.5056,0.4583,0.75,7,35,26,8,3,11,2018-02-02
Trail Blazers,96,0.3956,0.4194,0.3548,10,36,21,4,9,8,2018-02-04
Celtics,97,0.4118,0.4167,0.3333,9,42,24,3,6,11,2018-02-04
Celtics,91,0.3976,0.4348,0.6522,9,29,21,3,3,17,2018-02-06
Raptors,111,0.5,0.4722,0.3889,5,35,29,10,4,15,2018-02-06
Celtics,110,0.4643,0.3462,0.8846,7,38,16,9,6,18,2018-02-08
Wizards,104,0.4,0.4615,0.6154,17,35,28,11,4,20,2018-02-08
Pacers,97,0.4458,0.25,0.9,13,40,18,6,5,13,2018-02-09
Celtics,91,0.382,0.2593,0.5926,12,26,16,5,8,10,2018-02-09
Cavaliers,121,0.5357,0.5333,0.5,5,36,22,7,6,11,2018-02-11
Celtics,99,0.4045,0.2632,0.4474,13,30,22,3,4,14,2018-02-11
Clippers,129,0.5,0.3793,1.0345,7,36,26,5,5,7,2018-02-14
Celtics,119,0.433,0.4839,0.6452,11,35,24,4,7,8,2018-02-14
Celtics,110,0.4824,0.4359,0.2821,10,32,30,8,5,11,2018-02-23
Pistons,98,0.4353,0.303,0.4242,12,33,16,4,4,13,2018-02-23
Celtics,121,0.4516,0.3939,0.7273,11,34,21,11,5,11,2018-02-24
Knicks,112,0.4688,0.2222,0.5926,13,36,20,10,4,14,2018-02-24
Grizzlies,98,0.4359,0.2174,1.087,5,35,27,4,2,10,2018-02-26
Celtics,109,0.4535,0.3243,0.5135,9,35,25,5,5,8,2018-02-26
Hornets,106,0.4615,0.3333,0.4815,9,24,24,6,6,7,2018-02-28
Celtics,134,0.6207,0.6,0.7,4,43,31,3,4,10,2018-02-28
Celtics,120,0.4835,0.5417,0.7917,10,28,22,6,3,13,2018-03-03
Rockets,123,0.4483,0.3878,0.5306,10,30,24,11,5,10,2018-03-03
Celtics,105,0.4881,0.3333,0.3056,12,41,25,7,4,18,2018-03-05
Bulls,89,0.3951,0.3636,0.3939,7,29,18,14,1,13,2018-03-05
Celtics,117,0.4943,0.3438,0.625,9,37,28,7,2,11,2018-03-08
Timberwolves,109,0.4681,0.3871,0.2903,13,34,24,3,3,12,2018-03-08
Pacers,99,0.4815,0.5455,0.4091,6,33,26,9,7,18,2018-03-11
Celtics,97,0.4198,0.3243,0.4595,10,32,26,10,5,16,2018-03-11
Wizards,125,0.4742,0.375,0.6562,13,39,29,10,6,19,2018-03-14
Celtics,124,0.4848,0.4615,0.6154,10,34,30,9,5,17,2018-03-14
Celtics,92,0.378,0.3462,0.8077,16,39,16,7,6,18,2018-03-16
Magic,83,0.3908,0.1786,0.3571,7,33,14,12,7,15,2018-03-16
Celtics,89,0.4023,0.3462,0.3846,9,35,17,8,3,12,2018-03-18
Pelicans,108,0.5,0.3333,1.1111,5,39,33,9,5,10,2018-03-18
Thunder,99,0.4118,0.3704,0.7037,8,36,19,6,6,13,2018-03-20
Celtics,100,0.4138,0.3611,0.4167,11,41,22,6,5,17,2018-03-20
Celtics,105,0.4545,0.6111,1.3333,9,36,22,5,4,13,2018-03-23
Trail Blazers,100,0.4396,0.2424,0.3636,11,32,16,8,5,8,2018-03-23
Celtics,104,0.5556,0.5455,0.5455,3,32,23,9,2,15,2018-03-25
Kings,93,0.4634,0.2692,0.3846,7,27,18,7,1,14,2018-03-25
Celtics,102,0.4253,0.4828,0.4828,10,34,24,10,3,12,2018-03-26
Suns,94,0.4444,0.3429,0.2857,11,36,18,8,5,15,2018-03-26
Celtics,97,0.443,0.5714,0.7143,11,31,20,11,2,16,2018-03-28
Jazz,94,0.4146,0.2727,0.5152,12,33,25,7,6,16,2018-03-28
Raptors,99,0.4625,0.2286,0.4857,9,37,23,1,5,15,2018-03-31
Celtics,110,0.4545,0.4118,1.3529,8,33,19,6,3,5,2018-03-31
Celtics,102,0.4691,0.3043,0.8261,10,27,19,10,6,17,2018-04-03
Bucks,106,0.5443,0.25,0.75,9,32,27,6,5,15,2018-04-03
Celtics,78,0.3333,0.1364,1.1364,8,35,10,7,3,16,2018-04-04
Raptors,96,0.4348,0.303,0.1818,12,36,23,10,6,10,2018-04-04
Bulls,104,0.4651,0.4667,0.3333,9,34,25,15,0,17,2018-04-06
Celtics,111,0.5556,0.4118,0.2059,6,40,35,9,6,18,2018-04-06
Hawks,112,0.5,0.4286,0.3143,5,32,23,7,4,13,2018-04-08
Celtics,106,0.5122,0.3913,0.5652,10,31,33,9,6,12,2018-04-08
Celtics,101,0.3793,0.3939,0.6667,13,31,22,14,1,16,2018-04-10
Wizards,113,0.494,0.5,0.5333,10,41,32,8,3,20,2018-04-10
Nets,97,0.4066,0.275,0.3,10,34,27,10,6,15,2018-04-11
Celtics,110,0.451,0.25,0.5,20,42,22,6,6,13,2018-04-11
Nets,131,0.4787,0.4,0.9667,11,32,22,7,2,20,2017-10-18
Pacers,140,0.5196,0.2647,0.7353,14,33,29,12,9,14,2017-10-18
Magic,121,0.5056,0.5455,0.3939,9,31,30,9,3,22,2017-10-20
Nets,126,0.5,0.3333,0.9259,15,33,22,13,6,18,2017-10-20
Hawks,104,0.3404,0.2593,1.2222,16,32,21,6,2,16,2017-10-22
Nets,116,0.4713,0.4074,0.8519,13,38,27,12,8,18,2017-10-22
Nets,121,0.4167,0.3143,0.8571,14,35,21,8,4,15,2017-10-24
Magic,125,0.494,0.3478,1.5217,6,38,20,8,5,11,2017-10-24
Cavaliers,107,0.4815,0.3429,0.4857,9,38,21,5,7,21,2017-10-25
Nets,112,0.4301,0.3696,0.3261,10,28,22,11,3,12,2017-10-25
Nets,86,0.4,0.3667,0.5,5,30,18,5,1,16,2017-10-27
Knicks,107,0.449,0.3333,0.3704,19,36,19,7,6,11,2017-10-27
Nuggets,124,0.5,0.55,0.95,4,42,23,7,7,6,2017-10-29
Nets,111,0.4062,0.3871,0.6774,17,39,24,5,4,15,2017-10-29
Suns,122,0.4688,0.4545,1.0,10,56,18,5,5,18,2017-10-31
Nets,114,0.4118,0.2903,0.6774,7,37,15,9,4,7,2017-10-31
Nets,112,0.4066,0.2368,0.7632,8,35,23,8,5,16,2017-11-03
Lakers,124,0.5106,0.4286,0.9048,7,50,26,10,7,16,2017-11-03
Nets,98,0.4023,0.25,0.625,11,37,20,10,4,16,2017-11-06
Suns,92,0.3488,0.24,1.04,14,38,13,8,7,17,2017-11-06
Nets,104,0.427,0.3143,0.4857,8,39,22,12,6,25,2017-11-07
Nuggets,112,0.4731,0.2647,0.4412,9,38,26,16,9,19,2017-11-07
Nets,101,0.4286,0.3158,0.2895,11,38,25,7,4,10,2017-11-10
Trail Blazers,97,0.4211,0.3478,0.3913,12,39,17,4,4,10,2017-11-10
Nets,106,0.4605,0.3043,1.2609,10,31,13,7,4,17,2017-11-11
Jazz,114,0.4824,0.3793,0.7241,12,32,19,12,3,16,2017-11-11
Jazz,107,0.4937,0.4615,0.6538,10,29,21,6,6,16,2017-11-14
Nets,118,0.5119,0.4595,0.4054,4,32,27,8,2,12,2017-11-14
Warriors,118,0.5111,0.4167,0.6667,6,51,29,8,14,15,2017-11-17
Nets,111,0.3579,0.3333,0.5625,13,39,24,7,2,13,2017-11-17
Nets,109,0.5185,0.3784,0.2973,8,34,26,5,2,19,2017-11-19
Cavaliers,119,0.5244,0.4118,0.5588,4,29,21,8,2,10,2017-11-19
Trail Blazers,127,0.5,0.4,1.6667,12,33,24,5,13,7,2017-11-22
Nets,125,0.5,0.4,0.6,13,34,25,4,6,9,2017-11-22
Nets,98,0.4459,0.4483,0.6552,12,31,19,7,7,17,2017-11-24
Grizzlies,88,0.4,0.32,0.64,11,24,15,8,3,14,2017-11-24
Nets,103,0.4651,0.2564,0.3333,6,37,24,5,4,13,2017-11-26
Rockets,117,0.4884,0.4,0.26,8,34,31,8,4,15,2017-11-26
Nets,109,0.4667,0.3793,0.4828,14,38,25,5,1,14,2017-11-27
Mavericks,104,0.4643,0.3333,0.6296,7,37,26,5,3,11,2017-11-27
Hawks,114,0.4747,0.3704,0.3704,13,34,18,12,5,8,2017-11-29
Nets,102,0.4146,0.4048,0.4048,12,34,26,1,8,19,2017-11-29
Nets,110,0.4824,0.4167,0.3611,12,40,29,7,6,22,2017-12-02
Hawks,90,0.3659,0.3,0.7,9,29,18,9,2,18,2017-12-02
Thunder,95,0.3878,0.2917,0.5,17,37,18,6,3,12,2017-12-04
Nets,100,0.4375,0.2973,0.5135,7,42,24,3,7,13,2017-12-04
Heat,101,0.4667,0.2963,0.3333,8,36,15,6,8,5,2017-12-07
Nets,89,0.4074,0.2593,0.5926,8,35,16,3,3,12,2017-12-07
Wizards,98,0.4,0.1818,0.8182,12,37,18,8,3,10,2017-12-09
Nets,103,0.4048,0.2326,0.5814,9,44,26,4,6,14,2017-12-09
Knicks,111,0.4607,0.5,0.95,12,28,23,11,4,13,2017-12-12
Nets,104,0.4458,0.2857,0.4286,11,32,21,10,4,17,2017-12-12
Nets,87,0.4211,0.3043,0.6957,6,31,15,4,1,22,2017-12-14
Raptors,120,0.5567,0.25,0.1786,11,34,26,11,5,8,2017-12-14
Pacers,109,0.5658,0.4444,0.8333,6,37,21,6,7,15,2017-12-15
Nets,97,0.4198,0.3636,0.5152,7,22,26,7,2,9,2017-12-15
Kings,104,0.4878,0.3684,0.8947,13,35,14,4,4,12,2017-12-17
Nets,99,0.3902,0.3571,0.4762,14,24,15,5,7,10,2017-12-17
Wizards,84,0.3656,0.25,0.55,7,28,22,7,1,7,2017-12-20
Nets,119,0.5,0.3415,0.4146,13,47,29,4,4,14,2017-12-20
Nets,119,0.4286,0.4444,0.5278,18,33,24,2,2,10,2017-12-22
Pacers,123,0.5222,0.4348,0.8261,7,34,31,8,9,8,2017-12-22
Nets,97,0.4194,0.375,0.2188,12,33,23,5,0,13,2017-12-23
Spurs,109,0.5125,0.4375,1.25,5,38,18,7,5,12,2017-12-23
Nets,113,0.4556,0.5,0.3158,10,33,26,8,3,15,2017-12-26
Pelicans,128,0.5333,0.5152,0.4545,6,37,40,8,9,10,2017-12-26
Nets,111,0.4937,0.4231,0.8462,8,46,25,8,4,18,2017-12-27
Heat,87,0.3371,0.1154,0.9231,12,31,12,9,3,11,2017-12-27
Magic,95,0.3646,0.1935,0.6129,19,33,16,5,5,12,2017-12-29
Nets,98,0.439,0.36,0.68,10,42,17,7,10,13,2017-12-29
Timberwolves,97,0.45,0.0909,2.1818,7,25,10,9,4,8,2017-12-31
Nets,98,0.5139,0.4667,0.3333,4,34,22,3,3,19,2017-12-31
Raptors,114,0.4257,0.2941,0.5294,8,43,19,7,12,15,2018-01-01
Nets,113,0.39,0.3636,0.697,11,44,22,8,2,16,2018-01-01
Pistons,114,0.5161,0.4762,0.381,11,43,24,10,4,13,2018-01-03
Nets,80,0.3649,0.3243,0.3784,2,33,19,11,2,17,2018-01-03
Nets,110,0.4598,0.3824,0.5,13,30,29,8,1,14,2018-01-06
Hawks,105,0.4625,0.3929,0.7143,8,38,21,6,3,18,2018-01-06
Nets,113,0.4242,0.2791,0.3953,13,34,28,6,3,15,2018-01-08
Wizards,119,0.4946,0.4348,0.7391,6,41,31,10,3,15,2018-01-08
Knicks,119,0.5122,0.5625,1.625,8,43,27,5,10,9,2018-01-10
Nets,104,0.3678,0.3438,0.9062,11,34,16,5,3,11,2018-01-10
Spurs,100,0.4146,0.4737,1.2105,7,35,24,8,4,9,2018-01-12
Nets,95,0.4217,0.3611,0.3333,6,41,23,3,1,14,2018-01-12
Heat,95,0.4167,0.3182,0.8182,12,31,22,7,7,11,2018-01-13
Nets,101,0.4737,0.2812,0.625,10,34,20,5,8,14,2018-01-13
Nets,101,0.4625,0.4194,0.4516,7,39,23,1,3,15,2018-01-15
Pistons,100,0.4222,0.3103,0.5172,7,36,21,3,4,6,2018-01-15
Nets,108,0.4684,0.4211,0.4737,8,37,27,1,5,12,2018-01-17
Thunder,109,0.4255,0.28,0.88,16,34,12,7,4,4,2018-01-17
Nets,91,0.3708,0.2353,0.5,11,34,18,5,2,14,2018-01-19
Bucks,116,0.5181,0.5217,0.7826,3,41,28,9,6,9,2018-01-19
Nets,97,0.4634,0.3,0.4,11,32,22,3,7,15,2018-01-21
Timberwolves,111,0.4375,0.1905,1.0952,16,33,20,9,7,5,2018-01-21
Nets,95,0.4138,0.2432,0.3784,11,38,15,6,3,17,2018-01-23
Knicks,111,0.4382,0.5,0.7692,12,35,22,6,6,11,2018-01-23
76ers,108,0.4737,0.3889,1.6111,6,27,17,7,5,8,2018-01-26
Nets,116,0.5065,0.4062,0.7812,9,30,19,3,9,11,2018-01-26
Lakers,102,0.4239,0.3846,0.5385,18,38,21,5,6,15,2018-01-27
