home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Heat,Wizards,110,0.4432,0.3636,0.6061,14,24,25,5,5,19,116,0.4819,0.3636,1.2727,17,31,14,8,5,15,0,2018-11-10
Mavericks,Thunder,111,0.5584,0.4828,0.3793,4,34,31,9,5,16,96,0.3918,0.2647,0.3235,26,27,17,9,2,16,1,2018-11-10
Clippers,Bucks,128,0.4646,0.4118,0.6471,10,44,26,6,6,17,126,0.4476,0.3478,0.3478,15,37,31,11,8,17,1,2018-11-10
Bulls,Cavaliers,99,0.4756,0.3889,0.7778,5,33,20,7,5,11,98,0.4286,0.381,0.5714,15,38,15,5,6,12,1,2018-11-10
Raptors,Knicks,128,0.5316,0.4,0.8571,12,34,24,8,4,15,112,0.4583,0.2727,0.8182,16,31,18,12,6,14,1,2018-11-10
Kings,Lakers,86,0.3478,0.24,0.64,13,37,11,7,5,19,101,0.4141,0.3158,0.1842,17,42,23,11,3,14,0,2018-11-10
Spurs,Rockets,96,0.4459,0.5,1.0,8,38,17,3,5,15,89,0.3333,0.2195,0.4878,15,34,11,10,5,8,1,2018-11-10
Warriors,Nets,116,0.5542,0.4375,1.0625,6,30,27,9,7,10,100,0.4675,0.2917,0.875,12,29,20,7,2,14,1,2018-11-10
Pelicans,Suns,119,0.4884,0.44,0.96,16,38,28,7,7,18,99,0.40700000000000003,0.2778,0.5278,10,27,16,10,7,14,1,2018-11-10
Grizzlies,76ers,112,0.4369,0.3667,0.3667,15,30,16,9,3,11,106,0.5176,0.2581,0.3226,8,40,27,10,6,23,1,2018-11-10
Lakers,Hawks,107,0.4239,0.3684,0.3947,17,31,28,12,9,22,106,0.4316,0.3514,0.2973,10,34,25,11,4,17,1,2018-11-11
Trail Blazers,Celtics,100,0.4535,0.3889,0.2222,15,40,22,4,2,21,94,0.3871,0.3333,0.1905,11,31,19,11,5,12,1,2018-11-11
Nuggets,Bucks,114,0.4607,0.4737,0.3684,10,29,27,8,5,10,121,0.5714,0.5,0.2353,5,36,27,10,7,12,0,2018-11-11
Rockets,Pacers,115,0.4865,0.4255,0.4894,8,30,18,6,5,15,103,0.4615,0.3793,0.6897,5,30,24,10,6,13,1,2018-11-11
Pistons,Hornets,103,0.3654,0.2727,0.3409,22,29,21,5,4,10,113,0.5059,0.3929,0.5714,6,40,24,6,8,12,0,2018-11-11
Knicks,Magic,89,0.3523,0.1786,0.7857,13,41,13,4,15,19,115,0.449,0.4048,0.2381,10,42,31,10,9,11,0,2018-11-11
Thunder,Suns,118,0.4674,0.4815,0.7037,12,30,23,12,6,13,101,0.4815,0.2692,0.6154,10,27,25,5,5,18,1,2018-11-12
Clippers,Warriors,121,0.4725,0.25,1.5,6,43,23,11,5,15,116,0.4681,0.3871,0.5161,11,35,27,7,8,17,1,2018-11-12
Kings,Spurs,104,0.5,0.4583,0.2917,7,38,27,12,3,12,99,0.4368,0.3226,0.4194,9,34,25,5,4,15,1,2018-11-12
Bulls,Mavericks,98,0.3933,0.2424,0.6061,8,37,16,11,3,17,103,0.4684,0.303,0.5758,7,42,18,11,7,19,0,2018-11-12
Heat,76ers,114,0.4805,0.4194,0.871,8,32,19,5,6,15,124,0.4699,0.4167,0.8611,10,32,24,5,0,9,0,2018-11-12
Raptors,Pelicans,110,0.4021,0.2889,0.4222,13,30,22,9,5,10,126,0.5455,0.3704,0.2963,14,40,30,2,4,13,0,2018-11-12
Grizzlies,Jazz,88,0.4177,0.1667,0.75,8,34,19,7,9,16,96,0.3902,0.2812,0.7188,13,36,19,7,6,15,0,2018-11-12
Wizards,Magic,117,0.5063,0.3939,0.7273,7,34,24,8,7,10,109,0.4831,0.5,0.2667,8,26,28,5,6,12,1,2018-11-12
Timberwolves,Nets,120,0.525,0.4348,1.1304,9,43,26,8,6,23,113,0.396,0.36,0.3,19,23,28,10,2,13,1,2018-11-12
Nuggets,Rockets,99,0.5,0.44,0.48,7,24,27,11,2,16,109,0.5493,0.3514,0.4865,6,26,23,7,6,14,0,2018-11-13
Warriors,Hawks,110,0.4286,0.4444,0.7407,13,35,28,8,6,13,103,0.4494,0.375,0.3438,10,32,25,9,2,14,1,2018-11-13
Cavaliers,Hornets,113,0.5294,0.5417,0.4167,14,46,23,5,3,19,89,0.3474,0.1951,0.3659,12,25,22,12,4,9,1,2018-11-13
Suns,Spurs,116,0.5595,0.4839,0.2258,5,33,27,9,4,16,96,0.4217,0.3043,0.8261,13,30,16,7,4,18,1,2018-11-14
Mavericks,Jazz,118,0.5844,0.4286,0.5714,7,44,24,12,6,19,68,0.3086,0.1714,0.3429,8,25,16,11,3,21,1,2018-11-14
Nets,Heat,107,0.4059,0.2857,0.6071,16,30,17,10,2,15,120,0.5412,0.2759,0.6897,6,41,23,6,6,17,0,2018-11-14
Bucks,Grizzlies,113,0.5062,0.2571,0.6286,9,35,22,5,8,16,116,0.506,0.3889,0.5,4,30,24,8,4,12,0,2018-11-14
Magic,76ers,111,0.5,0.4286,0.6786,5,32,23,7,4,10,106,0.4767,0.4828,0.3448,10,31,32,2,3,14,1,2018-11-14
Wizards,Cavaliers,119,0.4783,0.325,0.45,12,32,30,17,3,18,95,0.4545,0.1905,1.0,9,33,22,12,6,23,1,2018-11-14
Raptors,Pistons,104,0.4891,0.2,0.5,12,37,23,9,3,20,106,0.4835,0.303,0.2424,7,32,24,8,5,17,0,2018-11-14
Timberwolves,Pelicans,107,0.4111,0.4375,0.5938,11,36,29,14,6,15,100,0.4255,0.3214,0.3929,10,36,25,7,6,18,1,2018-11-14
Celtics,Bulls,111,0.4667,0.4412,0.3529,8,43,27,12,5,13,82,0.3929,0.3043,0.3913,7,40,16,8,3,22,1,2018-11-14
Thunder,Knicks,128,0.5368,0.4848,0.303,13,34,32,11,7,16,103,0.4432,0.2692,0.6923,9,27,18,8,8,18,1,2018-11-14
Lakers,Trail Blazers,126,0.4731,0.4688,0.7188,11,37,25,11,6,13,117,0.4409,0.4242,0.6364,11,36,24,8,10,14,1,2018-11-14
Nuggets,Hawks,138,0.5638,0.4194,0.6129,11,45,34,12,6,15,93,0.3478,0.2143,0.4762,15,28,20,7,5,19,1,2018-11-15
Clippers,Spurs,116,0.4706,0.3478,1.2174,9,41,23,2,3,12,111,0.402,0.3103,0.6897,15,30,19,7,6,5,1,2018-11-15
Rockets,Warriors,107,0.4023,0.3404,0.4468,14,27,20,8,4,5,86,0.4211,0.2222,1.0,12,32,18,2,5,16,1,2018-11-15
Celtics,Raptors,123,0.5281,0.3462,0.7692,9,37,25,9,6,18,116,0.433,0.2759,0.8276,11,32,20,12,4,13,1,2018-11-16
Wizards,Nets,104,0.4253,0.1667,1.5,12,35,18,5,4,13,115,0.4222,0.2727,0.9091,13,34,19,8,3,11,0,2018-11-16
Pacers,Heat,99,0.4444,0.5185,0.4815,4,43,22,10,6,19,91,0.3763,0.3889,0.1944,13,38,21,10,5,16,1,2018-11-16
76ers,Jazz,113,0.5062,0.4783,0.8696,10,31,25,7,5,17,107,0.4659,0.1818,0.9545,10,29,15,10,4,13,1,2018-11-16
Grizzlies,Kings,112,0.5059,0.44,0.6,9,31,24,11,5,13,104,0.4625,0.3636,0.5455,9,33,23,9,2,21,1,2018-11-16
Pelicans,Knicks,129,0.4848,0.2941,0.6765,11,43,27,5,5,15,124,0.4898,0.3235,0.5,12,32,15,10,6,13,1,2018-11-16
Bucks,Bulls,123,0.5054,0.4186,0.2558,11,44,28,8,8,16,104,0.4362,0.3939,0.2727,4,32,22,8,3,12,1,2018-11-16
Timberwolves,Trail Blazers,112,0.5,0.4286,0.2857,9,34,28,11,4,12,96,0.4205,0.2759,0.4828,11,37,16,6,1,18,1,2018-11-16
Pelicans,Nuggets,125,0.4828,0.4,1.24,10,36,29,6,8,11,115,0.4842,0.3846,0.2051,10,33,30,5,6,13,1,2018-11-17
Suns,Thunder,100,0.4512,0.4138,0.4828,4,27,25,14,6,14,110,0.4471,0.2917,1.125,14,38,17,9,7,18,0,2018-11-17
Nets,Clippers,119,0.4545,0.4643,0.9286,15,32,25,4,5,11,127,0.5053,0.4783,0.8696,9,29,23,4,1,8,0,2018-11-17
Rockets,Kings,132,0.5679,0.4255,0.4255,6,35,27,9,10,22,112,0.451,0.3143,0.2571,13,26,23,10,3,14,1,2018-11-17
Bulls,Raptors,83,0.3488,0.2963,0.5556,7,27,21,13,3,22,122,0.5393,0.4,0.3429,8,46,31,14,10,23,0,2018-11-17
Pacers,Hawks,97,0.4023,0.4,0.5,10,43,25,11,6,22,89,0.3563,0.2759,0.6552,5,36,20,15,6,18,1,2018-11-17
Celtics,Jazz,86,0.3846,0.1515,0.3333,17,34,16,11,4,14,98,0.4487,0.2895,0.4474,7,39,23,11,4,14,0,2018-11-17
Magic,Lakers,130,0.5376,0.3438,0.5938,11,30,28,5,8,13,117,0.4778,0.3333,0.7,8,33,22,5,6,14,1,2018-11-17
Mavericks,Warriors,112,0.4651,0.2941,0.6471,8,38,18,6,5,10,109,0.4468,0.2727,0.4848,12,35,24,6,6,12,1,2018-11-17
Hornets,76ers,119,0.4242,0.3226,0.8065,9,40,23,10,3,17,122,0.4194,0.3143,0.9429,9,44,23,9,6,19,0,2018-11-17
Magic,Knicks,131,0.5714,0.4062,0.6875,7,28,35,5,6,15,117,0.4598,0.3333,1.2083,17,25,12,7,2,14,1,2018-11-18
Heat,Lakers,97,0.4023,0.4062,0.4375,12,36,20,3,5,12,113,0.4421,0.4074,0.6667,14,36,16,7,5,9,0,2018-11-18
Spurs,Warriors,104,0.4457,0.4167,0.5,11,37,24,3,5,10,92,0.40700000000000003,0.1923,0.6538,10,36,20,6,4,11,1,2018-11-18
Wizards,Trail Blazers,109,0.4479,0.4062,0.3125,9,34,28,4,9,11,119,0.4535,0.3667,1.0,9,43,26,4,3,15,0,2018-11-18
Timberwolves,Grizzlies,87,0.3875,0.4138,0.4483,10,39,20,8,3,20,100,0.4268,0.4286,0.6429,10,33,26,11,9,12,0,2018-11-18
Pacers,Jazz,121,0.5269,0.48,0.44,11,33,35,13,3,9,94,0.4865,0.44,0.44,3,33,26,6,10,18,1,2018-11-19
Hawks,Clippers,119,0.4455,0.3158,0.4474,16,35,29,6,6,14,127,0.4301,0.303,1.1212,15,37,24,9,8,15,0,2018-11-19
Hornets,Celtics,117,0.4831,0.3659,0.3902,8,36,18,5,3,13,112,0.5056,0.2812,0.4062,8,33,31,9,6,12,1,2018-11-19
Pelicans,Spurs,140,0.5784,0.3846,0.4615,14,28,34,10,5,10,126,0.4787,0.5,1.0,18,26,22,7,0,15,1,2018-11-19
Bucks,Nuggets,104,0.4545,0.3056,0.3611,13,38,21,8,3,15,98,0.4255,0.2927,0.1463,13,30,30,6,4,17,1,2018-11-19
Grizzlies,Mavericks,98,0.4684,0.4,0.4,5,40,29,8,11,15,88,0.3409,0.3125,0.5625,7,36,17,8,4,9,1,2018-11-19
Kings,Thunder,117,0.4412,0.4211,0.2895,14,45,29,7,4,15,113,0.4167,0.2927,0.2683,13,40,22,8,3,13,1,2018-11-19
76ers,Suns,119,0.4881,0.2727,1.4091,13,40,24,8,1,19,114,0.5057,0.3939,0.3939,5,26,25,9,4,13,1,2018-11-19
Pistons,Cavaliers,113,0.4607,0.3421,0.4737,13,37,26,5,4,10,102,0.44299999999999995,0.381,1.1429,11,25,16,8,3,9,1,2018-11-19
Knicks,Trail Blazers,114,0.506,0.4483,0.5862,10,32,22,8,5,15,118,0.4737,0.4571,0.3429,14,29,25,8,4,11,0,2018-11-20
Magic,Raptors,91,0.4048,0.2667,0.5,11,38,24,5,4,14,93,0.4483,0.2647,0.1765,6,37,23,7,5,16,0,2018-11-20
Wizards,Clippers,125,0.4301,0.3333,0.8205,11,33,27,11,8,7,118,0.5169,0.4074,0.5556,7,37,20,6,4,17,1,2018-11-20
Heat,Nets,92,0.36,0.2188,0.4062,18,34,18,5,6,14,104,0.4318,0.2581,0.6452,13,40,17,6,4,11,0,2018-11-20
Rockets,Pistons,126,0.5556,0.3939,1.0,5,31,18,8,7,15,124,0.4706,0.4706,0.8235,15,22,20,8,1,16,1,2018-11-21
Hawks,Raptors,108,0.4516,0.2778,0.3889,9,25,24,10,7,9,124,0.5333,0.3793,0.5862,14,41,33,6,1,17,0,2018-11-21
Bulls,Suns,124,0.5679,0.44,0.84,4,35,28,8,2,17,116,0.4898,0.2941,0.2941,6,30,28,9,5,13,1,2018-11-21
Timberwolves,Nuggets,101,0.44299999999999995,0.2812,0.6875,8,32,24,8,3,17,103,0.4719,0.4,0.1429,9,31,29,12,4,13,0,2018-11-21
Jazz,Kings,110,0.4318,0.3077,0.5641,12,34,21,7,7,10,119,0.5281,0.44,0.56,8,40,27,5,4,11,0,2018-11-21
Celtics,Knicks,109,0.3918,0.303,0.6970000000000001,15,35,30,10,9,8,117,0.4944,0.5,0.4667,9,40,25,3,11,17,0,2018-11-21
Hornets,Pacers,127,0.5625,0.6207,0.6552,6,30,30,7,3,12,109,0.4881,0.3333,0.4848,10,27,26,5,7,14,1,2018-11-21
Bucks,Trail Blazers,143,0.5278,0.3333,0.3111,13,46,34,8,2,14,100,0.3656,0.2195,0.561,10,30,13,8,6,17,1,2018-11-21
Cavaliers,Lakers,105,0.3824,0.3824,0.4118,15,31,18,3,2,3,109,0.5128,0.36,0.8,7,44,23,2,9,15,0,2018-11-21
76ers,Pelicans,121,0.449,0.3448,0.7931,11,36,27,7,7,16,120,0.4286,0.3667,0.8333,20,34,24,8,8,15,1,2018-11-21
Spurs,Grizzlies,103,0.4268,0.3182,1.1818,10,33,21,4,5,8,104,0.4815,0.32,0.72,4,36,21,4,7,9,0,2018-11-21
Mavericks,Nets,119,0.4872,0.4074,1.1852,8,37,21,10,3,13,113,0.4468,0.3333,0.3571,16,26,23,8,2,14,1,2018-11-21
Warriors,Thunder,95,0.4337,0.2414,0.5517,7,35,24,7,10,17,123,0.4811,0.3714,0.2286,18,43,29,10,5,10,0,2018-11-21
Knicks,Pelicans,114,0.4505,0.3636,0.6061,12,34,22,9,10,8,109,0.396,0.25,0.7857,20,35,26,5,5,14,1,2018-11-23
Nets,Timberwolves,102,0.4177,0.3111,0.4889,9,37,26,2,4,18,112,0.4783,0.36,0.6,9,29,25,15,4,7,0,2018-11-23
Raptors,Wizards,125,0.4946,0.4359,0.4103,13,37,32,5,6,15,107,0.4,0.1957,0.3913,14,30,28,8,7,12,1,2018-11-23
Warriors,Trail Blazers,125,0.5647,0.5312,0.375,6,37,29,11,10,15,97,0.4086,0.375,0.5,12,27,22,9,2,13,1,2018-11-23
Thunder,Hornets,109,0.4409,0.3333,0.4848,11,35,24,6,2,14,104,0.4574,0.1935,0.3871,11,35,24,8,5,13,1,2018-11-23
Lakers,Jazz,90,0.4557,0.3043,0.4783,5,42,10,11,5,23,83,0.3882,0.1739,0.5652,7,34,22,12,3,19,1,2018-11-23
Clippers,Grizzlies,112,0.4255,0.3478,1.0435,8,40,26,6,5,11,107,0.4565,0.3333,0.5185,6,41,29,6,7,16,1,2018-11-23
Hawks,Celtics,96,0.4321,0.1714,0.5714,5,35,22,9,7,20,114,0.4615,0.325,0.425,7,36,31,11,7,16,0,2018-11-23
Pacers,Spurs,100,0.4646,0.125,0.2083,11,34,31,9,2,12,111,0.506,0.4762,0.8095,9,37,28,3,4,15,0,2018-11-23
76ers,Cavaliers,112,0.5333,0.3636,0.6061,4,27,27,5,2,10,121,0.5269,0.5,0.5455,14,28,16,7,1,8,0,2018-11-23
Nuggets,Magic,112,0.4731,0.3214,0.5357,12,39,33,10,5,11,87,0.4051,0.25,0.4688,4,33,24,7,2,13,1,2018-11-23
Pistons,Rockets,116,0.4545,0.2593,1.0741,14,35,18,11,5,13,111,0.4184,0.2778,0.5278,17,27,22,6,7,14,1,2018-11-23
Bucks,Suns,114,0.4828,0.2273,0.4545,7,36,30,6,7,14,116,0.5,0.3462,0.6538,6,34,21,8,4,11,0,2018-11-23
Bulls,Heat,96,0.3723,0.25,0.6786,11,40,23,8,6,17,103,0.4253,0.2941,0.5588,10,38,20,10,11,14,0,2018-11-23
Thunder,Nuggets,98,0.3592,0.2308,0.3846,19,35,22,9,5,10,105,0.4105,0.3333,0.5667,15,39,26,6,9,14,0,2018-11-24
Bucks,Spurs,135,0.5698,0.375,0.55,6,35,30,7,3,13,129,0.5326,0.4762,1.0,9,30,27,8,3,10,1,2018-11-24
Timberwolves,Bulls,111,0.4078,0.2059,0.5882,21,38,22,7,5,13,96,0.3951,0.303,0.6667,6,34,22,7,4,13,1,2018-11-24
Wizards,Pelicans,124,0.5667,0.3448,0.4138,5,40,30,12,9,14,114,0.4778,0.3548,0.5484,7,36,23,10,3,16,1,2018-11-24
Warriors,Kings,117,0.4659,0.2941,0.7353,12,42,28,5,6,14,116,0.433,0.3929,0.75,13,34,28,6,4,8,1,2018-11-24
Mavericks,Celtics,113,0.4828,0.3902,0.3171,13,30,27,12,3,16,104,0.4767,0.3571,0.4286,9,33,19,8,3,17,1,2018-11-24
Cavaliers,Rockets,117,0.4889,0.3182,1.0,20,29,15,11,2,13,108,0.5,0.3846,0.4872,8,23,18,5,4,16,1,2018-11-24
Pistons,Suns,118,0.4624,0.3902,0.3902,13,28,30,9,0,12,107,0.5122,0.32,0.6,10,32,22,6,6,17,1,2018-11-25
Lakers,Magic,104,0.4684,0.3846,0.7692,5,37,22,9,10,18,108,0.4516,0.3548,0.4194,9,36,31,8,5,13,0,2018-11-25
Hawks,Hornets,124,0.5319,0.4103,0.2051,9,32,34,5,9,15,123,0.4457,0.4,0.5111,10,32,30,8,4,10,1,2018-11-25
Kings,Jazz,112,0.4706,0.3913,1.0,7,29,20,10,7,17,133,0.5326,0.3333,0.8333,13,36,30,11,5,18,0,2018-11-25
Trail Blazers,Clippers,100,0.433,0.2105,0.2105,16,42,18,2,5,12,104,0.4222,0.2,0.92,11,37,15,9,5,4,0,2018-11-25
Grizzlies,Knicks,98,0.4419,0.3667,0.3667,6,35,27,5,19,7,103,0.3736,0.3636,1.2273,14,42,17,4,5,7,0,2018-11-25
Raptors,Heat,125,0.5222,0.3143,0.5714,11,36,25,4,7,9,115,0.4105,0.4167,0.6111,17,29,21,6,5,7,1,2018-11-25
Nets,76ers,125,0.5682,0.4,0.6,10,33,19,2,4,16,127,0.4835,0.4138,0.9309999999999999,13,29,28,9,6,9,0,2018-11-25
Warriors,Magic,116,0.4881,0.3714,0.6,10,36,21,8,7,14,110,0.4444,0.4667,0.5333,6,28,28,11,2,11,1,2018-11-26
Hornets,Bucks,110,0.4691,0.4483,0.7241,5,39,21,9,5,11,107,0.4111,0.3478,0.3696,10,38,25,7,5,14,1,2018-11-26
Jazz,Pacers,88,0.4198,0.2581,0.3871,10,28,25,10,4,17,121,0.5833,0.5,0.7778,4,35,33,13,4,16,0,2018-11-26
Cavaliers,Timberwolves,95,0.4186,0.3226,0.4194,9,31,24,4,3,16,102,0.4651,0.3077,0.5385,8,31,18,8,8,8,0,2018-11-26
Pelicans,Celtics,107,0.4416,0.375,0.8438,9,31,21,8,5,22,124,0.4948,0.4872,0.2308,14,28,27,14,4,13,0,2018-11-26
Wizards,Rockets,135,0.5618,0.3793,0.8276,9,29,29,7,7,13,131,0.4742,0.375,0.4375,18,30,22,8,5,19,1,2018-11-26
Bulls,Spurs,107,0.4667,0.4242,0.2727,5,38,23,6,5,11,108,0.4839,0.3333,0.2667,7,39,29,7,2,10,0,2018-11-26
Nuggets,Lakers,117,0.4845,0.36,0.56,16,44,28,7,4,11,85,0.3908,0.1429,0.3429,8,31,19,5,8,12,1,2018-11-27
Grizzlies,Raptors,114,0.5059,0.3448,0.6207,11,24,27,9,5,13,122,0.6087,0.5455,0.6061,4,27,25,5,5,15,0,2018-11-27
Heat,Hawks,113,0.4598,0.3421,0.5263,11,32,22,20,3,20,115,0.475,0.3871,0.871,10,36,22,13,7,24,0,2018-11-27
Pistons,Knicks,115,0.475,0.2917,1.3333,7,41,20,5,7,13,108,0.3956,0.3333,1.0,13,37,16,5,5,13,1,2018-11-27
Suns,Pacers,104,0.4457,0.3333,0.4,12,33,20,8,6,8,109,0.4222,0.4231,0.8462,17,38,25,8,6,12,0,2018-11-27
Bucks,Bulls,116,0.4943,0.3429,0.5143,8,40,29,6,8,12,113,0.4494,0.2973,0.5946,9,36,28,9,3,11,1,2018-11-28
Clippers,Suns,115,0.4651,0.5238,1.1429,18,38,21,6,7,21,99,0.4382,0.3077,0.5,7,27,20,17,6,16,1,2018-11-28
Timberwolves,Spurs,128,0.5051,0.439,0.2439,13,35,33,12,6,8,89,0.3908,0.2963,0.4815,12,34,23,1,8,18,1,2018-11-28
76ers,Knicks,117,0.5402,0.48,0.44,8,42,34,7,5,16,91,0.3478,0.2069,0.7241,11,30,14,11,5,13,1,2018-11-28
Thunder,Cavaliers,100,0.4767,0.2222,0.4444,8,42,25,5,11,13,83,0.3933,0.3913,0.1739,7,36,20,4,1,12,1,2018-11-28
Nets,Jazz,91,0.3488,0.3667,0.6667,14,34,11,12,5,20,101,0.4756,0.3214,0.5,8,40,17,10,6,19,0,2018-11-28
Hornets,Hawks,108,0.4578,0.2,1.4,5,39,20,15,5,14,94,0.3441,0.25,0.4318,16,38,20,11,8,19,1,2018-11-28
Rockets,Mavericks,108,0.4598,0.2889,0.3333,15,23,28,10,5,16,128,0.5412,0.5,0.5588,10,27,27,10,7,14,0,2018-11-28
Trail Blazers,Magic,115,0.4353,0.4872,0.5641,13,34,24,8,1,11,112,0.5185,0.4667,0.4667,3,34,28,3,8,14,1,2018-11-28
Pelicans,Wizards,125,0.4842,0.3056,0.6111,17,47,24,10,5,20,104,0.4316,0.3333,0.2308,12,26,26,12,2,16,1,2018-11-28
Raptors,Warriors,131,0.5222,0.3947,0.5789,7,30,25,5,6,14,128,0.4854,0.3667,0.5667,17,29,27,6,5,14,1,2018-11-29
Kings,Clippers,121,0.4792,0.2917,0.9167,16,32,26,4,2,11,133,0.5556,0.4286,0.75,8,30,25,7,5,9,0,2018-11-29
Lakers,Pacers,104,0.4884,0.2917,0.5417,11,39,25,8,11,18,96,0.3721,0.4348,0.9565,10,34,23,14,4,17,1,2018-11-29
Nets,Grizzlies,125,0.4468,0.3636,0.5682,11,40,26,7,4,16,131,0.495,0.4,0.6333,11,34,27,8,6,17,0,2018-11-30
Pistons,Bulls,107,0.4457,0.3824,0.3529,13,39,24,5,5,13,88,0.4302,0.1429,0.5238,7,33,25,5,7,15,1,2018-11-30
Suns,Magic,85,0.4048,0.25,0.3571,9,31,22,5,0,12,99,0.4756,0.2963,0.4815,8,36,23,7,5,12,0,2018-11-30
Hornets,Jazz,111,0.4947,0.3214,0.2857,7,31,19,8,3,8,119,0.5432,0.45,0.325,6,35,32,5,5,14,0,2018-11-30
Heat,Pelicans,106,0.4301,0.3333,0.4545,13,33,22,10,4,10,101,0.4268,0.2143,0.8929,11,35,25,4,8,16,1,2018-11-30
76ers,Wizards,123,0.4388,0.3158,0.6579,17,41,28,11,7,12,98,0.4022,0.2857,0.5714,8,34,22,10,4,15,1,2018-11-30
Lakers,Mavericks,114,0.4884,0.3,0.7,9,38,23,8,3,17,103,0.3953,0.2564,0.6409999999999999,9,37,20,9,4,16,1,2018-11-30
Spurs,Rockets,105,0.4535,0.3571,0.6071,9,32,24,4,4,13,136,0.5,0.4074,0.2963,13,36,32,9,6,5,0,2018-11-30
Trail Blazers,Nuggets,112,0.5294,0.2727,0.7273,12,32,19,7,6,14,113,0.4598,0.4667,0.6333,13,28,28,11,3,11,0,2018-11-30
Thunder,Hawks,124,0.5227,0.439,0.3415,7,39,30,12,7,20,109,0.4479,0.3056,0.3333,14,28,26,15,3,21,1,2018-11-30
Celtics,Cavaliers,128,0.5326,0.5484,0.4194,12,35,30,4,4,10,95,0.3896,0.3182,1.2727,9,27,18,5,1,13,1,2018-11-30
Timberwolves,Celtics,109,0.4512,0.3214,0.9286,9,30,19,6,2,16,118,0.4706,0.3864,0.4773,7,33,30,9,3,14,0,2018-12-01
Pistons,Warriors,111,0.4388,0.3429,0.3714,14,33,22,8,2,11,102,0.4588,0.2308,0.6923,8,36,23,6,5,14,1,2018-12-01
Knicks,Bucks,136,0.5312,0.5882,0.4118,6,35,30,5,2,16,134,0.4894,0.4286,0.5714,10,41,28,11,4,16,1,2018-12-01
Rockets,Bulls,121,0.5,0.3902,0.5122,6,41,23,8,7,14,105,0.4432,0.25,0.5938,7,34,15,11,6,13,1,2018-12-01
Kings,Pacers,111,0.4505,0.4483,0.5517,14,32,25,10,3,20,110,0.5244,0.4167,0.5833,6,36,32,11,5,25,1,2018-12-01
Cavaliers,Raptors,95,0.3864,0.2273,1.0,11,33,14,6,0,11,106,0.4875,0.2692,0.8077,6,36,15,5,5,10,0,2018-12-01
Wizards,Nets,102,0.519,0.3077,0.4615,2,36,19,8,3,13,88,0.3704,0.2424,0.6061,11,31,19,8,2,17,1,2018-12-01
Heat,Jazz,102,0.3956,0.4194,0.5484,14,36,20,8,8,13,100,0.4382,0.3333,0.3333,10,40,21,8,6,13,1,2018-12-02
Hornets,Pelicans,109,0.4286,0.2778,0.5833,11,30,25,9,6,11,119,0.5116,0.3438,0.625,9,41,30,6,5,17,0,2018-12-02
76ers,Grizzlies,103,0.4865,0.3636,1.0455,3,41,22,5,2,16,95,0.4177,0.3929,0.6429,3,32,19,7,7,14,1,2018-12-02
Mavericks,Clippers,114,0.4421,0.3478,0.9565,17,47,20,6,5,16,110,0.4421,0.375,0.7083,8,36,23,9,5,10,1,2018-12-02
Lakers,Suns,120,0.5,0.4074,0.6296,11,45,26,9,4,19,96,0.3978,0.3939,0.2727,7,33,24,12,8,15,1,2018-12-02
Spurs,Trail Blazers,131,0.6024,0.7333,1.3333,5,29,29,5,4,12,118,0.5233,0.4138,0.5517,9,26,25,6,5,17,1,2018-12-02
Pistons,Thunder,83,0.3298,0.1875,0.4688,9,32,16,10,3,15,110,0.5059,0.28,0.68,6,46,23,10,8,17,0,2018-12-03
Raptors,Nuggets,103,0.4598,0.2683,0.2927,7,34,28,11,5,17,106,0.4494,0.3929,0.5357,15,34,32,9,2,20,0,2018-12-03
Hawks,Warriors,111,0.4889,0.1923,0.6923,9,26,23,10,4,18,128,0.5854,0.5417,0.7917,6,33,33,10,8,20,0,2018-12-03
Timberwolves,Rockets,103,0.439,0.5,0.9091,13,29,22,11,7,14,91,0.4324,0.2821,0.4103,7,27,24,9,6,20,1,2018-12-03
Nets,Cavaliers,97,0.3939,0.25,0.225,17,33,17,5,2,7,99,0.4318,0.2667,1.2667,14,41,15,5,4,9,0,2018-12-03
Knicks,Wizards,107,0.4111,0.3529,0.6176,19,36,20,4,5,16,110,0.4783,0.4062,0.2812,8,30,30,7,8,10,0,2018-12-03
Pelicans,Clippers,126,0.5326,0.3824,0.4412,10,25,32,10,5,7,129,0.5904,0.4,1.15,7,32,29,4,1,12,0,2018-12-03
Pacers,Bulls,96,0.4605,0.2727,0.9091,6,39,22,10,6,18,90,0.3936,0.3548,0.1613,12,32,26,8,2,18,1,2018-12-04
Heat,Magic,90,0.4176,0.3429,0.0571,16,31,19,7,11,15,105,0.4419,0.5,0.5357,11,32,22,5,4,11,0,2018-12-04
Suns,Kings,105,0.4368,0.2791,0.3953,13,30,27,9,4,21,122,0.5357,0.4583,0.875,9,33,27,13,3,13,0,2018-12-04
Mavericks,Trail Blazers,111,0.4318,0.3667,0.8,15,35,25,11,4,13,102,0.4524,0.2917,0.7917,11,37,20,7,6,18,1,2018-12-04
Jazz,Spurs,139,0.6071,0.6061,0.5152,5,37,38,12,5,17,105,0.4889,0.3182,0.4545,7,25,25,7,5,16,1,2018-12-04
