home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Raptors,Hornets,127,0.5747,0.3846,0.3077,5,41,36,10,8,13,106,0.4227,0.3214,0.5357,14,27,21,5,5,12,1,2018-10-22
Mavericks,Bulls,115,0.4301,0.3191,0.4255,13,28,25,8,2,15,109,0.5125,0.5652,0.6087,7,27,18,6,4,19,1,2018-10-22
Lakers,Spurs,142,0.514,0.359,0.4615,13,39,33,5,6,15,143,0.5155,0.5357,1.0,10,37,32,9,3,9,0,2018-10-22
Celtics,Magic,90,0.4066,0.225,0.175,9,42,21,6,3,12,93,0.4086,0.2857,0.2,8,41,28,6,2,9,0,2018-10-22
Timberwolves,Pacers,101,0.4235,0.2121,0.6667,8,39,24,9,12,15,91,0.3913,0.3077,0.4231,12,33,18,6,6,15,1,2018-10-22
Trail Blazers,Wizards,124,0.3981,0.2821,0.6923,17,53,22,6,4,19,125,0.4182,0.4054,0.4865,12,42,23,6,7,10,0,2018-10-22
Warriors,Suns,123,0.5114,0.3784,0.5135,7,33,35,12,4,14,103,0.4535,0.2647,0.4706,12,33,24,8,1,21,1,2018-10-22
Bucks,Knicks,124,0.4688,0.425,0.425,19,36,27,5,9,14,113,0.4545,0.3448,0.4483,11,32,22,6,2,11,1,2018-10-22
Pistons,76ers,133,0.4722,0.3636,0.5758,12,34,22,4,4,8,132,0.5,0.3256,0.4651,8,40,32,3,8,11,1,2018-10-23
Pelicans,Clippers,116,0.4301,0.25,1.25,12,36,22,12,8,8,109,0.4713,0.25,1.1,9,38,18,5,4,16,1,2018-10-23
Nuggets,Kings,126,0.5152,0.3667,0.4333,15,34,31,11,3,12,112,0.5233,0.4194,0.2903,9,30,29,7,6,16,1,2018-10-23
Bulls,Hornets,112,0.4805,0.3448,0.9655,9,36,21,4,5,14,110,0.4353,0.2857,0.7429,8,28,23,5,5,6,1,2018-10-24
Cavaliers,Nets,86,0.382,0.1667,0.8333,16,37,18,5,2,15,102,0.4368,0.4118,0.3529,8,36,23,8,1,14,0,2018-10-24
Warriors,Wizards,144,0.5761,0.4545,0.6970000000000001,10,38,37,6,5,15,122,0.4516,0.2857,0.619,7,27,22,7,1,12,1,2018-10-24
Bucks,76ers,123,0.41,0.3023,0.6512,9,42,24,7,10,11,108,0.413,0.3235,0.6176,8,42,29,4,5,16,1,2018-10-24
Suns,Lakers,113,0.5238,0.3226,0.4839,9,35,27,4,4,19,131,0.52,0.3571,0.6071,11,32,34,13,5,8,0,2018-10-24
Heat,Knicks,110,0.4756,0.4483,0.6552,4,47,24,7,5,13,87,0.3626,0.3636,0.2727,10,35,20,5,3,12,1,2018-10-24
Raptors,Timberwolves,112,0.5169,0.3438,0.2812,11,33,26,9,8,16,105,0.4167,0.5,0.3333,16,28,25,10,5,15,1,2018-10-24
Hawks,Mavericks,111,0.4066,0.3947,0.5789,10,44,28,6,6,15,104,0.4176,0.3,0.4,9,43,25,7,9,17,1,2018-10-24
Kings,Grizzlies,97,0.4217,0.3333,1.1667,15,42,19,7,5,14,92,0.38299999999999995,0.2703,0.2703,13,36,18,7,6,15,1,2018-10-24
Spurs,Pacers,96,0.4023,0.3158,1.0526,15,31,16,3,3,13,116,0.5287,0.5312,0.2188,5,35,34,9,5,10,0,2018-10-24
Rockets,Jazz,89,0.4023,0.275,0.2,10,25,16,12,5,15,100,0.4359,0.3448,0.7586,9,38,21,7,5,18,0,2018-10-24
Lakers,Nuggets,121,0.5,0.3448,0.6552,9,33,27,13,3,13,114,0.5,0.2609,0.6957,10,34,22,8,5,19,1,2018-10-25
Pistons,Cavaliers,110,0.5256,0.3929,0.6071,13,35,21,4,5,20,103,0.4607,0.3333,0.5417,7,23,18,11,1,9,1,2018-10-25
Magic,Trail Blazers,114,0.5,0.4,0.5333,11,29,29,5,7,14,128,0.5517,0.4074,0.7778,12,32,24,6,6,10,0,2018-10-25
Thunder,Celtics,95,0.3936,0.25,0.5,16,41,19,5,6,16,101,0.3837,0.3438,0.75,10,35,19,7,1,11,0,2018-10-25
Rockets,Clippers,113,0.3878,0.3659,0.5366,16,26,21,11,7,13,133,0.5443,0.5217,1.5217,5,39,17,8,4,15,0,2018-10-26
Pelicans,Nets,117,0.449,0.3913,0.8696,15,31,23,11,11,11,115,0.4388,0.475,0.25,16,38,26,6,8,18,1,2018-10-26
Timberwolves,Bucks,95,0.3214,0.2326,0.3023,17,32,19,10,6,7,125,0.5326,0.413,0.1739,7,55,32,4,8,17,0,2018-10-26
Kings,Wizards,116,0.4632,0.3784,0.3784,14,39,25,8,4,18,112,0.4651,0.3333,0.4286,5,37,22,8,7,21,1,2018-10-26
Hornets,Bulls,135,0.5699,0.4375,0.4688,11,39,30,10,10,10,106,0.4353,0.4444,0.4444,8,26,21,5,7,13,1,2018-10-26
Knicks,Warriors,100,0.4333,0.3333,0.2308,11,29,17,6,1,19,128,0.5862,0.4848,0.303,6,33,26,10,6,14,0,2018-10-26
Raptors,Mavericks,116,0.4835,0.4074,0.6296,12,38,23,10,5,12,107,0.413,0.4,0.6333,10,34,22,6,6,14,1,2018-10-26
Cavaliers,Pacers,107,0.4651,0.28,0.8,16,23,21,9,2,15,119,0.6486,0.3846,1.3846,4,20,28,13,3,15,0,2018-10-27
Spurs,Lakers,110,0.4835,0.1875,1.1875,12,37,20,7,5,13,106,0.4767,0.3939,0.3333,7,35,19,5,5,17,1,2018-10-27
76ers,Hornets,105,0.3846,0.3571,0.8929,14,42,18,4,8,11,103,0.3895,0.2571,0.5714,9,39,19,3,8,9,1,2018-10-27
Grizzlies,Suns,117,0.557,0.3462,0.7692,3,36,30,12,1,12,96,0.4615,0.2727,0.4545,5,30,28,5,1,19,1,2018-10-27
Pistons,Celtics,89,0.3708,0.1892,0.4324,6,41,16,4,3,11,109,0.4535,0.4118,0.5,8,46,25,4,8,13,0,2018-10-27
Hawks,Bulls,85,0.3214,0.3,0.475,11,37,20,9,8,22,97,0.4337,0.3636,0.3939,8,44,25,14,6,20,0,2018-10-27
