home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Nets,Hawks,116,0.4713,0.4074,0.8519,13,38,27,12,8,18,104,0.3404,0.2593,1.2222,16,32,21,6,2,16,1,2017-10-22
Heat,Rockets,101,0.4432,0.4062,0.3125,15,26,23,3,3,13,109,0.5135,0.3871,0.6774,4,31,16,8,6,9,0,2017-10-23
Raptors,Hawks,111,0.4381,0.3514,0.1622,19,32,22,9,15,11,98,0.4318,0.375,0.5417,14,34,21,6,7,18,1,2017-10-23
Heat,Wizards,93,0.4103,0.4333,0.5333,12,30,15,3,3,17,102,0.4103,0.4737,1.5263,11,29,9,8,2,12,0,2017-10-23
Kings,Warriors,104,0.4421,0.4,0.4,6,27,22,16,3,10,119,0.55,0.5152,0.4242,7,44,25,8,4,25,0,2017-10-23
76ers,Trail Blazers,101,0.4333,0.3438,0.375,11,46,23,12,8,18,81,0.3371,0.2692,0.5385,11,37,14,8,6,17,1,2017-10-23
Bulls,Wizards,113,0.5244,0.5294,0.2647,6,34,30,7,1,17,94,0.4568,0.2667,0.4,6,31,27,5,4,16,1,2017-10-23
Thunder,Kings,95,0.4186,0.3,0.4667,18,41,20,10,6,18,88,0.3929,0.2333,0.5,6,31,22,13,0,13,1,2017-10-23
Pistons,Thunder,108,0.4643,0.3636,0.5455,13,30,24,4,3,16,121,0.4839,0.4242,0.5152,13,30,23,9,2,9,0,2017-10-24
Celtics,Knicks,110,0.4933,0.4828,0.7586,5,36,26,11,7,12,89,0.4235,0.0833,1.3333,11,32,20,8,2,14,1,2017-10-24
Magic,Nets,125,0.494,0.3478,1.5217,6,38,20,8,5,11,121,0.4167,0.3143,0.8571,14,35,21,8,4,15,1,2017-10-24
Knicks,Pacers,108,0.5,0.2609,0.6087,12,34,24,8,7,12,101,0.4684,0.48,0.6,4,30,24,6,2,12,1,2017-10-24
Bulls,Clippers,106,0.4257,0.2414,0.4483,11,34,26,11,2,9,112,0.4868,0.2759,1.0345,6,36,27,4,5,14,0,2017-10-24
Pelicans,Trail Blazers,103,0.4574,0.1667,0.5417,11,43,28,3,10,16,107,0.419,0.3125,0.2812,17,30,20,11,7,10,0,2017-10-24
Bucks,Heat,101,0.4342,0.3929,0.8571,5,33,23,6,4,9,106,0.4634,0.4167,0.8333,10,36,28,4,7,15,0,2017-10-24
Pelicans,Thunder,104,0.4578,0.3438,0.5312,7,37,28,13,3,21,109,0.4316,0.2903,0.5806,14,37,24,13,4,18,0,2017-10-25
Rockets,Nuggets,130,0.5,0.4634,0.6098,11,37,26,5,7,11,104,0.4773,0.1071,0.6071,7,32,25,7,2,10,1,2017-10-25
Nets,Cavaliers,112,0.4301,0.3696,0.3261,10,28,22,11,3,12,107,0.4815,0.3429,0.4857,9,38,21,5,7,21,1,2017-10-25
Timberwolves,Bucks,108,0.5385,0.3684,0.8947,4,35,27,8,7,13,89,0.3765,0.2069,0.6552,15,28,19,6,1,15,1,2017-10-25
Kings,Jazz,105,0.5278,0.619,0.7619,8,28,19,9,4,19,120,0.5679,0.4138,0.5517,6,23,26,15,4,10,0,2017-10-25
Trail Blazers,Suns,114,0.4396,0.4231,0.8846,12,41,27,8,7,14,107,0.4253,0.3462,0.9231,12,34,21,12,7,17,1,2017-10-25
76ers,Magic,130,0.5053,0.4706,0.5294,11,42,35,7,2,11,111,0.4535,0.3871,0.6774,7,34,22,8,5,9,1,2017-10-25
Nuggets,Warriors,115,0.4286,0.4138,0.8621,16,32,28,7,0,15,108,0.5,0.2581,0.4516,11,31,28,9,10,13,1,2017-10-25
Raptors,Bucks,131,0.4945,0.4242,0.8182,6,34,25,8,8,12,127,0.4731,0.4815,0.963,10,33,27,9,3,14,1,2017-10-25
Pistons,Grizzlies,104,0.4605,0.28,1.08,4,37,20,8,4,7,102,0.4167,0.2581,0.4516,10,39,22,3,3,9,1,2017-10-26
Wizards,Heat,88,0.381,0.2857,0.4,7,39,18,4,4,12,91,0.4096,0.2857,0.3714,10,42,21,6,7,15,0,2017-10-26
Rockets,Clippers,101,0.3889,0.2927,0.4634,16,34,20,4,9,11,96,0.4536,0.2222,0.2222,11,34,16,3,4,9,1,2017-10-26
Bucks,Celtics,89,0.4545,0.44,0.32,2,35,22,6,3,16,96,0.4231,0.3667,0.6333,6,39,21,7,4,15,0,2017-10-26
Bulls,Hornets,120,0.4646,0.4412,0.3824,11,33,26,9,4,7,114,0.4938,0.3824,0.6176,10,39,24,3,4,20,1,2017-10-26
Knicks,Nets,107,0.449,0.3333,0.3704,19,36,19,7,6,11,86,0.4,0.3667,0.5,5,30,18,5,1,16,1,2017-10-27
Knicks,Hornets,118,0.6,0.48,0.64,6,29,29,5,5,16,113,0.4615,0.4054,0.3784,17,23,24,8,2,13,1,2017-10-27
Wizards,Suns,116,0.4457,0.3333,0.8,15,30,20,5,4,12,122,0.494,0.375,1.2917,11,34,23,5,5,9,0,2017-10-27
