pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome
110.66666666666666,0.4755,0.3510833333333333,0.8968333333333334,9.75,31.0,22.916666666666664,7.916666666666668,4.416666666666667,11.25,97.98571428571431,0.44192857142857145,0.3573428571428572,0.4934857142857142,9.271428571428572,35.371428571428574,20.557142857142857,7.1,6.0,16.8,0
110.75,0.4904166666666666,0.349,0.8276666666666668,10.75,35.0,21.166666666666664,6.583333333333334,3.5,14.333333333333332,109.0,0.4275,0.4055,0.7318333333333333,13.166666666666668,38.66666666666667,22.833333333333336,8.5,6.833333333333334,14.166666666666668,0
114.46666666666668,0.5107666666666667,0.3977333333333333,0.5310999999999999,10.9,34.03333333333333,30.43333333333333,7.666666666666666,7.533333333333332,18.133333333333333,101.41666666666666,0.43875,0.3588333333333333,0.5554166666666667,10.333333333333332,31.91666666666667,20.916666666666664,9.333333333333332,4.583333333333334,12.583333333333332,1
110.58333333333334,0.4686666666666667,0.2633333333333333,0.647,10.5,40.91666666666667,25.25,7.75,9.833333333333334,15.25,102.83333333333334,0.4358333333333333,0.35050000000000003,0.8336666666666666,9.666666666666668,30.5,20.166666666666664,7.0,4.333333333333333,14.666666666666664,1
101.625,0.439125,0.371875,0.655875,9.0,35.375,21.75,9.875,4.5,13.0,101.83333333333331,0.44066666666666665,0.32666666666666666,0.5606666666666666,10.5,31.16666666666667,22.166666666666664,9.0,5.0,12.0,1
102.0,0.48715,0.294,0.8303,10.95,33.0,23.4,7.05,3.6,16.25,101.1,0.4467,0.3887333333333334,0.6178,9.8,29.86666666666667,20.133333333333333,10.8,2.2333333333333334,14.266666666666666,1
100.21428571428572,0.4595952380952381,0.34,0.7894285714285715,7.571428571428571,33.6904761904762,20.904761904761905,6.8809523809523805,4.666666666666666,14.0,114.5,0.4415833333333333,0.3560833333333333,0.5626666666666666,11.25,34.16666666666667,22.25,8.916666666666668,8.416666666666666,11.083333333333332,0
100.66666666666666,0.43625,0.3452083333333333,0.5465416666666667,10.708333333333332,31.41666666666667,22.041666666666664,8.833333333333332,5.083333333333334,11.833333333333332,108.83333333333331,0.4643333333333333,0.3673333333333333,0.8993333333333333,10.833333333333332,30.66666666666667,22.33333333333333,8.5,4.0,11.166666666666668,1
99.03571428571428,0.4445952380952381,0.3663095238095238,0.4885357142857142,9.321428571428571,35.154761904761905,21.107142857142858,6.75,5.833333333333334,16.5,111.25,0.438125,0.417375,0.7285,12.375,39.0,23.5,8.25,6.75,14.0,0
102.20833333333334,0.43220833333333336,0.3200833333333333,0.7340833333333333,12.083333333333332,32.95833333333333,18.5,7.458333333333334,5.375,15.416666666666664,98.75,0.44654166666666667,0.3724166666666666,0.4821874999999999,9.3125,34.58333333333333,21.125,6.75,5.520833333333334,16.375,0
106.83333333333334,0.4594166666666667,0.3744166666666667,0.70075,10.416666666666666,33.66666666666667,22.583333333333336,6.666666666666666,4.0,14.833333333333332,115.15,0.4717166666666667,0.37101666666666666,0.5317833333333333,8.933333333333334,33.5,21.566666666666666,7.583333333333332,4.966666666666667,10.75,0
101.46428571428572,0.4661785714285714,0.348,0.8596785714285715,7.446428571428571,32.23214285714286,21.44642857142857,6.7142857142857135,4.5,13.75,104.66666666666666,0.4633333333333334,0.29366666666666663,0.6859999999999999,9.166666666666668,38.0,20.833333333333336,5.166666666666666,4.833333333333334,15.833333333333332,0
114.45833333333334,0.441875,0.3672916666666667,0.7349583333333334,11.875,33.41666666666667,22.041666666666664,8.458333333333334,3.791666666666667,16.375,104.5,0.4350000000000001,0.334,0.7658749999999999,11.5,32.25,19.0,7.0,4.875,14.625,0
100.71428571428572,0.4524464285714286,0.3726071428571428,0.5196517857142856,9.491071428571429,35.07142857142857,20.94642857142857,6.571428571428571,5.4017857142857135,16.232142857142858,107.575,0.460875,0.35975,0.6605000000000001,8.25,30.975,23.65,9.35,4.3,12.175,1
107.04166666666666,0.4632083333333333,0.3715,0.90275,10.583333333333332,30.91666666666667,22.541666666666664,8.083333333333334,4.083333333333334,11.291666666666668,109.83333333333334,0.4811666666666666,0.349,0.8050000000000002,10.333333333333332,34.0,21.166666666666664,6.666666666666668,3.5,13.333333333333332,1
105.75,0.472625,0.3015,0.715625,9.125,38.0,21.125,5.25,4.5,16.125,105.875,0.4556250000000001,0.3468333333333333,0.6890000000000001,8.416666666666668,31.291666666666664,22.75,9.333333333333332,4.416666666666667,12.541666666666668,0
101.15873015873017,0.4527936507936508,0.3718015873015873,0.5123253968253968,9.817460317460318,35.23809523809524,21.12698412698413,6.84920634920635,5.3809523809523805,16.134920634920636,101.5,0.439875,0.350375,0.569875,10.875,31.625,22.375,8.75,5.625,11.75,0
106.44642857142857,0.4545178571428572,0.3544642857142857,0.6797857142857143,8.678571428571429,31.94642857142857,23.107142857142854,9.25,4.571428571428571,12.446428571428573,101.5,0.4467,0.3961,0.6509,9.9,30.3,20.8,9.8,2.6,13.4,0
