team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Knicks,102,0.473,0.292,0.375,8,32,25,6,3,14,2017-11-25
Bulls,104,0.512,0.28,0.52,8,32,28,10,7,14,2017-11-25
Hawks,107,0.481,0.29,0.774,6,29,22,5,4,15,2017-11-27
Knicks,111,0.487,0.294,1.647,6,27,16,9,4,12,2017-11-27
Lakers,109,0.412,0.371,0.343,20,32,24,6,6,16,2017-11-29
Knicks,113,0.475,0.409,0.364,15,34,25,7,7,14,2017-11-29
Thunder,96,0.424,0.444,0.444,16,26,18,9,7,14,2017-12-03
Knicks,111,0.551,0.609,0.913,6,29,21,9,3,13,2017-12-03
Knicks,91,0.419,0.167,0.889,10,27,21,10,5,17,2017-12-04
Hornets,109,0.489,0.45,0.7,12,35,30,10,6,19,2017-12-04
Knicks,101,0.454,0.333,0.208,16,35,25,6,9,14,2017-12-06
Pistons,104,0.432,0.4,0.72,15,29,19,8,5,11,2017-12-06
76ers,105,0.427,0.357,0.893,12,36,21,7,7,15,2017-12-09
Knicks,98,0.404,0.267,1.2,18,27,18,7,5,10,2017-12-09
Knicks,87,0.407,0.174,0.391,7,44,21,6,5,12,2017-12-10
Bulls,92,0.407,0.357,0.429,4,46,23,9,3,15,2017-12-10
Knicks,107,0.456,0.357,1.429,12,32,31,6,8,9,2017-12-12
Spurs,119,0.512,0.45,1.4,10,33,28,2,4,9,2017-12-12
Knicks,105,0.436,0.263,0.947,9,42,24,6,7,6,2017-12-14
Pelicans,103,0.452,0.231,0.808,4,44,24,3,5,10,2017-12-14
Spurs,100,0.378,0.37,1.037,14,36,18,11,5,8,2017-12-16
Knicks,91,0.402,0.318,0.636,12,38,21,5,7,14,2017-12-16
Knicks,103,0.477,0.368,0.737,8,28,19,7,5,14,2017-12-18
Wizards,121,0.593,0.391,0.696,6,36,27,9,5,12,2017-12-18
Knicks,103,0.487,0.385,1.538,8,31,14,11,7,19,2017-12-21
Heat,107,0.404,0.286,0.452,15,29,24,10,5,14,2017-12-21
Knicks,100,0.458,0.375,1.125,10,49,22,4,6,16,2017-12-22
Mavericks,96,0.38,0.25,0.833,9,31,22,7,3,7,2017-12-22
Bulls,122,0.459,0.455,0.515,10,38,21,10,5,16,2017-12-25
Knicks,119,0.5,0.455,0.591,11,40,24,5,9,18,2017-12-25
Knicks,108,0.542,0.5,0.25,9,27,25,6,6,16,2017-12-27
Timberwolves,118,0.516,0.37,0.37,16,27,33,12,4,12,2017-12-27
Pelicans,123,0.474,0.281,0.75,12,34,19,17,7,19,2017-12-28
Knicks,118,0.474,0.353,0.412,10,34,28,12,7,22,2017-12-28
Knicks,99,0.427,0.259,0.815,12,33,22,5,12,14,2017-12-30
Grizzlies,105,0.451,0.357,0.464,15,29,23,9,3,11,2017-12-30
Knicks,117,0.494,0.55,0.9,7,29,23,6,6,12,2018-01-02
Jazz,115,0.462,0.355,0.645,15,37,19,4,6,17,2018-01-02
Knicks,107,0.543,0.48,0.28,7,26,32,3,5,17,2018-01-03
Lakers,127,0.56,0.385,0.577,12,27,31,10,3,6,2018-01-03
Knicks,112,0.518,0.409,0.773,6,32,28,4,0,13,2018-01-05
Warriors,123,0.554,0.433,0.6,3,33,40,6,3,12,2018-01-05
Knicks,118,0.549,0.381,0.952,3,30,32,9,5,10,2018-01-07
Nuggets,130,0.6,0.5,0.714,2,30,36,3,2,13,2018-01-07
Knicks,107,0.482,0.36,0.64,10,39,25,7,10,16,2018-01-10
Suns,85,0.351,0.333,0.242,12,30,15,6,3,14,2018-01-10
Knicks,90,0.404,0.2,0.52,18,39,24,7,4,18,2018-01-12
Bucks,92,0.434,0.292,0.792,4,32,18,10,8,11,2018-01-12
Hawks,99,0.402,0.455,0.424,13,31,25,6,3,16,2018-01-14
Knicks,96,0.436,0.217,0.391,16,32,16,10,8,15,2018-01-14
Bucks,103,0.451,0.308,0.808,8,35,23,11,6,14,2018-01-15
Knicks,89,0.416,0.217,0.435,11,36,20,5,6,17,2018-01-15
Knicks,88,0.398,0.259,0.556,5,38,19,4,8,15,2018-01-17
Raptors,113,0.453,0.372,0.256,9,43,31,11,5,8,2018-01-17
Knicks,113,0.441,0.257,0.629,12,33,27,8,3,11,2018-01-19
Pacers,121,0.5,0.429,0.536,16,38,27,7,5,13,2018-01-19
Knicks,92,0.392,0.25,1.0,7,26,16,5,4,19,2018-01-21
76ers,108,0.547,0.526,0.842,7,30,27,13,6,17,2018-01-21
Wizards,118,0.545,0.318,0.682,6,39,31,7,9,11,2018-01-23
Knicks,113,0.464,0.474,0.737,11,31,21,7,1,10,2018-01-23
Knicks,120,0.485,0.28,0.68,16,31,28,7,12,8,2018-01-25
Magic,113,0.518,0.458,0.667,5,34,28,7,5,13,2018-01-25
Warriors,125,0.518,0.484,0.71,8,35,31,8,5,12,2018-01-26
Knicks,111,0.49,0.4,0.28,10,29,28,7,3,14,2018-01-26
Knicks,105,0.461,0.44,0.48,10,23,24,4,4,17,2018-01-30
Clippers,128,0.562,0.36,0.76,14,37,34,14,6,11,2018-01-30
Knicks,99,0.455,0.286,0.619,15,33,21,8,7,13,2018-01-31
Kings,102,0.453,0.433,0.367,7,31,21,5,5,11,2018-01-31
Knicks,87,0.422,0.368,0.526,9,30,21,7,7,14,2018-02-02
Trail Blazers,111,0.432,0.606,0.636,15,36,22,4,4,19,2018-02-02
Knicks,112,0.48,0.25,0.393,11,28,24,6,5,11,2018-02-04
Bucks,120,0.562,0.444,1.667,6,36,29,8,6,14,2018-02-04
Raptors,132,0.505,0.457,0.629,14,38,32,3,3,11,2018-02-06
Knicks,106,0.455,0.333,0.905,8,29,21,7,4,10,2018-02-06
Mavericks,110,0.449,0.4,0.457,12,28,22,11,1,12,2018-02-08
Knicks,97,0.488,0.32,0.36,10,34,19,9,1,19,2018-02-08
76ers,118,0.451,0.405,0.568,19,34,29,8,3,14,2018-02-11
Knicks,110,0.517,0.25,0.75,8,36,26,8,4,12,2018-02-11
Hornets,101,0.367,0.273,0.788,13,37,11,7,5,10,2018-02-12
Knicks,124,0.49,0.462,0.538,12,44,24,7,5,8,2018-02-12
Bulls,92,0.359,0.1,0.767,14,34,21,9,7,11,2018-02-14
Knicks,110,0.448,0.314,0.371,15,46,28,6,7,16,2018-02-14
Knicks,98,0.438,0.323,0.323,13,27,21,6,1,14,2018-02-22
Heat,119,0.556,0.441,0.412,5,27,31,9,2,7,2018-02-22
Timberwolves,108,0.467,0.385,1.077,6,39,23,6,6,14,2018-02-24
Knicks,104,0.435,0.429,0.429,10,32,25,9,0,10,2018-02-24
Knicks,101,0.466,0.273,0.591,10,34,26,10,6,14,2018-02-26
Wizards,97,0.425,0.316,0.895,14,32,25,10,7,14,2018-02-26
Knicks,128,0.514,0.3,0.367,11,30,25,6,1,10,2018-03-02
Hornets,137,0.548,0.393,0.857,11,32,25,5,4,14,2018-03-02
Knicks,101,0.383,0.29,0.645,10,36,20,4,5,16,2018-03-04
76ers,118,0.459,0.29,0.613,14,44,34,9,3,12,2018-03-04
Pistons,115,0.518,0.417,0.708,10,33,24,8,5,9,2018-03-06
Knicks,109,0.473,0.448,0.345,9,31,31,4,1,14,2018-03-06
Magic,97,0.42,0.306,0.333,11,42,28,7,5,11,2018-03-09
Knicks,73,0.349,0.148,0.333,7,35,17,5,9,11,2018-03-09
Heat,98,0.398,0.259,0.778,7,35,20,7,5,13,2018-03-11
Knicks,122,0.506,0.486,0.378,9,42,33,7,5,12,2018-03-11
Bucks,115,0.484,0.4,0.6,12,36,30,6,10,10,2018-03-13
Knicks,102,0.432,0.429,0.524,13,31,30,3,7,8,2018-03-13
Cavaliers,123,0.471,0.422,0.533,7,35,29,9,2,10,2018-03-15
Knicks,109,0.529,0.367,0.2,8,29,26,4,7,14,2018-03-15
Knicks,110,0.506,0.444,0.444,8,31,30,10,3,15,2018-03-17
Cavaliers,98,0.394,0.25,0.75,17,31,15,9,3,14,2018-03-17
76ers,115,0.462,0.429,0.4,11,37,25,6,6,17,2018-03-19
Wizards,120,0.433,0.273,1.364,16,36,21,8,10,9,2018-03-19
76ers,94,0.39,0.333,0.917,8,33,18,5,4,20,2018-03-21
Raptors,128,0.472,0.295,0.705,8,43,23,5,10,13,2018-03-21
76ers,97,0.467,0.375,0.75,8,41,25,11,0,21,2018-03-23
Pistons,86,0.388,0.2,0.467,9,30,14,5,2,14,2018-03-23
Rockets,105,0.48,0.308,0.538,7,33,22,11,13,19,2018-03-25
76ers,104,0.443,0.333,0.167,12,31,29,14,7,14,2018-03-25
76ers,112,0.494,0.457,0.286,11,31,25,10,1,13,2018-03-26
Mavericks,110,0.514,0.475,0.375,3,30,22,7,2,17,2018-03-26
76ers,115,0.55,0.417,0.708,7,41,27,10,4,19,2018-03-28
Rockets,107,0.398,0.277,0.596,10,25,17,12,3,15,2018-03-28
Hawks,109,0.436,0.348,0.826,12,37,22,11,4,18,2018-03-31
76ers,119,0.465,0.371,0.4,15,38,36,10,4,16,2018-03-31
Pacers,110,0.464,0.286,0.429,8,32,25,6,6,11,2018-04-03
76ers,121,0.5,0.5,0.306,12,38,34,7,9,18,2018-04-03
76ers,104,0.42,0.444,0.889,8,48,23,5,6,22,2018-04-06
Jazz,97,0.303,0.231,0.718,14,31,15,14,6,12,2018-04-06
76ers,108,0.425,0.405,0.514,13,43,23,6,5,17,2018-04-07
Kings,109,0.43,0.444,0.63,8,37,29,6,5,9,2018-04-07
76ers,114,0.468,0.429,0.5,13,25,30,10,2,19,2018-04-09
Warriors,135,0.585,0.519,0.926,4,35,31,15,11,22,2018-04-09
76ers,109,0.494,0.219,0.812,10,41,27,9,2,20,2018-04-11
Clippers,105,0.439,0.375,0.656,9,25,16,8,4,15,2018-04-11
76ers,115,0.488,0.219,0.75,8,44,27,7,15,16,2017-10-18
Lakers,109,0.385,0.111,0.815,22,35,18,7,6,9,2017-10-18
Warriors,124,0.549,0.304,0.739,11,37,25,5,6,12,2017-10-20
76ers,116,0.485,0.345,0.414,11,29,28,8,5,11,2017-10-20
Jazz,86,0.353,0.321,0.607,7,27,18,16,4,14,2017-10-21
76ers,107,0.518,0.267,1.0,9,46,20,11,7,19,2017-10-21
Trail Blazers,81,0.337,0.269,0.538,11,37,14,8,6,17,2017-10-23
76ers,101,0.433,0.344,0.375,11,46,23,12,8,18,2017-10-23
Magic,111,0.453,0.387,0.677,7,34,22,8,5,9,2017-10-25
76ers,130,0.505,0.471,0.529,11,42,35,7,2,11,2017-10-25
Cavaliers,113,0.477,0.405,0.432,11,35,25,7,3,11,2017-10-28
76ers,91,0.375,0.107,0.571,22,31,15,6,2,12,2017-10-28
Wizards,113,0.404,0.409,1.455,7,28,22,8,4,11,2017-10-30
76ers,118,0.457,0.167,2.278,21,43,23,6,8,17,2017-10-30
Pistons,103,0.436,0.29,0.839,7,29,20,8,2,16,2017-11-01
76ers,108,0.407,0.357,1.0,17,30,27,7,4,17,2017-11-01
Suns,115,0.484,0.455,0.773,15,31,25,10,9,11,2017-11-03
76ers,101,0.429,0.233,0.533,13,34,23,9,6,14,2017-11-03
Lakers,107,0.438,0.393,0.429,15,29,22,13,7,11,2017-11-07
76ers,104,0.481,0.385,0.615,7,37,29,3,13,18,2017-11-07
76ers,98,0.474,0.333,0.394,7,32,31,10,2,19,2017-11-09
Cavaliers,105,0.48,0.483,0.655,6,27,26,12,2,17,2017-11-09
76ers,124,0.458,0.31,0.931,22,25,26,5,4,17,2017-11-11
Pelicans,131,0.575,0.625,1.0,5,28,31,11,9,14,2017-11-11
76ers,118,0.5,0.423,1.038,7,45,32,6,3,24,2017-11-13
Timberwolves,112,0.407,0.172,0.655,17,33,19,14,7,10,2017-11-13
Thunder,119,0.416,0.429,0.286,18,42,28,10,5,18,2017-11-15
76ers,117,0.44,0.283,0.348,7,43,35,13,4,19,2017-11-15
76ers,115,0.484,0.424,0.394,9,38,30,9,8,20,2017-11-18
Bulls,117,0.478,0.464,0.571,5,34,27,9,7,15,2017-11-18
Kings,101,0.451,0.259,0.444,9,30,21,11,6,12,2017-11-20
76ers,95,0.42,0.286,0.486,13,40,21,7,6,19,2017-11-20
Raptors,114,0.412,0.343,0.914,19,26,18,14,6,21,2017-11-22
76ers,109,0.523,0.31,0.345,13,27,27,14,6,23,2017-11-22
76ers,86,0.412,0.259,0.481,7,34,19,10,7,22,2017-11-25
Raptors,102,0.412,0.333,0.852,7,36,18,15,6,17,2017-11-25
76ers,110,0.483,0.5,0.312,5,32,28,8,2,13,2017-11-27
Trail Blazers,114,0.467,0.333,1.5,8,39,15,7,3,15,2017-11-27
76ers,107,0.484,0.333,0.375,7,34,34,6,3,13,2017-11-29
Nuggets,102,0.402,0.219,0.781,10,38,18,10,9,13,2017-11-29
76ers,123,0.558,0.417,1.125,11,33,24,11,7,21,2017-11-30
Suns,110,0.42,0.37,0.963,12,23,18,9,4,16,2017-11-30
Spurs,106,0.448,0.32,0.8,12,31,15,4,4,15,2017-12-02
76ers,112,0.45,0.318,1.5,13,32,23,10,5,13,2017-12-02
Pistons,78,0.385,0.318,0.5,6,28,20,9,4,12,2017-12-04
76ers,114,0.489,0.467,0.4,13,42,29,5,4,12,2017-12-04
Raptors,111,0.4,0.281,0.812,12,32,20,8,1,15,2017-12-07
76ers,117,0.494,0.24,1.24,10,38,22,8,9,21,2017-12-07
Bucks,94,0.402,0.312,0.562,8,27,20,10,3,17,2017-12-09
76ers,116,0.529,0.4,0.64,11,34,32,9,4,16,2017-12-09
76ers,101,0.451,0.452,0.742,16,32,21,2,4,23,2017-12-10
Grizzlies,105,0.423,0.385,1.115,11,21,14,14,2,12,2017-12-10
Bulls,101,0.383,0.297,0.486,10,33,20,8,2,11,2017-12-12
76ers,115,0.519,0.5,0.469,6,42,31,6,7,14,2017-12-12
76ers,97,0.481,0.429,0.571,12,38,23,5,4,9,2017-12-15
Spurs,78,0.4,0.125,0.625,5,31,20,6,5,9,2017-12-15
76ers,112,0.5,0.379,0.862,12,28,19,7,5,14,2017-12-18
Thunder,122,0.489,0.303,0.667,17,24,21,7,3,10,2017-12-18
76ers,95,0.439,0.077,0.808,10,33,22,5,4,14,2017-12-19
Bucks,107,0.475,0.393,0.714,8,34,26,6,8,9,2017-12-19
Heat,97,0.391,0.324,0.459,16,33,20,3,5,11,2017-12-21
76ers,103,0.494,0.333,0.458,9,30,28,9,4,10,2017-12-21
76ers,92,0.379,0.312,0.5,15,34,21,8,2,18,2017-12-23
Pacers,100,0.443,0.333,0.778,6,36,25,15,8,13,2017-12-23
Wizards,102,0.441,0.259,0.481,16,23,23,14,2,11,2017-12-25
76ers,115,0.549,0.5,0.393,12,33,27,9,4,17,2017-12-25
Pelicans,82,0.347,0.258,0.258,8,38,17,8,6,12,2017-12-28
76ers,100,0.419,0.412,0.235,8,50,26,10,4,15,2017-12-28
Clippers,98,0.432,0.25,0.438,11,42,20,7,5,16,2017-12-30
76ers,112,0.478,0.394,0.394,6,39,32,12,8,12,2017-12-30
Heat,102,0.455,0.407,0.778,3,26,23,9,5,10,2017-12-31
76ers,104,0.424,0.257,0.486,23,37,25,6,2,17,2017-12-31
76ers,116,0.512,0.379,0.724,8,33,25,7,5,9,2018-01-03
Bulls,115,0.454,0.529,0.265,11,37,27,5,4,13,2018-01-03
Magic,105,0.447,0.419,0.516,6,27,27,7,5,11,2018-01-05
76ers,116,0.519,0.333,0.852,9,36,31,5,4,14,2018-01-05
76ers,94,0.36,0.273,0.697,17,26,24,13,3,15,2018-01-11
Wizards,109,0.544,0.48,0.44,10,38,35,9,6,19,2018-01-11
76ers,101,0.417,0.387,0.613,10,34,25,10,3,23,2018-01-15
Heat,102,0.439,0.333,0.778,11,26,19,12,9,15,2018-01-15
76ers,108,0.444,0.333,0.6,14,40,22,4,5,9,2018-01-18
Cavaliers,97,0.414,0.281,0.5,10,35,23,4,6,9,2018-01-18
Hornets,99,0.42,0.458,0.833,7,32,21,7,0,10,2018-01-20
76ers,110,0.506,0.375,0.792,7,39,27,4,5,11,2018-01-20
76ers,110,0.557,0.5,0.643,6,26,26,4,9,26,2018-01-22
Bucks,118,0.495,0.435,0.609,16,22,27,15,4,13,2018-01-22
76ers,128,0.575,0.485,0.364,10,34,35,6,4,14,2018-01-24
Hornets,114,0.5,0.379,0.793,8,25,26,7,5,10,2018-01-24
76ers,99,0.395,0.405,0.432,9,37,28,9,4,18,2018-01-26
Heat,108,0.472,0.538,0.385,6,43,26,10,8,14,2018-01-26
Pacers,101,0.4,0.208,0.833,14,31,20,13,2,9,2018-01-28
76ers,98,0.467,0.333,0.6,7,41,24,3,7,21,2018-01-28
Hornets,94,0.381,0.273,1.091,6,33,16,8,4,9,2018-01-29
76ers,108,0.452,0.409,0.136,17,43,30,5,6,15,2018-01-29
Grizzlies,105,0.404,0.333,0.593,15,32,25,6,2,13,2018-01-31
76ers,119,0.548,0.355,0.516,4,34,32,8,4,14,2018-01-31
76ers,118,0.472,0.405,0.514,11,45,30,7,5,16,2018-02-02
Magic,98,0.407,0.303,0.424,7,33,26,10,3,10,2018-02-02
Timberwolves,108,0.385,0.261,1.217,13,40,19,7,3,14,2018-02-03
76ers,120,0.477,0.351,0.622,7,44,33,9,10,15,2018-02-03
Nuggets,104,0.429,0.344,0.656,9,28,27,10,7,15,2018-02-06
76ers,123,0.505,0.448,0.621,14,39,35,6,6,17,2018-02-06
76ers,101,0.442,0.211,0.237,9,44,34,10,6,15,2018-02-09
Hawks,91,0.356,0.231,0.256,15,44,24,9,4,16,2018-02-09
76ers,119,0.511,0.438,0.281,7,37,36,15,5,14,2018-02-10
Hornets,102,0.402,0.3,0.9,9,31,17,8,7,16,2018-02-10
76ers,115,0.494,0.433,0.467,7,37,32,11,3,13,2018-02-12
Pistons,108,0.443,0.444,0.389,9,33,30,4,5,17,2018-02-12
Cavaliers,130,0.517,0.471,0.706,8,33,24,6,2,15,2018-02-14
76ers,132,0.495,0.359,0.462,11,33,35,11,7,12,2018-02-14
Mavericks,97,0.426,0.275,0.15,10,33,24,6,6,11,2018-02-22
76ers,109,0.505,0.296,0.333,9,43,32,9,4,10,2018-02-22
76ers,121,0.494,0.459,0.486,11,43,29,7,8,18,2018-02-24
Hawks,113,0.418,0.351,0.486,8,31,27,10,3,10,2018-02-24
Bucks,95,0.411,0.28,0.56,10,33,22,6,5,20,2018-02-25
76ers,130,0.495,0.417,0.306,17,40,35,15,7,12,2018-02-25
Bulls,100,0.416,0.312,0.5,10,29,22,7,2,19,2018-02-27
Raptors,117,0.47,0.448,0.897,13,36,26,10,4,17,2018-02-27
Raptors,97,0.425,0.27,0.514,5,29,17,11,4,14,2018-03-01
Spurs,101,0.444,0.25,0.8,18,37,19,4,12,20,2018-03-01
Raptors,112,0.457,0.235,0.529,17,25,30,10,6,16,2018-03-02
Warriors,117,0.558,0.462,0.731,6,31,32,10,7,17,2018-03-02
Raptors,101,0.43,0.241,0.483,9,31,27,12,4,12,2018-03-04
Lakers,92,0.456,0.13,0.739,9,40,20,7,6,21,2018-03-04
Raptors,99,0.448,0.333,0.542,8,39,17,10,9,9,2018-03-06
Trail Blazers,85,0.388,0.308,0.577,6,32,13,5,7,13,2018-03-06
Raptors,111,0.494,0.355,0.516,9,29,20,7,4,13,2018-03-08
Nuggets,129,0.534,0.5,0.594,9,34,35,9,4,12,2018-03-08
Raptors,109,0.535,0.367,0.733,5,34,20,9,4,16,2018-03-11
Jazz,100,0.438,0.348,0.957,10,23,11,9,5,13,2018-03-11
Wizards,107,0.471,0.478,0.696,11,35,19,9,3,17,2018-03-13
Raptors,96,0.463,0.208,0.708,9,27,17,7,8,13,2018-03-13
Bulls,114,0.5,0.379,0.793,8,29,26,10,2,13,2018-03-15
Raptors,119,0.543,0.52,0.72,7,30,22,5,0,15,2018-03-15
Pelicans,118,0.537,0.419,0.548,4,34,31,7,4,13,2018-03-16
Raptors,122,0.459,0.381,0.381,10,38,27,8,4,12,2018-03-16
Raptors,129,0.526,0.467,1.1,5,31,28,11,4,12,2018-03-19
Rockets,113,0.418,0.308,0.897,14,34,21,4,4,19,2018-03-19
Raptors,125,0.592,0.471,0.559,6,31,27,8,6,21,2018-03-21
Pelicans,116,0.505,0.37,0.519,10,22,31,13,3,14,2018-03-21
Wizards,91,0.42,0.579,0.632,8,35,20,5,3,14,2018-03-22
Raptors,100,0.444,0.256,0.256,11,37,20,8,7,7,2018-03-22
Raptors,104,0.494,0.3,0.5,7,35,17,14,4,18,2018-03-24
Pacers,107,0.458,0.423,0.769,10,31,19,10,3,16,2018-03-24
Raptors,112,0.548,0.406,0.219,11,35,31,10,3,16,2018-03-26
Hawks,78,0.347,0.222,0.741,7,25,18,9,1,18,2018-03-26
Hornets,113,0.468,0.474,1.579,7,29,26,6,2,12,2018-03-28
Raptors,126,0.531,0.438,0.25,11,28,24,6,2,9,2018-03-28
Pacers,115,0.441,0.308,0.654,15,31,21,7,5,10,2018-03-30
Raptors,120,0.495,0.312,0.438,12,35,29,6,8,12,2018-03-30
Suns,113,0.493,0.375,1.25,0,35,23,7,4,17,2018-04-01
Raptors,126,0.478,0.417,0.639,8,34,30,13,4,15,2018-04-01
Raptors,116,0.474,0.419,0.935,10,26,21,8,3,11,2018-04-03
Grizzlies,107,0.5,0.333,0.593,11,24,24,8,3,16,2018-04-03
Raptors,102,0.448,0.297,0.351,12,32,22,8,2,13,2018-04-04
Kings,87,0.479,0.435,0.304,7,35,15,7,6,21,2018-04-04
Raptors,91,0.4,0.241,0.69,3,40,18,8,6,13,2018-04-06
Clippers,96,0.37,0.222,0.556,14,43,18,6,7,12,2018-04-06
Raptors,115,0.435,0.346,1.0,8,37,16,7,3,6,2018-04-08
Suns,109,0.446,0.333,1.125,10,31,20,3,9,11,2018-04-08
Kings,93,0.469,0.423,0.231,6,26,25,9,9,15,2018-04-10
Raptors,108,0.424,0.433,0.767,12,34,20,8,9,12,2018-04-10
Raptors,129,0.538,0.485,0.455,10,33,35,6,7,14,2018-04-11
Hornets,111,0.459,0.304,1.13,8,31,21,10,6,12,2018-04-11
Raptors,93,0.337,0.29,0.774,16,37,16,10,7,10,2017-10-19
Mavericks,98,0.426,0.25,0.5,16,40,20,5,11,13,2017-10-19
Raptors,107,0.424,0.289,0.632,7,27,24,9,4,11,2017-10-21
Thunder,124,0.529,0.36,0.92,15,37,25,9,7,12,2017-10-21
Hawks,98,0.432,0.375,0.542,14,34,21,6,7,18,2017-10-23
Raptors,111,0.438,0.351,0.162,19,32,22,9,15,11,2017-10-23
Bucks,127,0.473,0.481,0.963,10,33,27,9,3,14,2017-10-25
Raptors,131,0.495,0.424,0.818,6,34,25,8,8,12,2017-10-25
Raptors,124,0.489,0.395,0.5,7,42,23,9,5,11,2017-10-27
Bulls,115,0.462,0.394,0.485,9,34,29,5,2,13,2017-10-27
Raptors,129,0.558,0.303,0.697,12,31,25,9,5,11,2017-10-30
Bucks,110,0.532,0.412,1.235,5,23,26,4,4,11,2017-10-30
Heat,90,0.402,0.182,0.364,20,44,18,2,14,13,2017-11-01
Raptors,89,0.389,0.333,0.571,7,30,15,7,12,5,2017-11-01
Cavaliers,99,0.382,0.231,0.962,9,26,18,3,4,9,2017-11-03
Raptors,133,0.5,0.429,0.214,18,45,31,3,7,9,2017-11-03
Warriors,127,0.58,0.375,1.0,3,27,28,4,3,6,2017-11-05
Raptors,125,0.484,0.32,1.08,14,30,22,3,2,10,2017-11-05
Pistons,91,0.42,0.357,0.25,11,31,22,14,7,14,2017-11-07
Raptors,96,0.425,0.355,0.548,12,37,24,6,8,20,2017-11-07
Spurs,83,0.341,0.25,0.8,17,39,18,9,7,12,2017-11-09
Raptors,86,0.4,0.346,0.346,9,41,16,8,1,13,2017-11-09
Raptors,109,0.47,0.364,0.576,8,27,23,7,7,13,2017-11-12
Timberwolves,115,0.469,0.438,2.0,15,29,21,4,3,11,2017-11-12
Raptors,108,0.438,0.389,0.444,12,40,25,10,12,17,2017-11-14
Hawks,93,0.394,0.333,0.571,12,35,19,8,9,16,2017-11-14
Jazz,97,0.414,0.476,0.714,10,37,20,7,5,13,2017-11-15
Raptors,93,0.389,0.259,0.444,16,36,23,10,13,11,2017-11-15
Lakers,111,0.44,0.32,0.92,13,31,22,9,4,14,2017-11-17
Raptors,123,0.5,0.387,0.613,12,41,23,4,4,14,2017-11-17
Timberwolves,104,0.494,0.417,1.25,10,30,21,4,2,8,2017-11-19
Raptors,109,0.481,0.31,0.759,9,30,28,3,4,8,2017-11-19
Raptors,119,0.53,0.414,0.655,8,24,20,7,3,18,2017-11-22
Wizards,122,0.518,0.333,0.8,12,32,30,10,2,16,2017-11-22
Trail Blazers,105,0.507,0.333,1.143,4,32,20,4,2,10,2017-11-24
Raptors,130,0.465,0.475,0.475,17,25,21,5,4,6,2017-11-24
Grizzlies,86,0.358,0.32,0.8,13,32,17,7,6,19,2017-11-25
Raptors,101,0.461,0.171,0.371,10,34,21,13,7,11,2017-11-25
Raptors,123,0.563,0.486,0.189,6,34,35,7,8,12,2017-11-29
Hornets,103,0.427,0.435,0.739,11,31,26,5,5,13,2017-11-29
Heat,112,0.488,0.414,0.552,10,41,24,5,3,16,2017-12-01
Raptors,115,0.467,0.371,0.514,7,33,24,7,3,8,2017-12-01
Raptors,122,0.522,0.368,0.316,5,45,38,5,8,7,2017-12-05
Bulls,98,0.429,0.167,0.667,4,38,17,5,6,6,2017-12-05
Bucks,122,0.478,0.5,0.885,13,38,21,6,3,18,2017-12-08
Raptors,119,0.478,0.265,0.706,5,32,23,7,8,12,2017-12-08
Pistons,94,0.383,0.318,0.682,13,29,20,11,3,13,2017-12-10
Raptors,123,0.525,0.447,0.579,6,41,31,10,7,18,2017-12-10
Raptors,117,0.542,0.4,0.5,7,35,33,9,7,12,2017-12-11
Magic,104,0.476,0.433,0.433,8,34,27,8,2,13,2017-12-11
Raptors,102,0.462,0.303,0.606,8,26,19,9,5,7,2017-12-13
Wizards,95,0.456,0.375,0.583,15,32,24,2,5,17,2017-12-13
Hornets,98,0.376,0.238,1.381,9,37,16,7,4,9,2017-12-15
Raptors,103,0.422,0.293,0.512,9,41,22,5,8,15,2017-12-15
Hawks,90,0.425,0.286,0.762,12,32,22,8,6,21,2017-12-17
Raptors,106,0.386,0.278,0.778,17,28,25,12,8,12,2017-12-17
Raptors,121,0.446,0.3,0.475,11,36,33,9,7,9,2017-12-20
Pistons,119,0.489,0.5,0.692,9,42,27,2,7,16,2017-12-20
Rockets,105,0.494,0.333,0.593,7,29,15,9,3,13,2017-12-21
Raptors,108,0.482,0.395,0.289,12,30,22,7,2,16,2017-12-21
Raptors,106,0.443,0.375,0.75,18,39,20,4,8,20,2017-12-23
Pacers,99,0.43,0.292,0.5,11,23,17,12,1,8,2017-12-23
Mavericks,115,0.527,0.273,0.591,6,30,25,7,5,10,2017-12-26
Raptors,122,0.473,0.333,0.867,12,33,26,5,8,13,2017-12-26
Thunder,132,0.557,0.476,1.143,14,25,27,11,2,17,2017-12-27
Raptors,125,0.568,0.5,0.6,8,23,31,5,1,19,2017-12-27
Raptors,93,0.455,0.389,0.25,6,39,19,7,8,17,2017-12-29
Magic,86,0.411,0.36,0.12,10,35,22,13,7,12,2017-12-29
Raptors,129,0.534,0.441,0.588,10,23,32,4,5,6,2018-01-01
Cavaliers,132,0.603,0.625,0.958,4,29,28,3,4,9,2018-01-01
Clippers,117,0.463,0.444,1.167,12,32,17,7,5,8,2018-01-03
Raptors,106,0.446,0.444,0.222,13,35,24,3,6,14,2018-01-03
Nuggets,110,0.472,0.433,0.433,10,30,26,6,6,11,2018-01-05
Raptors,114,0.511,0.382,0.206,9,28,33,6,16,9,2018-01-05
Raptors,106,0.447,0.324,0.324,9,37,28,7,1,11,2018-01-08
Cavaliers,112,0.494,0.433,0.767,2,40,18,8,6,12,2018-01-08
