team,fg,fg%,3pt,3pt%,ft,ft%,oreb,dreb,reb,ast,stl,blk,to,pf,pts,home,date,game_id
Hawks,41-90,45.6,10-36,27.8,15-18,83.3,7,38,45,19,7,3,24,30,107,0,2018-10-17,401070697
Knicks,45-99,45.5,12-33,36.4,24-31,77.4,10,36,46,21,12,6,15,23,126,1,2018-10-17,401070697
Hawks,41-83,49.4,14-30,46.7,21-36,58.3,11,29,40,27,9,5,19,31,117,0,2018-10-19,401070705
Grizzlies,44-81,54.3,13-26,50.0,30-43,69.8,7,34,41,32,9,4,16,29,131,1,2018-10-19,401070705
Hawks,48-98,49.0,22-47,46.8,15-19,78.9,9,35,44,32,9,7,12,21,133,0,2018-10-21,401070718
Cavaliers,46-99,46.5,10-27,37.0,9-14,64.3,15,34,49,23,5,2,18,25,111,1,2018-10-21,401070718
Mavericks,38-91,41.8,12-40,30.0,16-26,61.5,9,43,52,25,7,9,17,27,104,0,2018-10-24,401070733
Hawks,37-91,40.7,15-38,39.5,22-31,71.0,10,44,54,28,6,6,15,26,111,1,2018-10-24,401070733
Bulls,36-83,43.4,12-33,36.4,13-16,81.3,8,44,52,25,14,6,20,21,97,0,2018-10-27,401070757
Hawks,27-84,32.1,12-40,30.0,19-23,82.6,11,37,48,20,9,8,22,13,85,1,2018-10-27,401070757
Hawks,35-94,37.2,8-37,21.6,14-21,66.7,10,37,47,20,10,3,13,18,92,0,2018-10-29,401070769
76ers,41-99,41.4,14-47,29.8,17-18,94.4,16,48,64,33,7,9,19,22,113,1,2018-10-29,401070769
Hawks,44-82,53.7,15-35,42.9,11-17,64.7,6,33,39,25,6,8,22,29,114,0,2018-10-30,401070778
Cavaliers,45-90,50.0,13-25,52.0,33-43,76.7,13,35,48,23,13,1,13,20,136,1,2018-10-30,401070778
Kings,53-98,54.1,14-35,40.0,26-32,81.3,10,36,46,38,14,3,14,29,146,0,2018-11-01,401070795
Hawks,42-87,48.3,8-31,25.8,23-34,67.6,10,33,43,26,6,6,22,28,115,1,2018-11-01,401070795
Heat,41-85,48.2,16-40,40.0,20-26,76.9,13,28,41,27,6,6,17,20,118,0,2018-11-03,401070809
Hawks,46-88,52.3,13-32,40.6,18-23,78.3,8,29,37,33,11,7,16,21,123,1,2018-11-03,401070809
Hawks,41-85,48.2,6-30,20.0,14-18,77.8,7,30,37,22,13,9,22,18,102,0,2018-11-06,401070830
Hornets,45-92,48.9,13-31,41.9,10-18,55.6,8,35,43,27,9,4,21,16,113,1,2018-11-06,401070830
Knicks,34-77,44.2,11-30,36.7,33-47,70.2,11,37,48,15,8,7,16,30,112,0,2018-11-07,401070836
Hawks,37-92,40.2,11-38,28.9,22-29,75.9,15,30,45,26,5,9,17,30,107,1,2018-11-07,401070836
Pistons,46-97,47.4,20-47,42.6,12-19,63.2,10,34,44,30,10,6,10,31,124,0,2018-11-09,401070850
Hawks,36-79,45.6,7-28,25.0,30-40,75.0,9,44,53,17,6,2,16,21,109,1,2018-11-09,401070850
Hawks,41-95,43.2,13-37,35.1,11-13,84.6,10,34,44,25,11,4,17,23,106,0,2018-11-11,401070870
Lakers,39-92,42.4,14-38,36.8,15-24,62.5,17,31,48,28,12,9,22,23,107,1,2018-11-11,401070870
Hawks,40-89,44.9,12-32,37.5,11-15,73.3,10,32,42,25,9,2,14,18,103,0,2018-11-13,401070882
Warriors,39-91,42.9,12-27,44.4,20-21,95.2,13,35,48,28,8,6,13,20,110,1,2018-11-13,401070882
Hawks,32-92,34.8,9-42,21.4,20-27,74.1,15,28,43,20,7,5,19,22,93,0,2018-11-15,401070895
Nuggets,53-94,56.4,13-31,41.9,19-25,76.0,11,45,56,34,12,6,15,24,138,1,2018-11-15,401070895
Hawks,31-87,35.6,8-29,27.6,19-27,70.4,5,36,41,20,15,6,18,24,89,0,2018-11-17,401070907
Pacers,35-87,40.2,12-30,40.0,15-21,71.4,10,43,53,25,11,6,22,26,97,1,2018-11-17,401070907
Hawks,41-90,45.6,10-36,27.8,15-18,83.3,7,38,45,19,7,3,24,30,107,0,2018-10-17,401070697
Knicks,45-99,45.5,12-33,36.4,24-31,77.4,10,36,46,21,12,6,15,23,126,1,2018-10-17,401070697
Hawks,41-83,49.4,14-30,46.7,21-36,58.3,11,29,40,27,9,5,19,31,117,0,2018-10-19,401070705
Grizzlies,44-81,54.3,13-26,50.0,30-43,69.8,7,34,41,32,9,4,16,29,131,1,2018-10-19,401070705
Hawks,48-98,49.0,22-47,46.8,15-19,78.9,9,35,44,32,9,7,12,21,133,0,2018-10-21,401070718
Cavaliers,46-99,46.5,10-27,37.0,9-14,64.3,15,34,49,23,5,2,18,25,111,1,2018-10-21,401070718
Mavericks,38-91,41.8,12-40,30.0,16-26,61.5,9,43,52,25,7,9,17,27,104,0,2018-10-24,401070733
Hawks,37-91,40.7,15-38,39.5,22-31,71.0,10,44,54,28,6,6,15,26,111,1,2018-10-24,401070733
Bulls,36-83,43.4,12-33,36.4,13-16,81.3,8,44,52,25,14,6,20,21,97,0,2018-10-27,401070757
Hawks,27-84,32.1,12-40,30.0,19-23,82.6,11,37,48,20,9,8,22,13,85,1,2018-10-27,401070757
Hawks,35-94,37.2,8-37,21.6,14-21,66.7,10,37,47,20,10,3,13,18,92,0,2018-10-29,401070769
76ers,41-99,41.4,14-47,29.8,17-18,94.4,16,48,64,33,7,9,19,22,113,1,2018-10-29,401070769
Hawks,44-82,53.7,15-35,42.9,11-17,64.7,6,33,39,25,6,8,22,29,114,0,2018-10-30,401070778
Cavaliers,45-90,50.0,13-25,52.0,33-43,76.7,13,35,48,23,13,1,13,20,136,1,2018-10-30,401070778
Kings,53-98,54.1,14-35,40.0,26-32,81.3,10,36,46,38,14,3,14,29,146,0,2018-11-01,401070795
Hawks,42-87,48.3,8-31,25.8,23-34,67.6,10,33,43,26,6,6,22,28,115,1,2018-11-01,401070795
Heat,41-85,48.2,16-40,40.0,20-26,76.9,13,28,41,27,6,6,17,20,118,0,2018-11-03,401070809
Hawks,46-88,52.3,13-32,40.6,18-23,78.3,8,29,37,33,11,7,16,21,123,1,2018-11-03,401070809
Hawks,41-85,48.2,6-30,20.0,14-18,77.8,7,30,37,22,13,9,22,18,102,0,2018-11-06,401070830
Hornets,45-92,48.9,13-31,41.9,10-18,55.6,8,35,43,27,9,4,21,16,113,1,2018-11-06,401070830
Knicks,34-77,44.2,11-30,36.7,33-47,70.2,11,37,48,15,8,7,16,30,112,0,2018-11-07,401070836
Hawks,37-92,40.2,11-38,28.9,22-29,75.9,15,30,45,26,5,9,17,30,107,1,2018-11-07,401070836
Pistons,46-97,47.4,20-47,42.6,12-19,63.2,10,34,44,30,10,6,10,31,124,0,2018-11-09,401070850
Hawks,36-79,45.6,7-28,25.0,30-40,75.0,9,44,53,17,6,2,16,21,109,1,2018-11-09,401070850
Hawks,41-95,43.2,13-37,35.1,11-13,84.6,10,34,44,25,11,4,17,23,106,0,2018-11-11,401070870
Lakers,39-92,42.4,14-38,36.8,15-24,62.5,17,31,48,28,12,9,22,23,107,1,2018-11-11,401070870
Hawks,40-89,44.9,12-32,37.5,11-15,73.3,10,32,42,25,9,2,14,18,103,0,2018-11-13,401070882
Warriors,39-91,42.9,12-27,44.4,20-21,95.2,13,35,48,28,8,6,13,20,110,1,2018-11-13,401070882
Hawks,32-92,34.8,9-42,21.4,20-27,74.1,15,28,43,20,7,5,19,22,93,0,2018-11-15,401070895
Nuggets,53-94,56.4,13-31,41.9,19-25,76.0,11,45,56,34,12,6,15,24,138,1,2018-11-15,401070895
Hawks,31-87,35.6,8-29,27.6,19-27,70.4,5,36,41,20,15,6,18,24,89,0,2018-11-17,401070907
Pacers,35-87,40.2,12-30,40.0,15-21,71.4,10,43,53,25,11,6,22,26,97,1,2018-11-17,401070907
Clippers,40-93,43.0,10-33,30.3,37-47,78.7,15,37,52,24,9,8,15,22,127,0,2018-11-19,401070924
Hawks,45-101,44.6,12-38,31.6,17-19,89.5,16,35,51,29,6,6,14,38,119,1,2018-11-19,401070924
Raptors,48-90,53.3,11-29,37.9,17-23,73.9,14,41,55,33,6,1,17,21,124,0,2018-11-21,401070935
Hawks,42-93,45.2,10-36,27.8,14-18,77.8,9,25,34,24,10,7,9,21,108,1,2018-11-21,401070935
Celtics,42-91,46.2,13-40,32.5,17-21,81.0,7,36,43,31,11,7,16,29,114,0,2018-11-23,401070949
Hawks,35-81,43.2,6-35,17.1,20-29,69.0,5,35,40,22,9,7,20,26,96,1,2018-11-23,401070949
Hornets,41-92,44.6,18-45,40.0,23-28,82.1,10,32,42,30,8,4,10,15,123,0,2018-11-25,401070969
Hawks,50-94,53.2,16-39,41.0,8-11,72.7,9,32,41,34,5,9,15,23,124,1,2018-11-25,401070969
Hawks,38-80,47.5,12-31,38.7,27-32,84.4,10,36,46,22,13,7,24,24,115,0,2018-11-27,401070983
Heat,40-87,46.0,13-38,34.2,20-30,66.7,11,32,43,22,20,3,20,25,113,1,2018-11-27,401070983
Hawks,32-93,34.4,11-44,25.0,19-22,86.4,16,38,54,20,11,8,19,25,94,0,2018-11-28,401070987
Hornets,38-83,45.8,4-20,20.0,28-37,75.7,5,39,44,20,15,5,14,21,108,1,2018-11-28,401070987
Hawks,43-96,44.8,11-36,30.6,12-20,60.0,14,28,42,26,15,3,21,12,109,0,2018-11-30,401071006
Thunder,46-88,52.3,18-41,43.9,14-15,93.3,7,39,46,30,12,7,20,24,124,1,2018-11-30,401071006
Warriors,48-82,58.5,13-24,54.2,19-22,86.4,6,33,39,33,10,8,20,24,128,0,2018-12-03,401071025
Hawks,44-90,48.9,5-26,19.2,18-24,75.0,9,26,35,23,10,4,18,21,111,1,2018-12-03,401071025
Wizards,46-95,48.4,12-38,31.6,27-32,84.4,12,37,49,35,9,4,15,24,131,0,2018-12-05,401071038
Hawks,41-92,44.6,12-38,31.6,23-31,74.2,8,35,43,28,13,4,17,27,117,1,2018-12-05,401071038
Nuggets,36-97,37.1,9-36,25.0,17-21,81.0,11,37,48,28,11,4,15,16,98,0,2018-12-08,401071061
Hawks,40-93,43.0,15-42,35.7,11-16,68.8,9,42,51,33,9,11,18,23,106,1,2018-12-08,401071061
Hawks,43-93,46.2,11-33,33.3,10-14,71.4,16,28,44,21,7,2,21,30,107,0,2018-12-12,401071093
Mavericks,35-75,46.7,12-34,35.3,32-43,74.4,4,32,36,22,13,5,14,16,114,1,2018-12-12,401071093
Hawks,36-86,41.9,16-38,42.1,20-32,62.5,16,28,44,27,10,5,24,19,108,0,2018-12-14,401071101
Celtics,46-95,48.4,19-39,48.7,18-20,90.0,13,34,47,28,15,9,21,21,129,1,2018-12-14,401071101
Hawks,47-85,55.3,14-29,48.3,19-25,76.0,8,25,33,38,9,5,14,22,127,0,2018-12-16,401071117
Nets,49-88,55.7,16-40,40.0,30-33,90.9,10,29,39,34,12,3,13,21,144,1,2018-12-16,401071117
Wizards,36-83,43.4,13-40,32.5,25-36,69.4,9,28,37,26,14,1,15,32,110,0,2018-12-18,401071133
Hawks,37-79,46.8,12-32,37.5,32-39,82.1,13,36,49,23,4,5,23,29,118,1,2018-12-18,401071133
Hawks,43-91,47.3,10-29,34.5,18-24,75.0,15,39,54,29,4,1,16,18,114,0,2018-12-21,401071153
Knicks,41-84,48.8,8-27,29.6,17-24,70.8,4,31,35,20,8,3,12,22,107,1,2018-12-21,401071153
Hawks,36-91,39.6,6-23,26.1,20-25,80.0,15,39,54,24,9,9,16,25,98,0,2018-12-23,401071167
Pistons,34-83,41.0,10-29,34.5,17-27,63.0,5,36,41,21,6,9,16,25,95,1,2018-12-23,401071167
Pacers,46-83,55.4,13-27,48.1,24-33,72.7,10,29,39,35,13,3,16,17,129,0,2018-12-26,401071180
Hawks,45-89,50.6,17-36,47.2,14-18,77.8,11,30,41,33,8,6,19,24,121,1,2018-12-26,401071180
Hawks,47-100,47.0,16-35,45.7,13-20,65.0,17,41,58,32,10,6,23,33,123,0,2018-12-28,401071198
Timberwolves,44-98,44.9,11-32,34.4,21-38,55.3,16,31,47,28,14,9,14,26,120,1,2018-12-28,401071198
Cavaliers,40-85,47.1,5-23,21.7,23-29,79.3,10,34,44,27,9,2,12,23,108,0,2018-12-29,401071206
Hawks,43-98,43.9,10-37,27.0,15-25,60.0,17,36,53,27,7,4,13,25,111,1,2018-12-29,401071206
Hawks,41-95,43.2,13-32,40.6,13-19,68.4,21,32,53,24,8,5,17,23,108,0,2018-12-31,401071218
Pacers,42-84,50.0,11-24,45.8,21-29,72.4,8,31,39,29,13,6,11,18,116,1,2018-12-31,401071218
Hawks,40-95,42.1,10-31,32.3,8-13,61.5,13,37,50,26,5,6,14,19,98,0,2019-01-02,401071232
Wizards,43-92,46.7,11-29,37.9,17-23,73.9,10,38,48,29,10,2,10,20,114,1,2019-01-02,401071232
Hawks,37-85,43.5,14-41,34.1,24-35,68.6,5,26,31,26,11,3,21,23,112,0,2019-01-04,401071248
Bucks,55-100,55.0,14-40,35.0,20-28,71.4,12,42,54,36,11,8,14,26,144,1,2019-01-04,401071248
Heat,31-87,35.6,5-34,14.7,15-27,55.6,12,29,41,23,11,7,13,17,82,0,2019-01-06,401071263
Hawks,43-91,47.3,10-24,41.7,10-13,76.9,14,45,59,25,7,2,17,22,106,1,2019-01-06,401071263
Hawks,40-87,46.0,10-27,37.0,11-16,68.8,13,37,50,22,12,2,26,22,101,0,2019-01-08,401071278
Raptors,37-80,46.3,10-32,31.3,20-27,74.1,6,33,39,26,18,7,18,20,104,1,2019-01-08,401071278
Hawks,36-99,36.4,6-35,17.1,22-25,88.0,18,34,52,17,8,6,19,24,100,0,2019-01-09,401071285
Nets,43-95,45.3,10-30,33.3,20-26,76.9,18,36,54,21,10,9,18,28,116,1,2019-01-09,401071285
Hawks,45-81,55.6,12-25,48.0,21-27,77.8,15,29,44,27,7,4,21,24,123,0,2019-01-11,401071297
76ers,45-87,51.7,11-33,33.3,20-27,74.1,11,19,30,31,13,4,15,23,121,1,2019-01-11,401071297
Bucks,49-92,53.3,11-30,36.7,24-33,72.7,8,31,39,28,13,4,14,25,133,0,2019-01-13,401071316
Hawks,39-96,40.6,12-38,31.6,24-30,80.0,18,36,54,19,3,5,24,30,114,1,2019-01-13,401071316
Thunder,43-94,45.7,9-32,28.1,31-41,75.6,15,25,40,22,16,3,12,18,126,0,2019-01-15,401071329
Hawks,56-90,62.2,18-37,48.6,12-16,75.0,10,34,44,36,8,4,18,28,142,1,2019-01-15,401071329
Celtics,39-88,44.3,12-32,37.5,23-25,92.0,11,32,43,19,10,8,15,18,113,0,2019-01-19,401071359
Hawks,40-92,43.5,12-41,29.3,13-14,92.9,13,36,49,28,8,6,20,20,105,1,2019-01-19,401071359
Magic,46-91,50.5,11-29,37.9,19-21,90.5,9,36,45,29,8,8,11,22,122,0,2019-01-21,401071371
Hawks,39-86,45.3,9-30,30.0,16-23,69.6,9,35,44,23,5,3,13,24,103,1,2019-01-21,401071371
Hawks,45-90,50.0,15-40,37.5,16-21,76.2,16,35,51,31,11,2,17,20,121,0,2019-01-23,401071385
Bulls,35-79,44.3,8-26,30.8,23-27,85.2,7,30,37,20,7,6,15,21,101,1,2019-01-23,401071385
Hawks,42-92,45.7,12-33,36.4,15-20,75.0,9,27,36,24,9,7,10,27,111,0,2019-01-26,401071407
Trail Blazers,41-82,50.0,11-30,36.7,27-30,90.0,11,36,47,26,8,7,18,23,120,1,2019-01-26,401071407
Hawks,44-87,50.6,10-34,29.4,25-29,86.2,15,29,44,28,7,6,17,25,123,0,2019-01-28,401071421
Clippers,41-85,48.2,10-27,37.0,26-28,92.9,13,25,38,27,10,4,16,26,118,1,2019-01-28,401071421
Hawks,38-86,44.2,16-46,34.8,21-25,84.0,9,27,36,24,7,3,20,19,113,0,2019-01-30,401071435
Kings,54-99,54.5,11-35,31.4,16-21,76.2,15,38,53,36,7,2,14,24,135,1,2019-01-30,401071435
Hawks,39-98,39.8,14-46,30.4,20-24,83.3,8,32,40,23,11,4,11,27,112,0,2019-02-01,401071446
Jazz,46-87,52.9,12-35,34.3,24-30,80.0,11,40,51,31,4,6,15,22,128,1,2019-02-01,401071446
Hawks,43-84,51.2,14-32,43.8,18-26,69.2,16,37,53,21,6,5,24,18,118,0,2019-02-02,401071457
Suns,45-96,46.9,12-32,37.5,10-18,55.6,10,27,37,31,15,5,10,23,112,1,2019-02-02,401071457
Hawks,46-91,50.5,20-40,50.0,25-29,86.2,14,36,50,29,7,2,12,22,137,0,2019-02-04,401071464
Wizards,48-97,49.5,12-38,31.6,21-29,72.4,13,27,40,34,5,8,8,20,129,1,2019-02-04,401071464
Raptors,40-87,46.0,13-40,32.5,26-33,78.8,12,38,50,29,6,2,8,23,119,0,2019-02-07,401071486
Hawks,36-80,45.0,16-35,45.7,13-25,52.0,8,34,42,25,5,3,17,25,101,1,2019-02-07,401071486
Hornets,48-88,54.5,19-42,45.2,14-18,77.8,10,27,37,30,12,7,13,17,129,0,2019-02-09,401071500
Hawks,46-86,53.5,14-33,42.4,14-19,73.7,10,26,36,26,10,3,18,18,120,1,2019-02-09,401071500
Magic,43-91,47.3,13-37,35.1,25-28,89.3,11,38,49,29,4,9,8,21,124,0,2019-02-10,401071510
Hawks,37-80,46.3,13-32,40.6,21-25,84.0,5,28,33,27,5,6,11,21,108,1,2019-02-10,401071510
Lakers,41-95,43.2,14-40,35.0,17-25,68.0,10,34,44,25,10,6,15,24,113,0,2019-02-12,401071521
Hawks,40-92,43.5,16-42,38.1,21-26,80.8,6,41,47,29,8,6,20,24,117,1,2019-02-12,401071521
Knicks,38-84,45.2,12-31,38.7,18-26,69.2,11,41,52,21,9,9,14,22,106,0,2019-02-14,401071538
Hawks,33-91,36.3,10-38,26.3,15-19,78.9,10,31,41,19,8,4,12,24,91,1,2019-02-14,401071538
Pistons,46-95,48.4,15-40,37.5,18-28,64.3,10,34,44,20,11,4,8,21,125,0,2019-02-22,401071550
Hawks,43-88,48.9,20-42,47.6,16-19,84.2,10,37,47,21,6,4,18,24,122,1,2019-02-22,401071550
Suns,41-93,44.1,13-37,35.1,17-20,85.0,6,35,41,25,9,4,12,29,112,0,2019-02-23,401071556
Hawks,38-92,41.3,12-33,36.4,32-38,84.2,12,38,50,22,8,9,13,22,120,1,2019-02-23,401071556
Hawks,39-80,48.8,17-38,44.7,16-23,69.6,10,31,41,21,6,6,17,24,111,0,2019-02-25,401071576
Rockets,39-90,43.3,15-51,29.4,26-30,86.7,12,25,37,24,11,4,12,18,119,1,2019-02-25,401071576
Timberwolves,44-102,43.1,12-38,31.6,23-33,69.7,9,38,47,29,8,7,6,24,123,0,2019-02-27,401071585
Hawks,46-108,42.6,12-29,41.4,27-32,84.4,18,47,65,32,1,6,12,25,131,1,2019-02-27,401071585
Bulls,56-119,47.1,21-48,43.8,35-48,72.9,11,51,62,30,10,5,16,30,168,0,2019-03-01,401071601
Hawks,61-123,49.6,22-60,36.7,17-25,68.0,9,50,59,33,11,8,20,34,161,1,2019-03-01,401071601
Hawks,42-89,47.2,21-42,50.0,18-28,64.3,11,35,46,30,10,5,13,18,123,0,2019-03-03,401071619
Bulls,47-92,51.1,8-27,29.6,16-21,76.2,9,33,42,25,6,5,14,20,118,1,2019-03-03,401071619
Hawks,38-91,41.8,17-46,37.0,20-25,80.0,16,26,42,25,9,2,14,21,113,0,2019-03-04,401071626
Heat,44-79,55.7,9-23,39.1,17-24,70.8,7,33,40,23,9,7,18,24,114,1,2019-03-04,401071626
Spurs,44-89,49.4,10-33,30.3,13-18,72.2,6,43,49,27,4,9,16,23,111,0,2019-03-06,401071641
Hawks,36-92,39.1,13-43,30.2,19-24,79.2,11,36,47,21,8,2,14,18,104,1,2019-03-06,401071641
Nets,33-86,38.4,15-44,34.1,33-54,61.1,15,39,54,21,7,3,14,23,114,0,2019-03-09,401071660
Hawks,39-105,37.1,8-41,19.5,26-32,81.3,18,39,57,22,7,2,10,37,112,1,2019-03-09,401071660
Pelicans,45-101,44.6,18-41,43.9,8-8,100.0,5,37,42,29,6,9,8,17,116,0,2019-03-10,401071668
Hawks,48-98,49.0,17-37,45.9,15-18,83.3,10,46,56,30,4,5,9,12,128,1,2019-03-10,401071668
Grizzlies,38-89,42.7,14-40,35.0,21-26,80.8,9,26,35,28,8,6,14,17,111,0,2019-03-13,401071689
Hawks,52-103,50.5,17-45,37.8,11-14,78.6,15,36,51,35,9,9,11,26,132,1,2019-03-13,401071689
Hawks,43-100,43.0,15-40,37.5,19-24,79.2,19,31,50,27,11,5,17,25,120,0,2019-03-16,401071707
Celtics,44-93,47.3,13-36,36.1,28-37,75.7,11,35,46,30,10,7,14,21,129,1,2019-03-16,401071707
Hawks,38-91,41.8,8-35,22.9,7-10,70.0,8,42,50,20,8,3,18,29,91,0,2019-03-17,401071719
Magic,33-85,38.8,9-37,24.3,26-33,78.8,10,45,55,21,12,3,14,15,101,1,2019-03-17,401071719
Rockets,40-78,51.3,19-47,40.4,22-30,73.3,6,31,37,28,13,2,14,17,121,0,2019-03-19,401071733
Hawks,39-84,46.4,15-40,37.5,12-15,80.0,8,37,45,30,6,1,19,23,105,1,2019-03-19,401071733
Jazz,43-94,45.7,10-32,31.3,18-26,69.2,14,35,49,25,12,3,15,24,114,0,2019-03-21,401071749
Hawks,41-87,47.1,19-40,47.5,16-23,69.6,9,34,43,26,8,5,16,23,117,1,2019-03-21,401071749
76ers,42-91,46.2,10-23,43.5,33-39,84.6,14,38,52,21,7,4,13,15,127,0,2019-03-23,401071762
Hawks,49-106,46.2,15-47,31.9,16-21,76.2,15,34,49,28,8,7,12,25,129,1,2019-03-23,401071762
Hawks,44-97,45.4,19-51,37.3,23-26,88.5,9,32,41,30,13,4,16,26,130,0,2019-03-26,401071786
Pelicans,39-83,47.0,12-34,35.3,30-40,75.0,8,37,45,28,10,6,24,23,120,1,2019-03-26,401071786
Trail Blazers,45-96,46.9,9-32,28.1,19-22,86.4,10,45,55,19,4,4,9,9,118,0,2019-03-29,401071804
Hawks,38-94,40.4,9-38,23.7,13-14,92.9,8,33,41,20,5,7,10,22,98,1,2019-03-29,401071804
Bucks,48-116,41.4,17-55,30.9,22-23,95.7,22,49,71,30,6,3,16,20,135,0,2019-03-31,401071818
Hawks,52-118,44.1,22-61,36.1,10-17,58.8,15,43,58,36,10,10,9,13,136,1,2019-03-31,401071818
Hawks,43-94,45.7,12-34,35.3,13-20,65.0,11,32,43,26,13,2,11,18,111,0,2019-04-02,401071835
Spurs,42-80,52.5,14-30,46.7,19-22,86.4,4,41,45,23,6,6,16,17,117,1,2019-04-02,401071835
76ers,45-98,45.9,10-31,32.3,22-38,57.9,26,31,57,27,8,4,13,24,122,0,2019-04-03,401071841
Hawks,48-92,52.2,12-36,33.3,22-28,78.6,11,33,44,29,7,7,11,26,130,1,2019-04-03,401071841
Hawks,41-94,43.6,10-39,25.6,21-31,67.7,10,28,38,21,16,4,14,21,113,0,2019-04-05,401071854
Magic,56-92,60.9,18-37,48.6,19-25,76.0,9,45,54,35,11,4,19,24,149,1,2019-04-05,401071854
Hawks,40-100,40.0,17-45,37.8,10-19,52.6,9,39,48,25,2,3,11,28,107,0,2019-04-07,401071875
Bucks,40-91,44.0,9-41,22.0,26-34,76.5,11,50,61,19,8,10,14,23,115,1,2019-04-07,401071875
Pacers,45-98,45.9,12-30,40.0,33-39,84.6,13,30,43,22,12,7,8,28,135,0,2019-04-10,401071893
Hawks,43-103,41.7,17-41,41.5,31-38,81.6,22,39,61,29,5,7,17,25,134,1,2019-04-10,401071893
Nets,40-82,48.8,5-27,18.5,15-22,68.2,5,34,39,28,9,5,17,23,100,0,2018-10-17,401070694
Pistons,39-92,42.4,6-24,25.0,19-22,86.4,14,32,46,21,5,5,14,20,103,1,2018-10-17,401070694
Knicks,39-97,40.2,9-28,32.1,18-20,90.0,12,24,36,14,10,1,3,19,105,0,2018-10-19,401070704
Nets,37-75,49.3,12-30,40.0,21-24,87.5,12,43,55,22,2,6,22,23,107,1,2018-10-19,401070704
Nets,41-86,47.7,16-37,43.2,14-22,63.6,9,31,40,25,6,6,20,18,112,0,2018-10-20,401070710
Pacers,51-92,55.4,16-24,66.7,14-22,63.6,10,30,40,21,12,5,10,18,132,1,2018-10-20,401070710
Nets,38-87,43.7,14-34,41.2,12-15,80.0,8,36,44,23,8,1,14,16,102,0,2018-10-24,401070734
Cavaliers,34-89,38.2,3-18,16.7,15-16,93.8,16,37,53,18,5,2,15,19,86,1,2018-10-24,401070734
Nets,43-98,43.9,19-40,47.5,10-15,66.7,16,38,54,26,6,8,18,22,115,0,2018-10-26,401070753
Pelicans,44-98,44.9,9-23,39.1,20-26,76.9,15,31,46,23,11,11,11,20,117,1,2018-10-26,401070753
Warriors,44-89,49.4,11-33,33.3,21-24,87.5,12,35,47,28,11,7,12,16,120,0,2018-10-28,401070764
Nets,42-87,48.3,20-42,47.6,10-15,66.7,5,32,37,28,5,3,15,20,114,1,2018-10-28,401070764
Nets,34-84,40.5,11-38,28.9,17-22,77.3,11,21,32,22,6,7,10,20,96,0,2018-10-29,401070771
Knicks,45-92,48.9,9-24,37.5,16-18,88.9,16,37,53,21,5,3,13,21,115,1,2018-10-29,401070771
Pistons,39-93,41.9,11-34,32.4,30-39,76.9,14,41,55,16,8,6,16,30,119,0,2018-10-31,401070785
Nets,43-101,42.6,12-38,31.6,22-30,73.3,18,37,55,26,5,3,16,33,120,1,2018-10-31,401070785
Rockets,41-83,49.4,15-39,38.5,22-32,68.8,11,30,41,22,4,10,9,21,119,0,2018-11-02,401070799
Nets,42-85,49.4,15-34,44.1,12-20,60.0,9,29,38,22,5,4,10,28,111,1,2018-11-02,401070799
76ers,31-65,47.7,4-20,20.0,31-41,75.6,9,37,46,16,6,1,27,21,97,0,2018-11-04,401070815
Nets,50-105,47.6,9-28,32.1,13-18,72.2,15,23,38,27,11,3,9,28,122,1,2018-11-04,401070815
Nets,41-92,44.6,9-36,25.0,13-19,68.4,13,39,52,22,9,5,10,22,104,0,2018-11-06,401070832
Suns,28-81,34.6,9-25,36.0,17-20,85.0,9,40,49,16,4,3,20,20,82,1,2018-11-06,401070832
Nets,36-88,40.9,12-33,36.4,28-42,66.7,12,30,42,21,7,9,8,24,112,0,2018-11-09,401070852
Nuggets,40-87,46.0,5-18,27.8,25-34,73.5,15,39,54,20,3,5,12,28,110,1,2018-11-09,401070852
Nets,36-77,46.8,7-24,29.2,21-29,72.4,12,29,41,20,7,2,14,22,100,0,2018-11-10,401070862
Warriors,46-83,55.4,7-16,43.8,17-21,81.0,6,30,36,27,9,7,10,24,116,1,2018-11-10,401070862
Nets,40-101,39.6,18-50,36.0,15-22,68.2,19,23,42,28,10,2,13,29,113,0,2018-11-12,401070876
Timberwolves,42-80,52.5,10-23,43.5,26-31,83.9,9,43,52,26,8,6,23,17,120,1,2018-11-12,401070876
Heat,46-85,54.1,8-29,27.6,20-28,71.4,6,41,47,23,6,6,17,27,120,0,2018-11-14,401070886
Nets,41-101,40.6,8-28,28.6,17-24,70.8,16,30,46,17,10,2,15,29,107,1,2018-11-14,401070886
Nets,38-90,42.2,9-33,27.3,30-38,78.9,13,34,47,19,8,3,11,24,115,0,2018-11-16,401070900
Wizards,37-87,42.5,3-18,16.7,27-34,79.4,12,35,47,18,5,4,13,23,104,1,2018-11-16,401070900
Clippers,48-95,50.5,11-23,47.8,20-24,83.3,9,29,38,23,4,1,8,25,127,0,2018-11-17,401070905
Nets,40-88,45.5,13-28,46.4,26-34,76.5,15,32,47,25,4,5,11,22,119,1,2018-11-17,401070905
Nets,38-88,43.2,8-31,25.8,20-26,76.9,13,40,53,17,6,4,11,21,104,0,2018-11-20,401070931
Heat,36-100,36.0,7-32,21.9,13-20,65.0,18,34,52,18,5,6,14,24,92,1,2018-11-20,401070931
