fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,id,team,home,date
36-88,8-32,19-25,9,37,46,24,11,4,10,24,99,400974437,Celtics,0,2017-10-17
38-83,5-22,21-25,9,41,50,19,3,4,17,25,102,400974437,Cavaliers,1,2017-10-17
38-76,7-21,25-30,6,39,45,19,6,4,15,22,108,400974703,Bucks,0,2017-10-18
39-91,11-28,11-21,11,32,43,23,12,2,12,27,100,400974703,Celtics,1,2017-10-18
35-84,10-29,22-32,14,41,55,16,4,5,19,24,102,400974772,Celtics,0,2017-10-20
35-92,10-32,12-16,14,33,47,20,7,4,16,30,92,400974772,76ers,1,2017-10-20
36-85,1-12,16-25,11,32,43,20,8,2,14,17,89,400974802,Knicks,0,2017-10-24
37-75,14-29,22-27,5,36,41,26,11,7,12,24,110,400974802,Celtics,1,2017-10-24
33-78,11-30,19-22,6,39,45,21,7,4,15,14,96,400974818,Celtics,0,2017-10-26
35-77,11-25,8-14,2,35,37,22,6,3,16,20,89,400974818,Bucks,1,2017-10-26
34-81,6-23,22-26,11,30,41,15,11,5,12,14,96,400974829,Celtics,0,2017-10-28
34-79,7-31,15-16,6,34,40,17,6,9,19,23,90,400974829,Heat,1,2017-10-28
36-87,12-26,10-20,12,28,40,24,8,4,11,14,94,400974843,Spurs,0,2017-10-30
42-88,11-31,13-16,15,39,54,24,10,6,13,22,108,400974843,Celtics,1,2017-10-30
35-81,6-20,10-12,7,19,26,24,10,5,15,18,86,400974860,Kings,0,2017-11-01
40-82,17-41,16-19,16,36,52,30,10,3,15,19,113,400974860,Celtics,1,2017-11-01
36-84,13-28,16-24,11,38,49,23,6,2,10,14,101,400974880,Celtics,0,2017-11-03
35-87,13-35,11-14,11,37,48,20,4,7,12,18,94,400974880,Thunder,1,2017-11-03
39-89,11-33,15-20,9,45,54,26,10,1,13,21,104,400974889,Celtics,0,2017-11-05
33-91,6-29,16-18,10,35,45,18,4,4,13,19,88,400974889,Magic,1,2017-11-05
39-81,14-36,18-22,7,35,42,28,3,3,13,21,110,400974897,Celtics,0,2017-11-06
39-81,13-26,16-20,5,31,36,24,8,4,14,22,107,400974897,Hawks,1,2017-11-06
37-85,5-24,17-23,12,36,48,16,8,8,20,30,96,400974912,Lakers,0,2017-11-08
38-98,7-29,24-31,16,32,48,20,8,6,13,20,107,400974912,Celtics,1,2017-11-08
31-80,6-22,19-33,7,40,47,20,5,7,14,21,87,400974921,Hornets,0,2017-11-10
30-84,9-31,21-25,9,40,49,15,6,5,13,26,90,400974921,Celtics,1,2017-11-10
32-69,10-24,20-23,6,30,36,18,8,8,17,20,94,400974939,Raptors,0,2017-11-12
35-87,10-26,15-19,15,31,46,24,9,2,14,18,95,400974939,Celtics,1,2017-11-12
39-86,9-27,22-27,9,40,49,15,8,3,14,14,109,400974952,Celtics,0,2017-11-14
39-88,14-35,10-16,9,34,43,26,4,3,14,24,102,400974952,Nets,1,2017-11-14
33-82,10-32,12-19,7,40,47,22,9,10,15,24,88,400974966,Warriors,0,2017-11-16
26-79,7-32,33-38,7,45,52,15,8,5,15,15,92,400974966,Celtics,1,2017-11-16
39-82,16-34,16-20,9,32,41,21,9,6,15,22,110,400974981,Celtics,0,2017-11-18
37-78,9-24,16-20,6,29,35,24,7,1,13,19,99,400974981,Hawks,1,2017-11-18
38-84,13-36,21-26,5,48,53,24,8,4,17,24,110,400975000,Celtics,0,2017-11-20
39-96,7-33,17-20,8,37,45,18,7,3,11,22,102,400975000,Mavericks,1,2017-11-20
35-84,9-26,19-27,7,30,37,19,11,4,11,19,98,400975008,Celtics,0,2017-11-22
40-81,10-28,14-16,7,41,48,20,3,4,16,22,104,400975008,Heat,1,2017-11-22
41-95,9-24,12-19,16,35,51,21,6,4,12,16,103,400975020,Magic,0,2017-11-24
42-91,17-42,17-25,13,33,46,27,6,10,8,20,118,400975020,Celtics,1,2017-11-24
45-80,10-25,8-9,4,26,30,22,8,4,14,13,108,400975032,Celtics,0,2017-11-25
38-78,7-23,15-15,10,26,36,20,9,2,18,14,98,400975032,Pacers,1,2017-11-25
44-85,11-25,19-23,8,32,40,26,8,2,8,19,118,400975043,Pistons,0,2017-11-27
40-77,16-33,12-21,5,31,36,27,2,4,17,23,108,400975043,Celtics,1,2017-11-27
35-84,16-32,11-18,15,30,45,24,11,1,19,22,97,400975065,76ers,0,2017-11-30
40-79,12-29,16-20,7,33,40,25,7,7,16,20,108,400975065,Celtics,1,2017-11-30
48-101,7-24,8-11,16,31,47,24,8,1,10,19,111,400975077,Suns,0,2017-12-02
42-80,14-31,18-23,4,27,31,32,8,6,9,16,116,400975077,Celtics,1,2017-12-02
35-78,9-21,21-24,3,25,28,17,6,2,9,17,100,400975094,Bucks,0,2017-12-04
43-78,10-22,15-19,8,37,45,25,5,3,14,20,111,400975094,Celtics,1,2017-12-04
34-86,9-28,13-17,6,39,45,19,7,5,9,12,90,400975107,Mavericks,0,2017-12-06
36-87,12-34,13-17,9,44,53,25,8,8,11,15,97,400975107,Celtics,1,2017-12-06
38-83,11-38,15-17,11,28,39,14,10,0,14,22,102,400975125,Celtics,0,2017-12-08
38-81,8-27,21-24,14,32,46,16,6,3,13,14,105,400975125,Spurs,1,2017-12-08
33-79,11-30,14-18,9,41,50,16,4,4,13,18,91,400975137,Celtics,0,2017-12-10
28-84,10-33,15-19,11,35,46,14,7,4,9,16,81,400975137,Pistons,1,2017-12-10
33-83,10-40,9-14,11,35,46,22,2,2,15,19,85,400975142,Celtics,0,2017-12-11
39-81,12-29,18-25,10,36,46,23,9,3,8,18,108,400975142,Bulls,1,2017-12-11
45-91,9-28,19-26,20,28,48,22,8,4,15,20,118,400975158,Nuggets,0,2017-12-13
47-79,11-25,19-24,4,26,30,29,10,7,13,20,124,400975158,Celtics,1,2017-12-13
40-83,13-25,14-18,9,46,55,19,6,2,15,20,107,400975174,Jazz,0,2017-12-15
35-86,9-31,16-19,2,29,31,20,10,5,8,18,95,400975174,Celtics,1,2017-12-15
39-80,14-30,10-14,14,28,42,21,6,6,16,19,102,400975187,Celtics,0,2017-12-16
32-79,14-34,15-17,10,28,38,18,8,3,13,19,93,400975187,Grizzlies,1,2017-12-16
44-79,16-26,8-14,6,32,38,26,6,4,19,31,112,400975193,Celtics,0,2017-12-18
37-79,7-21,30-38,9,29,38,14,12,3,12,16,111,400975193,Pacers,1,2017-12-18
33-75,10-28,14-25,6,40,46,23,6,3,12,16,90,400975207,Heat,0,2017-12-20
30-80,13-32,16-21,5,39,44,18,5,5,10,22,89,400975207,Celtics,1,2017-12-20
33-86,13-38,14-19,9,26,35,17,11,1,10,20,93,400975219,Celtics,0,2017-12-21
36-79,8-14,22-26,11,38,49,13,8,3,17,20,102,400975219,Knicks,1,2017-12-21
34-86,7-19,17-25,12,39,51,24,4,2,15,16,92,400975236,Bulls,0,2017-12-23
44-92,12-32,17-21,8,38,46,29,9,5,5,18,117,400975236,Celtics,1,2017-12-23
43-93,6-26,19-28,14,33,47,26,6,4,8,17,111,400974447,Wizards,0,2017-12-25
39-81,14-29,11-17,8,37,45,20,2,4,16,23,103,400974447,Celtics,1,2017-12-25
37-78,15-34,13-13,6,37,43,20,4,7,15,20,102,400975252,Celtics,0,2017-12-27
32-87,7-23,20-29,19,33,52,15,7,3,11,11,91,400975252,Hornets,1,2017-12-27
30-80,14-43,24-31,7,36,43,16,9,3,16,23,98,400975263,Rockets,0,2017-12-28
37-82,8-29,17-24,10,34,44,18,9,8,17,22,99,400975263,Celtics,1,2017-12-28
39-95,11-36,16-19,11,34,45,25,5,4,9,19,105,400975285,Nets,0,2017-12-31
39-79,14-33,16-25,8,42,50,21,7,8,17,22,108,400975285,Celtics,1,2017-12-31
31-89,8-32,18-18,9,39,48,16,6,7,14,17,88,400975305,Cavaliers,0,2018-01-03
41-92,12-36,8-11,9,43,52,27,9,2,15,20,102,400975305,Celtics,1,2018-01-03
28-76,7-23,21-28,9,34,43,15,6,5,12,15,84,400975316,Timberwolves,0,2018-01-05
38-94,6-36,9-13,17,39,56,24,6,4,10,22,91,400975316,Celtics,1,2018-01-05
37-98,5-18,8-15,12,32,44,12,8,13,4,17,87,400975325,Celtics,0,2018-01-06
30-91,6-31,19-22,12,43,55,11,2,11,16,14,85,400975325,Nets,1,2018-01-06
43-89,13-35,15-19,11,35,46,24,11,2,18,18,114,400975360,Celtics,0,2018-01-11
38-82,11-28,16-18,3,34,37,20,12,4,19,19,103,400975360,76ers,1,2018-01-11
45-100,7-27,19-25,13,42,55,28,11,6,15,14,116,400975396,Pelicans,0,2018-01-16
40-101,19-50,14-16,12,41,53,27,7,3,18,24,113,400975396,Celtics,1,2018-01-16
34-73,6-17,15-17,8,33,41,18,10,5,22,20,89,400975409,76ers,0,2018-01-18
30-74,7-29,13-17,3,28,31,13,7,5,19,20,80,400975409,Celtics,1,2018-01-18
43-92,6-21,11-16,13,31,44,20,7,9,10,19,103,400975429,Magic,0,2018-01-21
37-85,8-27,13-14,11,33,44,22,6,9,15,18,95,400975429,Celtics,1,2018-01-21
42-90,15-44,8-10,7,35,42,22,3,5,11,25,107,400975446,Celtics,0,2018-01-23
40-91,7-26,21-36,14,37,51,18,6,2,10,16,108,400975446,Lakers,1,2018-01-23
39-93,14-40,21-22,10,37,47,25,10,3,13,28,113,400975455,Celtics,0,2018-01-24
35-79,5-21,27-39,10,30,40,26,6,5,19,15,102,400975455,Clippers,1,2018-01-24
37-85,14-28,17-24,11,34,45,17,6,2,14,23,105,400975474,Celtics,0,2018-01-27
38-84,10-27,23-26,10,33,43,19,9,9,11,17,109,400975474,Warriors,1,2018-01-27
43-91,17-36,8-10,10,30,40,28,4,6,9,19,111,400975489,Celtics,0,2018-01-29
42-93,10-33,16-21,15,32,47,31,4,3,10,14,110,400975489,Nuggets,1,2018-01-29
28-87,3-17,14-21,9,35,44,16,4,4,14,17,73,400975504,Knicks,0,2018-01-31
40-83,11-26,12-20,5,44,49,27,8,3,9,22,103,400975504,Celtics,1,2018-01-31
34-80,11-31,31-34,4,32,36,21,6,4,12,18,110,400975513,Hawks,0,2018-02-02
45-89,11-24,18-20,7,35,42,26,8,3,11,23,119,400975513,Celtics,1,2018-02-02
36-91,13-31,11-14,10,36,46,21,4,9,8,17,96,400975530,Trail Blazers,0,2018-02-04
35-85,15-36,12-17,9,42,51,24,3,6,11,16,97,400975530,Celtics,1,2018-02-04
33-83,10-23,15-20,9,29,38,21,3,3,17,19,91,400975544,Celtics,0,2018-02-06
40-80,17-36,14-17,5,35,40,29,10,4,15,18,111,400975544,Raptors,1,2018-02-06
39-84,9-26,23-34,7,38,45,16,9,6,18,20,110,400975559,Celtics,0,2018-02-08
38-95,12-26,16-20,17,35,52,28,11,4,20,23,104,400975559,Wizards,1,2018-02-08
37-83,5-20,18-22,13,40,53,18,6,5,13,20,97,400975566,Pacers,0,2018-02-09
34-89,7-27,16-20,12,26,38,16,5,8,10,21,91,400975566,Celtics,1,2018-02-09
45-84,16-30,15-20,5,36,41,22,7,6,11,20,121,400975581,Cavaliers,0,2018-02-11
36-89,10-38,17-22,13,30,43,22,3,4,14,14,99,400975581,Celtics,1,2018-02-11
44-88,11-29,30-33,7,36,43,26,5,5,7,21,129,400975604,Clippers,0,2018-02-14
42-97,15-31,20-21,11,35,46,24,4,7,8,31,119,400975604,Celtics,1,2018-02-14
41-85,17-39,11-18,10,32,42,30,8,5,11,22,110,400975619,Celtics,0,2018-02-23
37-85,10-33,14-21,12,33,45,16,4,4,13,18,98,400975619,Pistons,1,2018-02-23
42-93,13-33,24-28,11,34,45,21,11,5,11,15,121,400975632,Celtics,0,2018-02-24
45-96,6-27,16-20,13,36,49,20,10,4,14,22,112,400975632,Knicks,1,2018-02-24
34-78,5-23,25-32,5,35,40,27,4,2,10,22,98,400975644,Grizzlies,0,2018-02-26
39-86,12-37,19-27,9,35,44,25,5,5,8,23,109,400975644,Celtics,1,2018-02-26
42-91,9-27,13-22,9,24,33,24,6,6,7,17,106,400975662,Hornets,0,2018-02-28
54-87,12-20,14-15,4,43,47,31,3,4,10,20,134,400975662,Celtics,1,2018-02-28
44-91,13-24,19-21,10,28,38,22,6,3,13,21,120,400975685,Celtics,0,2018-03-03
39-87,19-49,26-30,10,30,40,24,11,5,10,21,123,400975685,Rockets,1,2018-03-03
41-84,12-36,11-12,12,41,53,25,7,4,18,13,105,400975699,Celtics,0,2018-03-05
32-81,12-33,13-20,7,29,36,18,14,1,13,16,89,400975699,Bulls,1,2018-03-05
43-87,11-32,20-27,9,37,46,28,7,2,11,17,117,400975720,Celtics,0,2018-03-08
44-94,12-31,9-13,13,34,47,24,3,3,12,22,109,400975720,Timberwolves,1,2018-03-08
39-81,12-22,9-10,6,33,39,26,9,7,18,20,99,400975744,Pacers,0,2018-03-11
34-81,12-37,17-21,10,32,42,26,10,5,16,13,97,400975744,Celtics,1,2018-03-11
46-97,12-32,21-28,13,39,52,29,10,6,19,26,125,400975763,Wizards,0,2018-03-14
48-99,12-26,16-23,10,34,44,30,9,5,17,22,124,400975763,Celtics,1,2018-03-14
31-82,9-26,21-28,16,39,55,16,7,6,18,17,92,400975775,Celtics,0,2018-03-16
34-87,5-28,10-11,7,33,40,14,12,7,15,23,83,400975775,Magic,1,2018-03-16
35-87,9-26,10-20,9,35,44,17,8,3,12,21,89,400975793,Celtics,0,2018-03-18
41-82,6-18,20-25,5,39,44,33,9,5,10,13,108,400975793,Pelicans,1,2018-03-18
35-85,10-27,19-29,8,36,44,19,6,6,13,20,99,400975805,Thunder,0,2018-03-20
36-87,13-36,15-16,11,41,52,22,6,5,17,24,100,400975805,Celtics,1,2018-03-20
35-77,11-18,24-26,9,36,45,22,5,4,13,18,105,400975832,Celtics,0,2018-03-23
40-91,8-33,12-15,11,32,43,16,8,5,8,20,100,400975832,Trail Blazers,1,2018-03-23
40-72,12-22,12-17,3,32,35,23,9,2,15,11,104,400975845,Celtics,0,2018-03-25
38-82,7-26,10-10,7,27,34,18,7,1,14,16,93,400975845,Kings,1,2018-03-25
37-87,14-29,14-14,10,34,44,24,10,3,12,19,102,400975853,Celtics,0,2018-03-26
36-81,12-35,10-19,11,36,47,18,8,5,15,18,94,400975853,Suns,1,2018-03-26
35-79,12-21,15-20,11,31,42,20,11,2,16,18,97,400975867,Celtics,0,2018-03-28
34-82,9-33,17-21,12,33,45,25,7,6,16,18,94,400975867,Jazz,1,2018-03-28
37-80,8-35,17-22,9,37,46,23,1,5,15,26,99,400975886,Raptors,0,2018-03-31
40-88,7-17,23-27,8,33,41,19,6,3,5,23,110,400975886,Celtics,1,2018-03-31
38-81,7-23,19-24,10,27,37,19,10,6,17,17,102,400975908,Celtics,0,2018-04-03
43-79,5-20,15-21,9,32,41,27,6,5,15,23,106,400975908,Bucks,1,2018-04-03
25-75,3-22,25-28,8,35,43,10,7,3,16,16,78,400975917,Celtics,0,2018-04-04
40-92,10-33,6-8,12,36,48,23,10,6,10,25,96,400975917,Raptors,1,2018-04-04
40-86,14-30,10-17,9,34,43,25,15,0,17,22,104,400975931,Bulls,0,2018-04-06
45-81,14-34,7-17,6,40,46,35,9,6,18,15,111,400975931,Celtics,1,2018-04-06
43-86,15-35,11-14,5,32,37,23,7,4,13,19,112,400975948,Hawks,0,2018-04-08
42-82,9-23,13-20,10,31,41,33,9,6,12,18,106,400975948,Celtics,1,2018-04-08
33-87,13-33,22-27,13,31,44,22,14,1,16,18,101,400975961,Celtics,0,2018-04-10
41-83,15-30,16-20,10,41,51,32,8,3,20,24,113,400975961,Wizards,1,2018-04-10
37-91,11-40,12-16,10,34,44,27,10,6,15,12,97,400975965,Nets,0,2018-04-11
46-102,6-24,12-15,20,42,62,22,6,6,13,14,110,400975965,Celtics,1,2018-04-11
45-94,12-30,29-32,11,32,43,22,7,2,20,25,131,400974701,Nets,0,2017-10-18
53-102,9-34,25-32,14,33,47,29,12,9,14,25,140,400974701,Pacers,1,2017-10-18
45-89,18-33,13-15,9,31,40,30,9,3,22,27,121,400974774,Magic,0,2017-10-20
46-92,9-27,25-35,15,33,48,22,13,6,18,17,126,400974774,Nets,1,2017-10-20
32-94,7-27,33-36,16,32,48,21,6,2,16,25,104,400974789,Hawks,0,2017-10-22
41-87,11-27,23-34,13,38,51,27,12,8,18,27,116,400974789,Nets,1,2017-10-22
40-96,11-35,30-34,14,35,49,21,8,4,15,27,121,400974801,Nets,0,2017-10-24
41-83,8-23,35-40,6,38,44,20,8,5,11,23,125,400974801,Magic,1,2017-10-24
39-81,12-35,17-26,9,38,47,21,5,7,21,17,107,400974809,Cavaliers,0,2017-10-25
40-93,17-46,15-21,10,28,38,22,11,3,12,22,112,400974809,Nets,1,2017-10-25
30-75,11-30,15-21,5,30,35,18,5,1,16,20,86,400974824,Nets,0,2017-10-27
44-98,9-27,10-17,19,36,55,19,7,6,11,19,107,400974824,Knicks,1,2017-10-27
47-94,11-20,19-22,4,42,46,23,7,7,6,22,124,400974838,Nuggets,0,2017-10-29
39-96,12-31,21-31,17,39,56,24,5,4,15,18,111,400974838,Nets,1,2017-10-29
45-96,10-22,22-24,10,56,66,18,5,5,18,26,122,400974853,Suns,0,2017-10-31
42-102,9-31,21-30,7,37,44,15,9,4,7,22,114,400974853,Nets,1,2017-10-31
37-91,9-38,29-38,8,35,43,23,8,5,16,22,112,400974881,Nets,0,2017-11-03
48-94,9-21,19-27,7,50,57,26,10,7,16,29,124,400974881,Lakers,1,2017-11-03
35-87,8-32,20-29,11,37,48,20,10,4,16,30,98,400974898,Nets,0,2017-11-06
30-86,6-25,26-35,14,38,52,13,8,7,17,29,92,400974898,Suns,1,2017-11-06
38-89,11-35,17-22,8,39,47,22,12,6,25,16,104,400974906,Nets,0,2017-11-07
44-93,9-34,15-20,9,38,47,26,16,9,19,21,112,400974906,Nuggets,1,2017-11-07
39-91,12-38,11-19,11,38,49,25,7,4,10,13,101,400974927,Nets,0,2017-11-10
40-95,8-23,9-11,12,39,51,17,4,4,10,17,97,400974927,Trail Blazers,1,2017-11-10
35-76,7-23,29-39,10,31,41,13,7,4,17,22,106,400974938,Nets,0,2017-11-11
41-85,11-29,21-25,12,32,44,19,12,3,16,29,114,400974938,Jazz,1,2017-11-11
39-79,12-26,17-24,10,29,39,21,6,6,16,19,107,400974970,Jazz,0,2017-11-14
43-84,17-37,15-20,4,32,36,27,8,2,12,21,118,400974970,Nets,1,2017-11-14
46-90,10-24,16-23,6,51,57,29,8,14,15,27,118,400974987,Warriors,0,2017-11-17
34-95,16-48,27-39,13,39,52,24,7,2,13,21,111,400974987,Nets,1,2017-11-17
42-81,14-37,11-16,8,34,42,26,5,2,19,21,109,400975005,Nets,0,2017-11-19
43-82,14-34,19-27,4,29,33,21,8,2,10,19,119,400975005,Cavaliers,1,2017-11-19
48-96,6-15,25-35,12,33,45,24,5,13,7,16,127,400975018,Trail Blazers,0,2017-11-22
50-100,10-25,15-21,13,34,47,25,4,6,9,22,125,400975018,Nets,1,2017-11-22
33-74,13-29,19-23,12,31,43,19,7,7,17,22,98,400975040,Nets,0,2017-11-24
32-80,8-25,16-18,11,24,35,15,8,3,14,24,88,400975040,Grizzlies,1,2017-11-24
40-86,10-39,13-17,6,37,43,24,5,4,13,19,103,400975045,Nets,0,2017-11-26
42-86,20-50,13-20,8,34,42,31,8,4,15,19,117,400975045,Rockets,1,2017-11-26
42-90,11-29,14-25,14,38,52,25,5,1,14,21,109,400975061,Nets,0,2017-11-27
39-84,9-27,17-21,7,37,44,26,5,3,11,23,104,400975061,Mavericks,1,2017-11-27
47-99,10-27,10-14,13,34,47,18,12,5,8,19,114,400975079,Hawks,0,2017-11-29
34-82,17-42,17-21,12,34,46,26,1,8,19,18,102,400975079,Nets,1,2017-11-29
41-85,15-36,13-15,12,40,52,29,7,6,22,28,110,400975093,Nets,0,2017-12-02
30-82,9-30,21-27,9,29,38,18,9,2,18,19,90,400975093,Hawks,1,2017-12-02
38-98,7-24,12-23,17,37,54,18,6,3,12,25,95,400975116,Thunder,0,2017-12-04
35-80,11-37,19-30,7,42,49,24,3,7,13,21,100,400975116,Nets,1,2017-12-04
42-90,8-27,9-14,8,36,44,15,6,8,5,17,101,400975127,Heat,0,2017-12-07
33-81,7-27,16-19,8,35,43,16,3,3,12,17,89,400975127,Nets,1,2017-12-07
38-95,4-22,18-22,12,37,49,18,8,3,10,26,98,400975151,Wizards,0,2017-12-09
34-84,10-43,25-33,9,44,53,26,4,6,14,21,103,400975151,Nets,1,2017-12-09
41-89,10-20,19-22,12,28,40,23,11,4,13,23,111,400975165,Knicks,0,2017-12-12
37-83,12-42,18-23,11,32,43,21,10,4,17,21,104,400975165,Nets,1,2017-12-12
32-76,7-23,16-19,6,31,37,15,4,1,22,14,87,400975175,Nets,0,2017-12-14
54-97,7-28,5-9,11,34,45,26,11,5,8,16,120,400975175,Raptors,1,2017-12-14
43-76,8-18,15-19,6,37,43,21,6,7,15,20,109,400975190,Pacers,0,2017-12-15
34-81,12-33,17-21,7,22,29,26,7,2,9,17,97,400975190,Nets,1,2017-12-15
40-82,7-19,17-20,13,35,48,14,4,4,12,19,104,400975208,Kings,0,2017-12-17
32-82,15-42,20-23,14,24,38,15,5,7,10,19,99,400975208,Nets,1,2017-12-17
34-93,5-20,11-15,7,28,35,22,7,1,7,18,84,400975224,Wizards,0,2017-12-20
44-88,14-41,17-21,13,47,60,29,4,4,14,17,119,400975224,Nets,1,2017-12-20
42-98,16-36,19-25,18,33,51,24,2,2,10,20,119,400975233,Nets,0,2017-12-22
47-90,10-23,19-24,7,34,41,31,8,9,8,25,123,400975233,Pacers,1,2017-12-22
39-93,12-32,7-9,12,33,45,23,5,0,13,18,97,400975248,Nets,0,2017-12-23
41-80,7-16,20-24,5,38,43,18,7,5,12,14,109,400975248,Spurs,1,2017-12-23
41-90,19-38,12-14,10,33,43,26,8,3,15,18,113,400975257,Nets,0,2017-12-26
48-90,17-33,15-19,6,37,43,40,8,9,10,15,128,400975257,Pelicans,1,2017-12-26
39-79,11-26,22-25,8,46,54,25,8,4,18,23,111,400975269,Nets,0,2017-12-27
30-89,3-26,24-31,12,31,43,12,9,3,11,18,87,400975269,Heat,1,2017-12-27
35-96,6-31,19-25,19,33,52,16,5,5,12,18,95,400975291,Magic,0,2017-12-29
36-82,9-25,17-23,10,42,52,17,7,10,13,22,98,400975291,Nets,1,2017-12-29
36-80,1-11,24-30,7,25,32,10,9,4,8,12,97,400975303,Timberwolves,0,2017-12-31
37-72,14-30,10-11,4,34,38,22,3,3,19,23,98,400975303,Nets,1,2017-12-31
43-101,10-34,18-23,8,43,51,19,7,12,15,27,114,400975338,Raptors,0,2018-01-01
39-100,12-33,23-28,11,44,55,22,8,2,16,27,113,400975338,Nets,1,2018-01-01
48-93,10-21,8-12,11,43,54,24,10,4,13,14,114,400975352,Pistons,0,2018-01-03
27-74,12-37,14-15,2,33,35,19,11,2,17,11,80,400975352,Nets,1,2018-01-03
40-87,13-34,17-26,13,30,43,29,8,1,14,24,110,400975367,Nets,0,2018-01-06
37-80,11-28,20-26,8,38,46,21,6,3,18,25,105,400975367,Hawks,1,2018-01-06
42-99,12-43,17-20,13,34,47,28,6,3,15,22,113,400975376,Nets,0,2018-01-08
46-93,10-23,17-23,6,41,47,31,10,3,15,19,119,400975376,Wizards,1,2018-01-08
42-82,9-16,26-37,8,43,51,27,5,10,9,24,119,400975388,Knicks,0,2018-01-10
32-87,11-32,29-36,11,34,45,16,5,3,11,23,104,400975388,Nets,1,2018-01-10
34-82,9-19,23-31,7,35,42,24,8,4,9,20,100,400975401,Spurs,0,2018-01-12
35-83,13-36,12-18,6,41,47,23,3,1,14,28,95,400975401,Nets,1,2018-01-12
35-84,7-22,18-25,12,31,43,22,7,7,11,22,95,400975414,Heat,0,2018-01-13
36-76,9-32,20-26,10,34,44,20,5,8,14,18,101,400975414,Nets,1,2018-01-13
37-80,13-31,14-20,7,39,46,23,1,3,15,18,101,400975431,Nets,0,2018-01-15
38-90,9-29,15-17,7,36,43,21,3,4,6,19,100,400975431,Pistons,1,2018-01-15
37-79,16-38,18-25,8,37,45,27,1,5,12,25,108,400975443,Nets,0,2018-01-17
40-94,7-25,22-32,16,34,50,12,7,4,4,18,109,400975443,Thunder,1,2018-01-17
33-89,8-34,17-20,11,34,45,18,5,2,14,19,91,400975465,Nets,0,2018-01-19
43-83,12-23,18-20,3,41,44,28,9,6,9,17,116,400975465,Bucks,1,2018-01-19
38-82,9-30,12-15,11,32,43,22,3,7,15,19,97,400975475,Nets,0,2018-01-21
42-96,4-21,23-26,16,33,49,20,9,7,5,12,111,400975475,Timberwolves,1,2018-01-21
36-87,9-37,14-16,11,38,49,15,6,3,17,21,95,400975491,Nets,0,2018-01-23
39-89,13-26,20-25,12,35,47,22,6,6,11,13,111,400975491,Knicks,1,2018-01-23
36-76,7-18,29-34,6,27,33,17,7,5,8,21,108,400975502,76ers,0,2018-01-26
39-77,13-32,25-28,9,30,39,19,3,9,11,26,116,400975502,Nets,1,2018-01-26
39-92,10-26,14-20,18,38,56,21,5,6,15,18,102,400975514,Lakers,0,2018-01-27
37-82,9-29,16-23,5,33,38,20,7,8,11,18,99,400975514,Nets,1,2018-01-27
42-81,8-19,17-21,14,40,54,19,3,7,13,16,109,400975531,Bucks,0,2018-01-30
37-90,9-29,11-14,11,25,36,25,5,1,9,19,94,400975531,Nets,1,2018-01-30
45-81,16-33,17-21,8,32,40,16,7,7,11,14,123,400975546,Rockets,0,2018-01-31
41-85,16-35,15-17,10,27,37,24,8,2,11,17,113,400975546,Nets,1,2018-01-31
39-90,17-51,11-12,8,42,50,33,4,6,19,20,106,400975551,Nets,0,2018-02-02
44-92,9-24,18-25,8,38,46,20,10,3,7,12,115,400975551,Pistons,1,2018-02-02
52-106,9-24,25-39,14,45,59,23,10,10,15,18,138,400975572,Pelicans,0,2018-02-04
43-114,21-59,21-22,18,42,60,30,10,3,15,30,128,400975572,Nets,1,2018-02-04
48-85,6-16,12-14,8,35,43,19,8,6,15,14,114,400975589,Clippers,0,2018-02-06
41-89,12-40,7-10,10,27,37,27,10,6,12,15,101,400975589,Nets,1,2018-02-06
39-90,6-15,24-28,15,37,52,20,10,7,8,20,108,400975602,Pacers,0,2018-02-07
35-83,13-35,20-27,9,35,44,24,4,2,13,20,103,400975602,Nets,1,2018-02-07
36-93,14-43,10-14,11,30,41,27,6,8,9,23,96,400975613,Nets,0,2018-02-10
42-87,11-21,16-20,13,41,54,29,3,6,14,15,111,400975613,Hornets,1,2018-02-10
33-93,6-23,15-23,15,41,56,17,8,7,13,11,87,400975645,Bulls,0,2018-02-12
40-90,16-42,8-8,7,41,48,31,4,9,15,20,104,400975645,Nets,1,2018-02-12
44-82,12-32,23-30,3,33,36,29,6,0,12,21,123,400975654,Nets,0,2018-02-14
50-97,12-24,17-27,14,41,55,24,7,1,11,24,129,400975654,Cavaliers,1,2018-02-14
40-96,17-46,14-17,16,35,51,27,10,4,21,14,111,400975670,Nets,0,2018-02-22
50-97,6-14,10-12,11,33,44,23,15,6,15,13,116,400975670,Kings,1,2018-02-22
40-92,19-45,21-23,13,31,44,30,8,4,14,21,120,400975694,Nets,0,2018-02-26
44-84,10-27,25-30,7,33,40,18,12,6,10,20,123,400975694,Clippers,1,2018-02-26
36-85,9-34,20-25,10,28,38,24,7,1,12,18,101,400975709,Nets,0,2018-02-27
47-83,11-23,9-11,5,36,41,30,8,7,17,18,114,400975709,Warriors,1,2018-02-27
47-92,11-32,20-22,9,34,43,30,7,7,10,27,125,400975718,Nets,0,2018-03-01
41-85,4-19,25-30,6,30,36,19,5,5,13,21,111,400975718,Hornets,1,2018-03-01
50-95,9-26,11-18,12,36,48,33,12,7,9,19,120,400975745,76ers,0,2018-03-04
